event_code	event_text	display_level	selectable	sort_sequence
24XXXX	Pedestrian vehicular incidents	2	T	120	
250XXX	Water vehicle incident, unspecified	3	T	148	
251XXX	Water vehicle or propeller struck person	3	T	149	
2521XX	Collision between water vehicles	4	T	152	
2522XX	Collision between water vehicle and object	4	T	153	
252XXX	Water vehicle collisions	3	T	150	
256XXX	Fall or jump from water vehicle	3	T	158	
257XXX	Machinery or equipment incident on water vehicle	3	T	159	
258XXX	Fall on water vehicle	3	T	160	
259XXX	Water vehicle incident, n.e.c.	3	T	161	
25XXXX	Water vehicle incidents	2	T	147	
260XXX	Roadway incident involving motorized land vehicle, unspecified	3	T	163	
2610XX	Roadway collision with other vehicle, unspecified	4	T	165	
2611XX	Roadway collision--moving in same direction	4	T	166	
2612XX	Roadway collision--moving in opposite directions, oncoming	4	T	167	
2613XX	Roadway collision--moving perpendicularly	4	T	168	
2614XX	Roadway collision--moving and standing vehicle in roadway	4	T	169	
2615XX	Roadway collision--moving and standing vehicle on side of roadway	4	T	170	
2619XX	Roadway collision with other vehicle, n.e.c.	4	T	171	
261XXX	Roadway collision with other vehicle	3	T	164	
2620XX	Roadway collision with object other than vehicle, unspecified	4	T	173	
2621XX	Vehicle struck object or animal in roadway	4	T	174	
2622XX	Vehicle struck object or animal on side of roadway	4	T	175	
2623XX	Vehicle struck by falling or flying object--roadway	4	T	176	
2629XX	Roadway collision with object other than vehicle, n.e.c.	4	T	177	
262XXX	Roadway collision with object other than vehicle	3	T	172	
2630XX	Roadway noncollision incident, unspecified	4	T	179	
2631XX	Jack-knifed or overturned, roadway	4	T	180	
2632XX	Ran off roadway	4	T	181	
2633XX	Struck by shifting load during transport, roadway	4	T	182	
2634XX	Fall or jump from and struck by same vehicle in normal operation, roadway	4	T	183	
2635XX	Fall or jump from and struck by another vehicle in normal operation, roadway	4	T	184	
2636XX	Fall or jump from vehicle in normal operation, roadway	4	T	185	
2637XX	Sudden start or stop, roadway	4	T	186	
2638XX	Struck bump, hole, or rough terrain in road surface	4	T	187	
2639XX	Roadway noncollision incident, n.e.c.	4	T	188	
263XXX	Roadway noncollision incident	3	T	178	
269XXX	Roadway incident involving motorized land vehicle, n.e.c.	3	T	189	
26XXXX	Roadway incidents involving motorized land vehicle	2	T	162	
270XXX	Nonroadway incident involving motorized land vehicle, unspecified	3	T	191	
2710XX	Nonroadway collision with other vehicle, unspecified	4	T	193	
2711XX	Moving in same direction, nonroadway	4	T	194	
2712XX	Moving in opposite directions, oncoming, nonroadway	4	T	195	
2713XX	Collision between a moving and standing vehicle, nonroadway	4	T	196	
2719XX	Nonroadway collision with other vehicle, n.e.c.	4	T	197	
271XXX	Nonroadway collision with other vehicle	3	T	192	
2720XX	Nonroadway collision with object other than vehicle, unspecified	4	T	199	
2721XX	Part of occupant's body caught between vehicle and other object in nonroadway transport incident	4	T	200	
2729XX	Nonroadway collision with object other than vehicle, n.e.c.	4	T	201	
272XXX	Nonroadway collisions with object other than vehicle	3	T	198	
2730XX	Nonroadway noncollision incident, unspecified	4	T	203	
2731XX	Jack-knifed or overturned, nonroadway	4	T	204	
2732XX	Ran off driving surface, nonroadway	4	T	205	
2733XX	Struck by shifting load during transport, nonroadway	4	T	206	
2734XX	Fall or jump from and struck by same vehicle in normal operation, nonroadway	4	T	207	
2735XX	Fall or jump from and struck by another vehicle in normal operation, nonroadway	4	T	208	
2736XX	Fall or jump from vehicle in normal operation, nonroadway	4	T	209	
2737XX	Sudden start or stop, nonroadway	4	T	210	
2738XX	Struck bump, hole, rough terrain on driving surface, nonroadway	4	T	211	
2739XX	Nonroadway noncollision incident, n.e.c.	4	T	212	
273XXX	Nonroadway noncollision incident	3	T	202	
279XXX	Nonroadway incident involving motorized land vehicle, n.e.c.	3	T	213	
27XXXX	Nonroadway incidents involving motorized land vehicles	2	T	190	
29XXXX	Transportation incident, n.e.c.	2	T	214	
2XXXXX	TRANSPORTATION INCIDENTS	1	T	65	
30XXXX	Fire or explosion, unspecified	2	T	216	
310XXX	Fire, unspecified	3	T	218	
311XXX	Collapsing building, structure, or structural element during fire	3	T	219	
312XXX	Other structural fire without collapse	3	T	220	
313XXX	Vehicle or machinery fire	3	T	221	
314XXX	Ignition of clothing from controlled heat source	3	T	222	
315XXX	Small-scale (limited) fire	3	T	223	
316XXX	Forest or brush fire	3	T	224	
317XXX	Ignition of vapors, gases, or liquids	3	T	225	
319XXX	Nonstructural fire, n.e.c.	3	T	226	
31XXXX	Fires	2	T	217	
320XXX	Explosion, unspecified	3	T	228	
322XXX	Explosion of nonpressurized vapors, gases, or liquids	3	T	230	
323XXX	Explosion of pressure vessel, piping, or tire	3	T	231	
329XXX	Explosion, n.e.c.	3	T	233	
32XXXX	Explosions	2	T	227	
3XXXXX	FIRES AND EXPLOSIONS	1	T	215	
40XXXX	Fall, slip, trip, unspecified	2	T	235	
410XXX	Slip or trip without fall, unspecified	3	T	237	
4110XX	Slip without fall, unspecified	4	T	239	
4111XX	Slip on substance without fall	4	T	240	
4112XX	Slip on vehicle without fall--nontransport	4	T	241	
4119XX	Slip without fall, n.e.c.	4	T	242	
411XXX	Slip without fall	3	T	238	
4120XX	Trip without fall, unspecified	4	T	244	
4121XX	Trip from stepping into a hole without fall	4	T	245	
4122XX	Trip on uneven surface without fall	4	T	246	
4123XX	Trip over an object without fall	4	T	247	
4124XX	Trip on vehicle without fall--nontransport	4	T	248	
4125XX	Trip over self without fall	4	T	249	
4129XX	Trip without fall, n.e.c.	4	T	250	
412XXX	Trip without fall	3	T	243	
419XXX	Slip or trip without fall, n.e.c.	3	T	251	
41XXXX	Slip or trip without fall	2	T	236	
420XXX	Fall on same level, unspecified	3	T	253	
4210XX	Fall on same level due to tripping, unspecified	4	T	255	
4211XX	Fall on same level while climbing stairs, steps, or curbs	4	T	256	
4212XX	Fall on same level due to tripping on uneven surface	4	T	257	
4213XX	Fall on same level due to tripping over an object	4	T	258	
4214XX	Fall on same level due to tripping over self	4	T	259	
4219XX	Fall on same level due to tripping, n.e.c.	4	T	260	
421XXX	Fall on same level due to tripping	3	T	254	
422XXX	Fall on same level due to slipping	3	T	261	
423XXX	Fall while sitting	3	T	262	
424XXX	Fall onto or against object on same level, n.e.c.	3	T	263	
429XXX	Fall on same level, n.e.c.	3	T	264	
42XXXX	Falls on same level	2	T	252	
430XXX	Fall to lower level, unspecified	3	T	266	
4310XX	Fall from collapsing structure or equipment, unspecified	4	T	268	
4311XX	Fall from collapsing structure or equipment less than 6 feet	4	T	269	
4312XX	Fall from collapsing structure or equipment 6 to 10 feet	4	T	270	
4313XX	Fall from collapsing structure or equipment 11 to 15 feet	4	T	271	
4314XX	Fall from collapsing structure or equipment 16 to 20 feet	4	T	272	
4316XX	Fall from collapsing structure or equipment 26 to 30 feet	4	T	274	
4317XX	Fall from collapsing structure or equipment more than 30 feet	4	T	275	
431XXX	Fall from collapsing structure or equipment	3	T	267	
4320XX	Fall through surface or existing opening, unspecified	4	T	277	
4321XX	Fall through surface or existing opening less than 6 feet	4	T	278	
4322XX	Fall through surface or existing opening 6 to 10 feet	4	T	279	
4323XX	Fall through surface or existing opening 11 to 15 feet	4	T	280	
4324XX	Fall through surface or existing opening 16 to 20 feet	4	T	281	
4326XX	Fall through surface or existing opening 26 to 30 feet	4	T	283	
432XXX	Fall through surface or existing opening	3	T	276	
4330XX	Other fall to lower level, unspecified	4	T	286	
4331XX	Other fall to lower level less than 6 feet	4	T	287	
4332XX	Other fall to lower level 6 to 10 feet	4	T	288	
4333XX	Other fall to lower level 11 to 15 feet	4	T	289	
4334XX	Other fall to lower level 16 to 20 feet	4	T	290	
4335XX	Other fall to lower level 21 to 25 feet	4	T	291	
4336XX	Other fall to lower level 26 to 30 feet	4	T	292	
4337XX	Other fall to lower level more than 30 feet	4	T	293	
433XXX	Other fall to lower level	3	T	285	
43XXXX	Falls to lower level	2	T	265	
440XXX	Jump to lower level, unspecified	3	T	295	
4410XX	Jump from collapsing structure or equipment, unspecified	4	T	297	
4411XX	Jump from collapsing structure or equipment less than 6 feet	4	T	298	
4412XX	Jump from collapsing structure or equipment 6 to 10 feet	4	T	299	
441XXX	Jump from collapsing structure or equipment	3	T	296	
4420XX	Other jump to lower level, unspecified	4	T	306	
4421XX	Other jump to lower level less than 6 feet	4	T	307	
4422XX	Other jump to lower level 6 to 10 feet	4	T	308	
4423XX	Other jump to lower level 11 to 15 feet	4	T	309	
4424XX	Other jump to lower level 16 to 20 feet	4	T	310	
442XXX	Other jump to lower level	3	T	305	
44XXXX	Jumps to lower level	2	T	294	
45XXXX	Fall or jump curtailed by personal fall arrest system	2	T	314	
49XXXX	Fall, slip, trip, n.e.c.	2	T	315	
4XXXXX	FALLS, SLIPS, TRIPS	1	T	234	
50XXXX	Exposure to harmful substances or environments, unspecified	2	T	317	
510XXX	Exposure to electricity, unspecified	3	T	319	
5110XX	Direct exposure to electricity, unspecified	4	T	321	
5111XX	Direct exposure to electricity, 220 volts or less	4	T	322	
5112XX	Direct exposure to electricity, greater than 220 volts	4	T	323	
511XXX	Direct exposure to electricity	3	T	320	
5120XX	Indirect exposure to electricity, unspecified	4	T	325	
5121XX	Indirect exposure to electricity, 220 volts or less	4	T	326	
5122XX	Indirect exposure to electricity, greater than 220 volts	4	T	327	
512XXX	Indirect exposure to electricity	3	T	324	
51XXXX	Exposure to electricity	2	T	318	
520XXX	Exposure to radiation and noise, unspecified	3	T	329	
5210XX	Exposure to light and other radiation, unspecified	4	T	331	
5211XX	Exposure to light	4	T	332	
5212XX	Exposure to other radiation	4	T	333	
521XXX	Exposure to light and other radiation	3	T	330	
5220XX	Exposure to noise, unspecified	4	T	335	
5221XX	Single, brief exposure to noise	4	T	336	
5222XX	Single, prolonged exposure to noise	4	T	337	
5223XX	Repeated exposure to noise	4	T	338	
5229XX	Exposure to noise, n.e.c.	4	T	339	
522XXX	Exposure to noise	3	T	334	
52XXXX	Exposure to radiation and noise	2	T	328	
530XXX	Exposure to temperature extremes, unspecified	3	T	341	
531XXX	Exposure to environmental heat	3	T	342	
532XXX	Exposure to environmental cold	3	T	343	
533XXX	Contact with hot objects or substances	3	T	344	
534XXX	Contact with cold objects or substances	3	T	345	
53XXXX	Exposure to temperature extremes	2	T	340	
541XXX	Exposure to change in water pressure	3	T	348	
542XXX	Exposure to change in air pressure	3	T	349	
54XXXX	Exposure to air and water pressure change	2	T	346	
550XXX	Exposure to other harmful substances, unspecified	3	T	351	
5520XX	Inhalation of harmful substance, unspecified	4	T	354	
5521XX	Inhalation of harmful substance--single episode	4	T	355	
5522XX	Inhalation of harmful substance--multiple episodes	4	T	356	
552XXX	Inhalation of harmful substance	3	T	353	
553XXX	Ingestion of harmful substance	3	T	357	
5540XX	Exposure to harmful substance through skin, eyes, or other exposed tissue, unspecified	4	T	359	
5541XX	Exposure through unintentional needlestick or sharp injury	4	T	360	
5542XX	Exposure through medical injection	4	T	361	
5543XX	Exposure through scratch or other open wound	4	T	362	
5544XX	Exposure through intact skin, eyes, or other exposed tissue	4	T	363	
5548XX	Multiple types of exposures through skin, eyes, or other exposed tissue	4	T	364	
5549XX	Exposure through skin, eyes, or other exposed tissue, n.e.c.	4	T	365	
554XXX	Exposure to harmful substance through skin, eyes, or other exposed tissue	3	T	358	
558XXX	Exposure to other harmful substance--multiple routes of exposure	3	T	366	
559XXX	Exposure to other harmful substances, n.e.c.	3	T	367	
55XXXX	Exposure to other harmful substances	2	T	350	
560XXX	Exposure to oxygen deficiency, unspecified	3	T	369	
562XXX	Choking on object or substance	3	T	371	
569XXX	Other oxygen deficiency, n.e.c.	3	T	373	
56XXXX	Exposure to oxygen deficiency, n.e.c.	2	T	368	
57XXXX	Exposure to traumatic or stressful event, n.e.c.	2	T	374	
59XXXX	Exposure to harmful substances or environments, n.e.c.	2	T	375	
5XXXXX	EXPOSURE TO HARMFUL SUBSTANCES OR ENVIRONMENTS	1	T	316	
60XXXX	Contact with objects and equipment, unspecified	2	T	377	
61XXXX	Needlestick without exposure to harmful substance	2	T	378	
620XXX	Struck by object or equipment, unspecified	3	T	380	
6210XX	Struck by powered vehicle--nontransport, unspecified	4	T	382	
6211XX	Caught between rolling powered vehicle and other object	4	T	383	
6212XX	Struck or run over by rolling powered vehicle	4	T	384	
6213XX	Struck by swinging part of powered vehicle	4	T	385	
6214XX	Struck by falling part of powered vehicle still attached	4	T	386	
6215XX	Struck by powered vehicle tipping over--nontransport	4	T	387	
6216XX	Struck by other falling powered vehicle	4	T	388	
6219XX	Struck by powered vehicle--nontransport, n.e.c.	4	T	389	
621XXX	Struck by powered vehicle--nontransport	3	T	381	
6220XX	Struck by rolling object or equipment--other than powered vehicle, unspecified	4	T	391	
6221XX	Struck by rolling object or equipment being pushed by injured worker	4	T	392	
6222XX	Struck by rolling object or equipment being pushed by another  person	4	T	393	
6223XX	Struck by object or equipment rolling freely	4	T	394	
6229XX	Struck by rolling object or equipment--other than powered vehicle, n.e.c.	4	T	395	
622XXX	Struck by rolling object or equipment--other than powered vehicle	3	T	390	
6230XX	Struck by falling object or equipment, unspecified	4	T	397	
6231XX	Struck by object or equipment dropped by injured worker	4	T	398	
6232XX	Struck by object or equipment dropped by other person	4	T	399	
6233XX	Struck by object falling from vehicle or machinery--other than vehicle part	4	T	400	
6239XX	Struck by falling object or equipment, n.e.c.	4	T	401	
623XXX	Struck by falling object or equipment--other than powered vehicle	3	T	396	
6240XX	Struck by discharged or flying object, unspecified	4	T	403	
6241XX	Struck by dislodged flying object, particle	4	T	404	
6242XX	Struck by discharged object or substance	4	T	405	
6243XX	Struck by thrown object--unintentional injury	4	T	406	
6249XX	Struck by discharged or flying object, n.e.c.	4	T	407	
624XXX	Struck by discharged or flying object	3	T	402	
6250XX	Injured by handheld object or equipment, unspecified	4	T	409	
6251XX	Injured by object breaking in hand	4	T	410	
6252XX	Injured by slipping or swinging object held by injured worker	4	T	411	
6253XX	Injured by slipping or swinging object held by other person	4	T	412	
6259XX	Injured by handheld object or equipment, n.e.c.	4	T	413	
625XXX	Injured by handheld object or equipment	3	T	408	
6260XX	Struck by swinging or slipping object, other than handheld, unspecified	4	T	415	
6261XX	Struck by or caught in swinging door or gate	4	T	416	
6269XX	Struck by swinging or slipping object, other than handheld, n.e.c.	4	T	417	
626XXX	Struck by swinging or slipping object, other than handheld	3	T	414	
629XXX	Struck by object or equipment, n.e.c.	3	T	418	
62XXXX	Struck by object or equipment	2	T	379	
630XXX	Struck against object or equipment, unspecified	3	T	420	
6310XX	Struck against moving object or equipment, unspecified	4	T	422	
6311XX	Struck against moving part of machinery or equipment	4	T	423	
6312XX	Struck against object or equipment while moving it	4	T	424	
6319XX	Struck against moving object or equipment, n.e.c.	4	T	425	
631XXX	Struck against moving object or equipment	3	T	421	
6320XX	Struck against stationary object or equipment, unspecified	4	T	427	
6321XX	Stepped on object	4	T	428	
6322XX	Struck against stationary object or equipment while rising	4	T	429	
6329XX	Struck against stationary object or equipment, n.e.c.	4	T	430	
632XXX	Struck against stationary object or equipment	3	T	426	
639XXX	Struck against object or equipment, n.e.c.	3	T	431	
63XXXX	Struck against object or equipment	2	T	419	
640XXX	Caught in or compressed by equipment or objects, unspecified	3	T	433	
6410XX	Caught in running equipment or machinery, unspecified	4	T	435	
6411XX	Caught in running equipment or machinery during maintenance, cleaning	4	T	436	
6412XX	Caught in running equipment or machinery during regular operation	4	T	437	
6419XX	Caught in running equipment or machinery, n.e.c.	4	T	438	
641XXX	Caught in running equipment or machinery	3	T	434	
642XXX	Compressed or pinched by shifting objects or equipment	3	T	439	
643XXX	Compressed or pinched between two stationary objects	3	T	440	
644XXX	Entangled in other object or equipment	3	T	441	
649XXX	Caught in or compressed by equipment or objects, n.e.c.	3	T	442	
64XXXX	Caught in or compressed by equipment or objects	2	T	432	
650XXX	Struck, caught, or crushed in collapsing structure, equipment, or material, unspecified	3	T	444	
651XXX	Excavation or trenching cave-in	3	T	445	
653XXX	Other cave-in	3	T	447	
655XXX	Struck, caught, or crushed in other collapsing structure or equipment	3	T	449	
656XXX	Engulfment in other collapsing material	3	T	450	
659XXX	Struck, caught, or crushed in collapsing structure, equipment, or material, n.e.c.	3	T	451	
65XXXX	Struck, caught, or crushed in collapsing structure, equipment, or material	2	T	443	
660XXX	Rubbed or abraded by friction or pressure, unspecified	3	T	453	
661XXX	Rubbed or abraded by kneeling on surface	3	T	454	
662XXX	Rubbed or abraded by objects being handled	3	T	455	
663XXX	Rubbed or abraded by foreign matter in eye	3	T	456	
664XXX	Rubbed or abraded by shoes, apparel, or accessories	3	T	457	
669XXX	Rubbed or abraded by friction or pressure, n.e.c.	3	T	458	
66XXXX	Rubbed or abraded by friction or pressure	2	T	452	
670XXX	Rubbed, abraded, or jarred by vibration, unspecified	3	T	460	
671XXX	Rubbed, abraded, or jarred by vehicle or mobile equipment vibration	3	T	461	
672XXX	Rubbed, abraded, or jarred by other machine or equipment vibration	3	T	462	
679XXX	Rubbed, abraded, or jarred by vibration, n.e.c.	3	T	463	
67XXXX	Rubbed, abraded, or jarred by vibration	2	T	459	
69XXXX	Contact with objects and equipment, n.e.c.	2	T	464	
6XXXXX	CONTACT WITH OBJECTS AND EQUIPMENT	1	T	376	
70XXXX	Overexertion and bodily reaction, unspecified	2	T	466	
710XXX	Overexertion involving outside sources, unspecified	3	T	468	
7110XX	Overexertion in lifting, lowering, unspecified	4	T	470	
7111XX	Overexertion in lifting--single episode	4	T	471	
7112XX	Overexertion in lifting--multiple episodes	4	T	472	
7113XX	Overexertion in lowering--single episode	4	T	473	
7114XX	Overexertion in lowering--multiple episodes	4	T	474	
711XXX	Overexertion in lifting, lowering	3	T	469	
7120XX	Overexertion in pushing, pulling, or turning, unspecified	4	T	476	
7121XX	Overexertion in pushing, pulling, or turning--single episode	4	T	477	
7122XX	Overexertion in pushing, pulling, or turning--multiple episodes	4	T	478	
712XXX	Overexertion in pushing, pulling, or turning	3	T	475	
7130XX	Overexertion in holding, carrying, or wielding, unspecified	4	T	480	
7131XX	Overexertion in holding, carrying, or wielding--single episode	4	T	481	
7132XX	Overexertion in holding, carrying, or wielding--multiple episodes	4	T	482	
713XXX	Overexertion in holding, carrying, or wielding	3	T	479	
7140XX	Overexertion in throwing, catching, unspecified	4	T	484	
7141XX	Overexertion in throwing--single episode	4	T	485	
7142XX	Overexertion in throwing--multiple episodes	4	T	486	
7143XX	Overexertion in catching--single episode	4	T	487	
7144XX	Overexertion in catching--multiple episodes	4	T	488	
714XXX	Overexertion in throwing, catching	3	T	483	
718XXX	Multiple types of overexertion involving outside sources	3	T	489	
719XXX	Overexertion involving outside sources, n.e.c.	3	T	490	
71XXXX	Overexertion involving outside sources	2	T	467	
720XXX	Repetitive motions involving microtasks, unspecified	3	T	492	
721XXX	Typing, key entry, texting, or mousing	3	T	493	
722XXX	Repetitive use of tools, instruments	3	T	494	
723XXX	Repetitive grasping, placing, or moving objects, except tools	3	T	495	
724XXX	Repetitive use of hands, not involving tools	3	T	496	
728XXX	Multiple types of repetitive motions	3	T	497	
729XXX	Repetitive motions involving microtasks, n.e.c.	3	T	498	
72XXXX	Repetitive motions involving microtasks	2	T	491	
730XXX	Other exertions or bodily reactions, unspecified	3	T	500	
7310XX	Bending, crawling, reaching, twisting, climbing, stepping, unspecified	4	T	502	
7311XX	Bending, crawling, reaching, twisting--single episode	4	T	503	
7312XX	Bending, crawling, reaching, twisting--repetitive or prolonged	4	T	504	
7313XX	Climbing or stepping up or down--single episode	4	T	505	
7314XX	Climbing or stepping up or down--repetitive or prolonged	4	T	506	
731XXX	Bending, crawling, reaching, twisting, climbing, stepping	3	T	501	
7320XX	Kneeling, kneeling down, unspecified	4	T	508	
7321XX	Kneeling, kneeling down--single episode	4	T	509	
7322XX	Kneeling, kneeling down--repetitive or prolonged	4	T	510	
732XXX	Kneeling, kneeling down	3	T	507	
7330XX	Sitting, sitting down, unspecified	4	T	512	
7331XX	Sitting, sitting down--single episode	4	T	513	
7332XX	Sitting, sitting down--repetitive or prolonged	4	T	514	
733XXX	Sitting, sitting down	3	T	511	
7340XX	Standing, standing up, unspecified	4	T	516	
7341XX	Standing, standing up--single episode	4	T	517	
7342XX	Standing, standing up--repetitive or prolonged	4	T	518	
734XXX	Standing, standing up	3	T	515	
7350XX	Walking, without other incident, unspecified	4	T	520	
7351XX	Walking, without other incident--single episode	4	T	521	
7352XX	Walking, without other incident--repetitive or prolonged	4	T	522	
735XXX	Walking, without other incident	3	T	519	
7360XX	Running, without other incident, unspecified	4	T	524	
7361XX	Running, without other incident--single episode	4	T	525	
7362XX	Running, without other incident--repetitive or prolonged	4	T	526	
736XXX	Running, without other incident	3	T	523	
7370XX	Boarding, alighting--excluding slip, trip, fall, unspecified	4	T	528	
7371XX	Boarding, alighting--excluding slip, trip, fall--single episode	4	T	529	
7372XX	Boarding, alighting--excluding slip, trip, fall--repetitive or prolonged	4	T	530	
737XXX	Boarding, alighting--excluding slip, trip, fall	3	T	527	
738XXX	Multiple types of exertions and bodily reactions	3	T	531	
7391XX	Sustained viewing	4	T	533	
