event_code	event_text	display_level	selectable	sort_sequence
447X	Fall in, on, or from railway vehicle in motion, n.e.c.	3 	T	00218
449X	Railway accident, n.e.c.	3 	T	00219
44XX	Railway accident	2 	T	00210
450X	Water vehicle accident, unspecified	3 	T	00221
451X	Collision	3 	T	00222
452X	Explosion, fire, n.e.c.	3 	T	00223
453X	Fall from ship, boat, n.e.c.	3 	T	00224
454X	Fall on ship, boat	3 	T	00225
455X	Sinking, capsized water vehicle	3 	T	00226
459X	Water vehicle accident, n.e.c.	3 	T	00227
45XX	Water vehicle accident	2 	T	00220
460X	Aircraft accident, unspecified	3 	T	00229
461X	During takeoff or landing	3 	T	00230
469X	Aircraft accident, n.e.c.	3 	T	00231
46XX	Aircraft accident	2 	T	00228
49XX	Transportation accident, n.e.c.	2 	T	00232
4XXX	Transportation accident	1 	T	00168
50XX	Fire or explosion, unspecified	2 	T	00234
510X	Fire, unspecified	3 	T	00236
511X	Fire in residence, building, or other structure	3 	T	00237
512X	Forest, brush, or other outdoor fire	3 	T	00238
513X	Ignition of clothing from controlled heat source	3 	T	00239
519X	Fire, n.e.c.	3 	T	00240
51XX	Fire--unintended or uncontrolled	2 	T	00235
520X	Explosion, unspecified	3 	T	00242
521X	Explosion of battery	3 	T	00243
522X	Explosion of pressure vessel or piping	3 	T	00244
529X	Explosion, n.e.c.	3 	T	00245
52XX	Explosion	2 	T	00241
5XXX	Fire or explosion	1 	T	00233
60XX	Assaults and violent acts, unspecified	2 	T	00247
610X	Homicides, unspecified	3 	T	00249
611X	Biting	3 	T	00250
612X	Hitting, kicking, beating	3 	T	00251
613X	Shooting	3 	T	00252
614X	Squeezing, pinching, scratching, twisting	3 	T	00253
615X	Stabbing	3 	T	00254
616X	Rape	3 	T	00255
617X	Threats or verbal assaults	3 	T	00256
619X	Assaults and violent acts by person(s), n.e.c.	3 	T	00257
61XX	Homicides	2 	T	00248
620X	Self-inflicted injury, unspecified	3 	T	00259
621X	Suicide, attempted suicide	3 	T	00260
622X	Self-inflicted injury or fatality--intent unknown	3 	T	00261
62XX	Self-inflicted injury	2 	T	00258
630X	Assaults by animals, unspecified	3 	T	00263
631X	Nonvenomous bites	3 	T	00264
639X	Assaults by animals, n.e.c.	3 	T	00265
63XX	Assaults by animals	2 	T	00262
6XXX	Assaults and violent acts	1 	T	00246
9999	Nonclassifiable	1 	T	00267
9XXX	Other events or exposures	1 	T	00266
