estimate_code	estimate_text	display_level	selectable	sort_sequence
00105	Days of pre-employment training (75th Percentile)	0	T	838	
00106	Days of pre-employment training (90th Percentile)	0	T	839	
00107	Percent of workers where prior work experience is required	0	T	851	
00108	Days of prior work experience, mean	0	T	844	
00109	Days of prior work experience (10th Percentile)	0	T	845	
00110	Days of prior work experience (25th Percentile)	0	T	846	
00111	Days of prior work experience (50th Percentile - median)	0	T	847	
00112	Days of prior work experience (75th Percentile)	0	T	848	
00113	Days of prior work experience (90th Percentile)	0	T	849	
00114	Percent of workers where prior work experience is not required	0	T	852	
00116	Days of post-employment training, mean	0	T	854	
00117	Days of post-employment training (10th Percentile)	0	T	855	
00118	Days of post-employment training (25th Percentile)	0	T	856	
00119	Days of post-employment training (50th Percentile - median)	0	T	857	
00120	Days of post-employment training (75th Percentile)	0	T	858	
00121	Days of post-employment training (90th Percentile)	0	T	859	
00122	Percent of workers where post-employment training is required	0	T	861	
00123	Percent of workers where post-employment training is not required	0	T	862	
00125	Hours of standing/walking, mean	0	T	786	
00126	Hours of standing/walking (10th Percentile)	0	T	787	
00127	Hours of standing/walking (25th Percentile)	0	T	788	
00128	Hours of standing/walking (50th Percentile - median)	0	T	789	
00129	Hours of standing/walking (75th Percentile)	0	T	790	
00130	Hours of standing/walking (90th Percentile)	0	T	791	
00132	Hours of sitting, mean	0	T	799	
00133	Hours of sitting (10th Percentile)	0	T	800	
00134	Hours of sitting (25th Percentile)	0	T	801	
00135	Hours of sitting (50th Percentile - median)	0	T	802	
00136	Hours of sitting (75th Percentile)	0	T	803	
00137	Hours of sitting (90th Percentile)	0	T	804	
00139	Percent of workers where sitting vs. standing/walking at will is allowed	0	T	266	
00140	Percent of workers where sitting vs. standing/walking at will is not allowed	0	T	267	
00142	Percent of workers where reaching overhead is not required	0	T	283	
00143	Percent of workers where reaching overhead is required, seldom	0	T	284	
00144	Percent of workers where reaching overhead is required, occasionally	0	T	285	
00145	Percent of workers where reaching overhead is required, frequently	0	T	286	
00149	Hours of reaching overhead, mean	0	T	269	
00150	Hours of reaching overhead (10th Percentile)	0	T	270	
00151	Hours of reaching overhead (25th Percentile)	0	T	271	
00152	Hours of reaching overhead (50th Percentile - median)	0	T	272	
00153	Hours of reaching overhead (75th Percentile)	0	T	273	
00154	Hours of reaching overhead (90th Percentile)	0	T	274	
00155	Percent of workers where reaching overhead, mode	0	T	275	
00156	Percent of workers where reaching overhead is required, one hand	0	T	290	
00157	Percent of workers where reaching overhead is required, both hands	0	T	291	
00159	Percent of workers where reaching at/below the shoulder is not required	0	T	308	
00160	Percent of workers where reaching at/below the shoulder is required, seldom	0	T	309	
00161	Percent of workers where reaching at/below the shoulder is required, occasionally	0	T	310	
00162	Percent of workers where reaching at/below the shoulder is required, frequently	0	T	311	
00163	Percent of workers where reaching at/below the shoulder is required, constantly	0	T	312	
00166	Hours of reaching at/below the shoulder, mean	0	T	294	
00167	Hours of reaching at/below the shoulder (10th Percentile)	0	T	295	
00168	Hours of reaching at/below the shoulder (25th Percentile)	0	T	296	
00169	Hours of reaching at/below the shoulder (50th Percentile - median)	0	T	297	
00170	Hours of reaching at/below the shoulder (75th Percentile)	0	T	298	
00171	Hours of reaching at/below the shoulder (90th Percentile)	0	T	299	
00172	Percent of workers where reaching at/below the shoulder, mode	0	T	300	
00173	Percent of workers where reaching at/below the shoulder is required, one hand	0	T	315	
00174	Percent of workers where reaching at/below the shoulder is required, both hands	0	T	316	
00176	Percent of workers where traditional keyboarding is not required	0	T	333	
00177	Percent of workers where traditional keyboarding is required, seldom	0	T	334	
00178	Percent of workers where traditional keyboarding is required, occasionally	0	T	335	
00179	Percent of workers where traditional keyboarding is required, frequently	0	T	336	
00180	Percent of workers where traditional keyboarding is required, constantly	0	T	337	
00183	Hours of traditional keyboarding, mean	0	T	319	
00184	Hours of traditional keyboarding (10th Percentile)	0	T	320	
00185	Hours of traditional keyboarding (25th Percentile)	0	T	321	
00186	Hours of traditional keyboarding (50th Percentile - median)	0	T	322	
00187	Hours of traditional keyboarding (75th Percentile)	0	T	323	
00188	Hours of traditional keyboarding (90th Percentile)	0	T	324	
00189	Percent of workers where traditional keyboarding, mode	0	T	325	
00190	Percent of workers where touchpad keyboarding is not required	0	T	354	
00192	Percent of workers where touchpad keyboarding is required, occasionally	0	T	356	
00193	Percent of workers where touchpad keyboarding is required, frequently	0	T	357	
00197	Hours of touchpad keyboarding, mean	0	T	340	
00198	Hours of touchpad keyboarding (10th Percentile)	0	T	341	
00199	Hours of touchpad keyboarding (25th Percentile)	0	T	342	
00200	Hours of touchpad keyboarding (50th Percentile - median)	0	T	343	
00201	Hours of touchpad keyboarding (75th Percentile)	0	T	344	
00202	Hours of touchpad keyboarding (90th Percentile)	0	T	345	
00203	Percent of workers where touchpad keyboarding, mode	0	T	346	
00204	Percent of workers where 10-key pad keyboarding is not required	0	T	375	
00206	Percent of workers where 10-key pad keyboarding is required, occasionally	0	T	377	
00211	Hours of 10-key pad keyboarding, mean	0	T	361	
00213	Hours of 10-key pad keyboarding (25th Percentile)	0	T	363	
00214	Hours of 10-key pad keyboarding (50th Percentile - median)	0	T	364	
00215	Hours of 10-key pad keyboarding (75th Percentile)	0	T	365	
00216	Hours of 10-key pad keyboarding (90th Percentile)	0	T	366	
00217	Percent of workers where 10-key pad keyboarding, mode	0	T	367	
00218	Percent of workers where other keyboarding is not required	0	T	396	
00231	Percent of workers where other keyboarding, mode	0	T	388	
00233	Pounds maximum weight lifted/carried, mean	0	T	813	
00234	Pounds maximum weight lifted/carried (10th Percentile)	0	T	814	
00235	Pounds maximum weight lifted/carried (25th Percentile)	0	T	815	
00236	Pounds maximum weight lifted/carried (50th Percentile - median)	0	T	816	
00237	Pounds maximum weight lifted/carried (75th Percentile)	0	T	817	
00238	Pounds maximum weight lifted/carried (90th Percentile)	0	T	818	
00239	Percent of workers where lifting/carrying less than or equal to 10 lbs is required, seldom	0	T	404	
00240	Percent of workers where lifting/carrying > 10 lbs and less than or equal to 20 lbs is required, seldom	0	T	405	
00241	Percent of workers where lifting/carrying > 20 lbs and less than or equal to 50 lbs is required, seldom	0	T	406	
00242	Percent of workers where lifting/carrying > 50 lbs and less than or equal to 100 lbs is required, seldom	0	T	407	
00243	Percent of workers where lifting/carrying > 100 lbs is required, seldom	0	T	408	
00245	Percent of workers where lifting/carrying seldom, mode	0	T	403	
00246	Percent of workers where lifting/carrying less than or equal to 10 lbs is required, occasionally	0	T	411	
00247	Percent of workers where lifting/carrying > 10 lbs and less than or equal to 20 lbs is required, occasionally	0	T	412	
00248	Percent of workers where lifting/carrying > 20 lbs and less than or equal to 50 lbs is required, occasionally	0	T	413	
00249	Percent of workers where lifting/carrying > 50 lbs and less than or equal to 100 lbs is required, occasionally	0	T	414	
00250	Percent of workers where lifting/carrying > 100 lbs is required, occasionally	0	T	415	
00252	Percent of workers where lifting/carrying occasionally, mode	0	T	410	
00253	Percent of workers where lifting/carrying negligible is required, frequently	0	T	418	
00254	Percent of workers where lifting/carrying less than or equal to 10 lbs is required, frequently	0	T	419	
00255	Percent of workers where lifting/carrying > 10 lbs and less than or equal to 25 lbs is required, frequently	0	T	420	
00256	Percent of workers where lifting/carrying > 25 lbs and less than or equal to 50 lbs is required, frequently	0	T	421	
00257	Percent of workers where lifting/carrying > 50 lbs is required, frequently	0	T	422	
00259	Percent of workers where lifting/carrying none is required, constantly	0	T	425	
00260	Percent of workers where lifting/carrying frequently, mode	0	T	417	
00261	Percent of workers where lifting/carrying negligible is required, constantly	0	T	426	
00262	Percent of workers where lifting/carrying less than or equal to 10 lbs is required, constantly	0	T	427	
00263	Percent of workers where lifting/carrying > 10 lbs and less than or equal to 20 lbs is required, constantly	0	T	428	
00264	Percent of workers where lifting/carrying > 20 lbs is required, constantly	0	T	429	
00266	Percent of workers where lifting/carrying constantly, mode	0	T	424	
00267	Percent of workers where crawling is not required	0	T	445	
00268	Percent of workers where crawling is required, seldom	0	T	446	
00269	Percent of workers where crawling is required, occasionally	0	T	447	
00274	Hours of crawling, mean	0	T	431	
00275	Hours of crawling (10th Percentile)	0	T	432	
00276	Hours of crawling (25th Percentile)	0	T	433	
00277	Hours of crawling (50th Percentile - median)	0	T	434	
00278	Hours of crawling (75th Percentile)	0	T	435	
00279	Hours of crawling (90th Percentile)	0	T	436	
00280	Percent of workers where crawling, mode	0	T	437	
00281	Percent of workers where pushing/pulling with hands/arms is not required	0	T	466	
00282	Percent of workers where pushing/pulling with hands/arms is required, seldom	0	T	467	
00283	Percent of workers where pushing/pulling with hands/arms is required, occasionally	0	T	468	
00284	Percent of workers where pushing/pulling with hands/arms is required, frequently	0	T	469	
00288	Hours of pushing/pulling with hands/arms, mean	0	T	452	
00289	Hours of pushing/pulling with hands/arms (10th Percentile)	0	T	453	
00290	Hours of pushing/pulling with hands/arms (25th Percentile)	0	T	454	
00291	Hours of pushing/pulling with hands/arms (50th Percentile - median)	0	T	455	
00292	Hours of pushing/pulling with hands/arms (75th Percentile)	0	T	456	
00293	Hours of pushing/pulling with hands/arms (90th Percentile)	0	T	457	
00294	Percent of workers where pushing/pulling with hands/arms, mode	0	T	458	
00295	Percent of workers where pushing/pulling with feet/legs is not required	0	T	487	
00296	Percent of workers where pushing/pulling with feet/legs is required, seldom	0	T	488	
00297	Percent of workers where pushing/pulling with feet/legs is required, occasionally	0	T	489	
00298	Percent of workers where pushing/pulling with feet/legs is required, frequently	0	T	490	
00302	Hours of pushing/pulling with feet/legs, mean	0	T	473	
00303	Hours of pushing/pulling with feet/legs (10th Percentile)	0	T	474	
00304	Hours of pushing/pulling with feet/legs (25th Percentile)	0	T	475	
00305	Hours of pushing/pulling with feet/legs (50th Percentile - median)	0	T	476	
00306	Hours of pushing/pulling with feet/legs (75th Percentile)	0	T	477	
00307	Hours of pushing/pulling with feet/legs (90th Percentile)	0	T	478	
00308	Percent of workers where pushing/pulling with feet/legs, mode	0	T	479	
00309	Percent of workers where driving(passenger car) is required	0	T	496	
00310	Percent of workers where driving(other vehicle) is required	0	T	497	
00311	Percent of workers where driving is not required	0	T	498	
00313	Percent of workers where foot/leg controls is not required	0	T	514	
00314	Percent of workers where foot/leg controls is required, seldom	0	T	515	
00315	Percent of workers where foot/leg controls is required, occasionally	0	T	516	
00316	Percent of workers where foot/leg controls is required, frequently	0	T	517	
00317	Percent of workers where foot/leg controls is required, constantly	0	T	518	
00320	Hours of foot/leg controls, mean	0	T	500	
00321	Hours of foot/leg controls (10th Percentile)	0	T	501	
00322	Hours of foot/leg controls (25th Percentile)	0	T	502	
00323	Hours of foot/leg controls (50th Percentile - median)	0	T	503	
00324	Hours of foot/leg controls (75th Percentile)	0	T	504	
00325	Hours of foot/leg controls (90th Percentile)	0	T	505	
00326	Percent of workers where foot/leg controls, mode	0	T	506	
00327	Percent of workers where foot/leg controls is required, one foot/leg	0	T	521	
00328	Percent of workers where foot/leg controls is required, both feet/legs	0	T	522	
00330	Percent of workers where gross manipulation is not required	0	T	539	
00331	Percent of workers where gross manipulation is required, seldom	0	T	540	
00332	Percent of workers where gross manipulation is required, occasionally	0	T	541	
00333	Percent of workers where gross manipulation is required, frequently	0	T	542	
00334	Percent of workers where gross manipulation is required, constantly	0	T	543	
00337	Hours of gross manipulation, mean	0	T	525	
00338	Hours of gross manipulation (10th Percentile)	0	T	526	
00339	Hours of gross manipulation (25th Percentile)	0	T	527	
00340	Hours of gross manipulation (50th Percentile - median)	0	T	528	
00341	Hours of gross manipulation (75th Percentile)	0	T	529	
00342	Hours of gross manipulation (90th Percentile)	0	T	530	
00343	Percent of workers where gross manipulation, mode	0	T	531	
00344	Percent of workers where gross manipulation is required, one hand	0	T	546	
00345	Percent of workers where gross manipulation is required, both hands	0	T	547	
00347	Percent of workers where fine manipulation is not required	0	T	564	
00348	Percent of workers where fine manipulation is required, seldom	0	T	565	
00349	Percent of workers where fine manipulation is required, occasionally	0	T	566	
00350	Percent of workers where fine manipulation is required, frequently	0	T	567	
00351	Percent of workers where fine manipulation is required, constantly	0	T	568	
00354	Hours of fine manipulation, mean	0	T	550	
00355	Hours of fine manipulation (10th Percentile)	0	T	551	
00356	Hours of fine manipulation (25th Percentile)	0	T	552	
00357	Hours of fine manipulation (50th Percentile - median)	0	T	553	
00358	Hours of fine manipulation (75th Percentile)	0	T	554	
00359	Hours of fine manipulation (90th Percentile)	0	T	555	
00360	Percent of workers where fine manipulation, mode	0	T	556	
00361	Percent of workers where fine manipulation is required, one hand	0	T	571	
00362	Percent of workers where fine manipulation is required, both hands	0	T	572	
00364	Percent of workers where climbing ramps or stairs (structure-related) is required	0	T	576	
00365	Percent of workers where climbing ramps or stairs (structure-related) is not required	0	T	577	
00367	Percent of workers where climbing ramps or stairs (work-related) is not required	0	T	593	
00368	Percent of workers where climbing ramps or stairs (work-related) is required, seldom	0	T	594	
00369	Percent of workers where climbing ramps or stairs (work-related) is required, occasionally	0	T	595	
00374	Hours of climbing ramps or stairs (work-related), mean	0	T	579	
00375	Hours of climbing ramps or stairs (work-related) (10th Percentile)	0	T	580	
00376	Hours of climbing ramps or stairs (work-related) (25th Percentile)	0	T	581	
00377	Hours of climbing ramps or stairs (work-related) (50th Percentile - median)	0	T	582	
00378	Hours of climbing ramps or stairs (work-related) (75th Percentile)	0	T	583	
00379	Hours of climbing ramps or stairs (work-related) (90th Percentile)	0	T	584	
00380	Percent of workers where climbing ramps or stairs (work-related), mode	0	T	585	
00381	Percent of workers where climbing ladders, ropes, or scaffolds is not required	0	T	614	
00382	Percent of workers where climbing ladders, ropes, or scaffolds is required, seldom	0	T	615	
00383	Percent of workers where climbing ladders, ropes, or scaffolds is required, occasionally	0	T	616	
00388	Hours of climbing ladders, ropes, or scaffolds, mean	0	T	600	
00390	Hours of climbing ladders, ropes, or scaffolds (25th Percentile)	0	T	602	
00391	Hours of climbing ladders, ropes, or scaffolds (50th Percentile - median)	0	T	603	
00393	Hours of climbing ladders, ropes, or scaffolds (90th Percentile)	0	T	605	
00394	Percent of workers where climbing ladders, ropes, or scaffolds, mode	0	T	606	
00395	Percent of workers where stooping is not required	0	T	635	
00396	Percent of workers where stooping is required, seldom	0	T	636	
00397	Percent of workers where stooping is required, occasionally	0	T	637	
00398	Percent of workers where stooping is required, frequently	0	T	638	
00402	Hours of stooping, mean	0	T	621	
00403	Hours of stooping (10th Percentile)	0	T	622	
00404	Hours of stooping (25th Percentile)	0	T	623	
00405	Hours of stooping (50th Percentile - median)	0	T	624	
00406	Hours of stooping (75th Percentile)	0	T	625	
00407	Hours of stooping (90th Percentile)	0	T	626	
00408	Percent of workers where stooping, mode	0	T	627	
00409	Percent of workers where kneeling is not required	0	T	656	
00410	Percent of workers where kneeling is required, seldom	0	T	657	
00411	Percent of workers where kneeling is required, occasionally	0	T	658	
00416	Hours of kneeling, mean	0	T	642	
00417	Hours of kneeling (10th Percentile)	0	T	643	
00418	Hours of kneeling (25th Percentile)	0	T	644	
00419	Hours of kneeling (50th Percentile - median)	0	T	645	
00420	Hours of kneeling (75th Percentile)	0	T	646	
00421	Hours of kneeling (90th Percentile)	0	T	647	
00422	Percent of workers where kneeling, mode	0	T	648	
00423	Percent of workers not exposed to extreme cold	0	T	74	
00424	Percent of workers exposed to extreme cold, seldom	0	T	75	
00425	Percent of workers exposed to extreme cold, occasionally	0	T	76	
00430	Hours exposed to extreme cold, mean	0	T	60	
00431	Hours exposed to extreme cold (10th Percentile)	0	T	61	
00432	Hours exposed to extreme cold (25th Percentile)	0	T	62	
00433	Hours exposed to extreme cold (50th Percentile - median)	0	T	63	
00434	Hours exposed to extreme cold (75th Percentile)	0	T	64	
00435	Hours exposed to extreme cold (90th Percentile)	0	T	65	
00436	Percent of workers exposed to extreme cold, mode	0	T	66	
00437	Percent of workers not exposed to extreme heat	0	T	95	
00450	Percent of workers exposed to extreme heat, mode	0	T	87	
00451	Percent of workers not exposed to wetness	0	T	116	
00452	Percent of workers exposed to wetness, seldom	0	T	117	
00453	Percent of workers exposed to wetness, occasionally	0	T	118	
00454	Percent of workers exposed to wetness, frequently	0	T	119	
00455	Percent of workers exposed to wetness, constantly	0	T	120	
00458	Hours exposed to wetness, mean	0	T	102	
00459	Hours exposed to wetness (10th Percentile)	0	T	103	
00460	Hours exposed to wetness (25th Percentile)	0	T	104	
00461	Hours exposed to wetness (50th Percentile - median)	0	T	105	
00462	Hours exposed to wetness (75th Percentile)	0	T	106	
00463	Hours exposed to wetness (90th Percentile)	0	T	107	
00464	Percent of workers exposed to wetness, mode	0	T	108	
00465	Percent of workers not exposed to humidity	0	T	137	
00478	Percent of workers exposed to humidity, mode	0	T	129	
00479	Percent of workers not exposed to heavy vibrations	0	T	158	
00481	Percent of workers exposed to heavy vibrations, occasionally	0	T	160	
00492	Percent of workers exposed to heavy vibrations, mode	0	T	150	
00520	Percent of workers not exposed to high, exposed places	0	T	181	
00521	Percent of workers exposed to high, exposed places, seldom	0	T	182	
00522	Percent of workers exposed to high, exposed places, occasionally	0	T	183	
00531	Hours exposed to high, exposed places (75th Percentile)	0	T	169	
00533	Percent of workers exposed to high, exposed places, mode	0	T	171	
00534	Percent of workers not in proximity to moving mechanical parts	0	T	205	
00538	Percent of workers in proximity to moving mechanical parts, constantly	0	T	209	
00547	Percent of workers in proximity to moving mechanical parts, mode	0	T	195	
00548	Percent of workers where near visual acuity is required	0	T	666	
00549	Percent of workers where near visual acuity is not required	0	T	667	
00551	Percent of workers where far visual acuity is required	0	T	670	
00552	Percent of workers where far visual acuity is not required	0	T	671	
00554	Percent of workers where peripheral vision is required	0	T	674	
00555	Percent of workers where peripheral vision is not required	0	T	675	
00559	Percent of workers where communicating verbally is required, occasionally	0	T	693	
00560	Percent of workers where communicating verbally is required, frequently	0	T	694	
00561	Percent of workers where communicating verbally is required, constantly	0	T	695	
00564	Hours of communicating verbally, mean	0	T	677	
00565	Hours of communicating verbally (10th Percentile)	0	T	678	
00566	Hours of communicating verbally (25th Percentile)	0	T	679	
00567	Hours of communicating verbally (50th Percentile - median)	0	T	680	
00568	Hours of communicating verbally (75th Percentile)	0	T	681	
00569	Hours of communicating verbally (90th Percentile)	0	T	682	
00570	Percent of workers where communicating verbally, mode	0	T	683	
00571	Percent of workers exposed to quiet noise intensity level	0	T	216	
00572	Percent of workers exposed to moderate noise intensity level	0	T	217	
00573	Percent of workers exposed to loud noise intensity level	0	T	218	
00574	Percent of workers exposed to very loud noise intensity level	0	T	219	
00576	Percent of workers exposed to noise intensity level, mode	0	T	213	
00577	Percent of workers where hearing one-on-one is required	0	T	699	
00578	Percent of workers where hearing one-on-one is not required	0	T	700	
00580	Percent of workers where hearing in a group/conference is required	0	T	703	
00581	Percent of workers where hearing in a group/conference is not required	0	T	704	
00583	Percent of workers where hearing over the telephone is required	0	T	707	
00584	Percent of workers where hearing over the telephone is not required	0	T	708	
00586	Percent of workers where hearing other sounds is required	0	T	711	
00587	Percent of workers where hearing other sounds is not required	0	T	712	
00589	Percent of workers where hearing requirements: pass a hearing test is required	0	T	715	
00590	Percent of workers where hearing requirements: pass a hearing test is not required	0	T	716	
00592	Percent of workers where crouching is not required	0	T	732	
00593	Percent of workers where crouching is required, seldom	0	T	733	
00594	Percent of workers where crouching is required, occasionally	0	T	734	
00599	Hours of crouching, mean	0	T	718	
00600	Hours of crouching (10th Percentile)	0	T	719	
00601	Hours of crouching (25th Percentile)	0	T	720	
00602	Hours of crouching (50th Percentile - median)	0	T	721	
00603	Hours of crouching (75th Percentile)	0	T	722	
00604	Hours of crouching (90th Percentile)	0	T	723	
00605	Percent of workers where crouching, mode	0	T	724	
00606	Percent of workers where pushing/pulling is required, one hand/arm	0	T	739	
00607	Percent of workers where pushing/pulling is required, both hands/arms	0	T	740	
00609	Percent of workers where pushing/pulling is required, one foot/leg	0	T	743	
00610	Percent of workers where pushing/pulling is required, both feet/legs	0	T	744	
00612	Percent of workers not exposed to outdoors	0	T	236	
00613	Percent of workers exposed to outdoors, seldom	0	T	237	
00614	Percent of workers exposed to outdoors, occasionally	0	T	238	
00615	Percent of workers exposed to outdoors, frequently	0	T	239	
00616	Percent of workers exposed to outdoors, constantly	0	T	240	
00619	Hours exposed to outdoors, mean	0	T	222	
00620	Hours exposed to outdoors (10th Percentile)	0	T	223	
00621	Hours exposed to outdoors (25th Percentile)	0	T	224	
00622	Hours exposed to outdoors (50th Percentile - median)	0	T	225	
00623	Hours exposed to outdoors (75th Percentile)	0	T	226	
00624	Hours exposed to outdoors (90th Percentile)	0	T	227	
00625	Percent of workers exposed to outdoors, mode	0	T	228	
00626	Days of associates degree time, mean	0	T	887	
00627	Days of associates degree time (10th Percentile)	0	T	888	
00628	Days of associates degree time (25th Percentile)	0	T	889	
00629	Days of associates degree time (50th Percentile - median)	0	T	890	
00630	Days of associates degree time (75th Percentile)	0	T	891	
00631	Days of associates degree time (90th Percentile)	0	T	892	
00632	Days of vocational associates degree time, mean	0	T	893	
00633	Days of vocational associates degree time (10th Percentile)	0	T	894	
00634	Days of vocational associates degree time (25th Percentile)	0	T	895	
00635	Days of vocational associates degree time (50th Percentile - median)	0	T	896	
00636	Days of vocational associates degree time (75th Percentile)	0	T	897	
00637	Days of vocational associates degree time (90th Percentile)	0	T	898	
00638	Days of high school vocational time, mean	0	T	899	
00640	Days of high school vocational time (25th Percentile)	0	T	901	
00642	Days of high school vocational time (75th Percentile)	0	T	903	
00643	Days of high school vocational time (90th Percentile)	0	T	904	
00644	Percent of workers where pushing/pulling with feet only is not required	0	T	761	
00648	Percent of workers where pushing/pulling with feet only is required, constantly	0	T	765	
00657	Percent of workers where pushing/pulling with feet only, mode	0	T	753	
00658	Percent of workers where pushing/pulling with feet only is required, one foot	0	T	768	
00659	Percent of workers where pushing/pulling with feet only is required, both feet	0	T	769	
00661	Percent of workers where strength is required, sedentary	0	T	773	
00662	Percent of workers where strength is light work	0	T	774	
00663	Percent of workers where strength is medium work	0	T	775	
00664	Percent of workers where strength is heavy work	0	T	776	
00665	Percent of workers where strength is very heavy work	0	T	777	
00666	Percent of workers where strength, mode	0	T	772	
00667	Percent of workers where literacy requirement, mode	0	T	833	
00668	Percent of workers where pre-employment training requirement, mode	0	T	840	
00669	Percent of workers where prior work experience requirement, mode	0	T	850	
00670	Percent of workers where post-employment training requirement, mode	0	T	860	
00671	Percent of workers where sitting vs. standing/walking at will, mode	0	T	265	
00672	Percent of workers where reaching overhead with one or both hands, mode	0	T	293	
00673	Percent of workers where reaching at/below the shoulder with one or both hands, mode	0	T	318	
00674	Percent of workers where driving, mode	0	T	494	
00675	Percent of workers where foot/leg controls with one or both feet/legs, mode	0	T	524	
00676	Percent of workers where gross manipulation with one or both hands, mode	0	T	549	
00677	Percent of workers where fine manipulation with one or both hands, mode	0	T	574	
00678	Percent of workers where climbing ramps or stairs (structure-related), mode	0	T	575	
00679	Percent of workers where near visual acuity, mode	0	T	665	
00680	Percent of workers where far visual acuity, mode	0	T	669	
00681	Percent of workers where peripheral vision, mode	0	T	673	
00682	Percent of workers where hearing one-on-one, mode	0	T	698	
00683	Percent of workers where hearing in a group/conference, mode	0	T	702	
00684	Percent of workers where hearing over the telephone, mode	0	T	706	
00685	Percent of workers where hearing other sounds, mode	0	T	710	
00686	Percent of workers where hearing requirements: pass a hearing test, mode	0	T	714	
00687	Percent of workers where pushing/pulling with one or both hands/arms, mode	0	T	742	
00688	Percent of workers where pushing/pulling with one or both feet/legs, mode	0	T	746	
00689	Percent of workers where pushing/pulling with one or both feet only, mode	0	T	771	
00728	Percent of workers where type of contact with other contacts is not applicable	0	T	51	
00732	Percent of workers where adaptability with work location rarely or never changes	0	T	2	
00733	Percent of workers where adaptability with work location sometimes changes	0	T	3	
00734	Percent of workers where adaptability with work location often changes	0	T	4	
00735	Percent of workers where adaptability with work location always changes	0	T	5	
00737	Percent of workers where adaptability with work location, mode	0	T	1	
00738	Percent of workers where adaptability with work schedule rarely or never changes	0	T	7	
00739	Percent of workers where adaptability with work schedule sometimes changes	0	T	8	
00740	Percent of workers where adaptability with work schedule often changes	0	T	9	
00741	Percent of workers where adaptability with work schedule always changes	0	T	10	
00743	Percent of workers where adaptability with work schedule, mode	0	T	6	
00744	Percent of workers where adaptability with work tasks rarely or never changes	0	T	12	
00745	Percent of workers where adaptability with work tasks sometimes changes	0	T	13	
00746	Percent of workers where adaptability with work tasks often changes	0	T	14	
00747	Percent of workers where adaptability with work tasks always changes	0	T	15	
00749	Percent of workers where adaptability with work tasks, mode	0	T	11	
00750	Percent of workers where any keyboarding is required	0	T	663	
00751	Percent of workers where climbing ladders, ropes, or scaffolds is required	0	T	607	
00752	Percent of workers where climbing ramps or stairs (work-related) is required	0	T	586	
00753	Percent of workers where communicating verbally is required	0	T	684	
00754	Percent of workers where control of work pace is work-driven	0	T	58	
00755	Percent of workers where control of work pace is worker-driven	0	T	59	
00757	Percent of workers where control of work pace, mode	0	T	57	
00758	Percent of workers where crawling is required	0	T	438	
00759	Percent of workers where crouching is required	0	T	725	
00760	Percent of workers where decision-making is little or no decision-making	0	T	17	
00761	Percent of workers where decision-making is straightforward decisions from set choices	0	T	18	
00762	Percent of workers where decision-making is assessing situations and possible outcomes	0	T	19	
00763	Percent of workers where decision-making is assessing uncertain or conflicting situations	0	T	20	
00765	Percent of workers where decision-making, mode	0	T	16	
00766	Percent of workers where driving is required	0	T	495	
00767	Percent of workers exposed to extreme cold	0	T	67	
