occupation_code	soc_code	occupation_text	display_level	selectable	sort_sequence
722	43413100	Loan Interviewers and Clerks	1	T	740	
723	43414100	New Accounts Clerks	1	T	741	
724	43415100	Order Clerks	1	T	742	
726	43417100	Receptionists and Information Clerks	1	T	744	
727	43418100	Reservation and Transportation Ticket Agents and Travel Clerks	1	T	745	
728	43419900	Information and Record Clerks, All Other	1	T	746	
733	43503200	Dispatchers, Except Police, Fire, and Ambulance	1	T	751	
738	43506100	Production, Planning, and Expediting Clerks	1	T	756	
739	43507100	Shipping, Receiving, and Traffic Clerks	1	T	757	
740	43508100	Stock Clerks and Order Fillers	1	T	758	
741	43508101	Stock Clerks, Sales Floor	1	T	759	
743	43508103	Stock Clerks- Stockroom, Warehouse, or Storage Yard	1	T	761	
746	43601100	Executive Secretaries and Executive Administrative Assistants	1	T	764	
748	43601300	Medical Secretaries	1	T	766	
749	43601400	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive	1	T	767	
751	43902100	Data Entry Keyers	1	T	769	
754	43904100	Insurance Claims and Policy Processing Clerks	1	T	772	
755	43904101	Insurance Claims Clerks	1	T	773	
758	43906100	Office Clerks, General	1	T	776	
763	43919900	Office and Administrative Support Workers, All Other	1	T	781	
785	47101100	First-Line Supervisors of Construction Trades and Extraction Workers	1	T	805	
790	47203100	Carpenters	1	T	810	
791	47203101	Construction Carpenters	1	T	811	
799	47206100	Construction Laborers	1	T	819	
802	47207300	Operating Engineers and Other Construction Equipment Operators	1	T	822	
805	47211100	Electricians	1	T	825	
80A	53705100	Industrial Truck and Tractor Operators	1	T	1102	
82A	53706200	Laborers and Freight, Stock, and Material Movers, Hand	1	T	1104	
84A	53706400	Packers and Packagers, Hand	1	T	1106	
852	49101100	First-Line Supervisors of Mechanics, Installers, and Repairers	1	T	873	
856	49202200	Telecommunications Equipment Installers and Repairers, Except Line Installers	1	T	877	
868	49302300	Automotive Service Technicians and Mechanics	1	T	889	
871	49303100	Bus and Truck Mechanics and Diesel Engine Specialists	1	T	892	
887	49904100	Industrial Machinery Mechanics	1	T	908	
888	49904300	Maintenance Workers, Machinery	1	T	909	
898	49907100	Maintenance and Repair Workers, General	1	T	919	
910	51101100	First-Line Supervisors of Production and Operating Workers	1	T	932	
918	51209200	Team Assemblers	1	T	940	
920	51209900	Assemblers and Fabricators, All Other	1	T	942	
921	51301100	Bakers	1	T	943	
923	51302200	Meat, Poultry, and Fish Cutters and Trimmers	1	T	945	
929	51401100	Computer-Controlled Machine Tool Operators, Metal and Plastic	1	T	951	
934	51403100	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal & Plastic	1	T	956	
946	51408100	Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	1	T	968	
949	51412106	Welders, Cutters, and Welder Fitters	1	T	971	
960	51601100	Laundry and Dry-Cleaning Workers	1	T	982	
