case_code	category_code	category_text
0	SCX	Primary source of injury-- Automobiles	
0	SDX	Primary source of injury-- Trucks	
0	SEX	Primary source of injury-- Plant vehicles	
0	SFX	Primary source of injury-- Forklifts	
0	SGX	Primary source of injury-- Tractors	
0	SHX	Primary source of injury-- Structures	
0	SIX	Primary source of injury-- Floors	
0	SJX	Primary source of injury-- Machinery	
0	SKX	Primary source of injury-- Agricultural machinery	
0	SLX	Primary source of injury-- Construction & mining machinery	
0	SMX	Primary source of injury-- Material handling machinery	
0	SNX	Primary source of injury-- Parts & materials	
0	SOX	Primary source of injury-- Machine, tool, & electric parts	
0	SPX	Primary source of injury-- Persons, plants, etc.	
0	SQX	Primary source of injury-- Other persons	
0	SRX	Primary source of injury-- Robber	
0	SSX	Primary source of injury-- Co-worker	
0	STX	Primary source of injury-- Trees, logs	
0	SUX	Primary source of injury-- Chemicals	
0	SVX	Primary source of injury-- Tools, instruments, & equipment	
0	SWX	Primary source of injury-- Containers	
0	SXX	Primary source of injury-- All other sources	
0	SYX	Primary source of injury-- Bullets	
0	SZX	Primary source of injury-- Fire	
0	TAX	Secondary source of injury-- Vehicles	
0	TBX	Secondary source of injury-- Highway vehicles	
0	TCX	Secondary source of injury-- Plant vehicles	
0	TDX	Secondary source of injury-- Structures & surfaces	
0	TEX	Secondary source of injury-- Floors	
0	TFX	Secondary source of injury-- Structures	
0	TGX	Secondary source of injury-- Machinery	
0	THX	Secondary source of injury-- Parts & materials	
0	TIX	Secondary source of injury-- Machine, tool, & electric parts	
0	TJX	Secondary source of injury-- Persons, plants, etc.	
0	TKX	Secondary source of injury-- Other persons	
0	TLX	Secondary source of injury-- Robber	
0	TMX	Secondary source of injury-- Co-worker	
0	TNX	Secondary source of injury-- Trees, logs	
0	TOX	Secondary source of injury-- Chemicals	
0	TPX	Secondary source of injury-- Tools, instruments, & equipment	
0	TQX	Secondary source of injury-- Containers	
0	TRX	Secondary source of injury-- Other sources	
0	TSX	Secondary source of injury-- Liquids	
0	TTX	Secondary source of injury-- Not reported	
0	WAX	Worker status-- Wage and salary	
0	WBX	Worker status-- Self-employed	
0	XAX	Worker activity-- Transporting	
0	XBX	Worker activity-- Tool use	
0	XCX	Worker activity-- Constructing	
0	XDX	Worker activity-- Protecting	
0	XEX	Worker activity-- Handling	
0	XFX	Worker activity-- Physical	
0	XGX	Worker activity-- Other	
0	XHX	Worker activity-- Tending	
0	XIX	Worker activity-- Not reported	
0	YAX	Worker location-- Residence	
0	YBX	Worker location-- Farm	
0	YCX	Worker location-- Mine	
0	YDX	Worker location-- Industrial area	
0	YEX	Worker location-- Recreation area	
0	YFX	Worker location-- Street	
0	YGX	Worker location-- Public building	
0	YHX	Worker location-- Institution	
0	YIX	Worker location-- Other or not reported	
1	00X	Ownership-- All	
1	50X	Ownership-- Private industry	
1	AAX	Age group-- 15 & under	
1	ABX	Age group-- 16-17	
1	ACX	Age group-- 18-19	
1	ADX	Age group-- 20-24	
1	AEX	Age group-- 25-34	
1	AFX	Age group-- 35-44	
1	AGX	Age group-- 45-54	
1	AHX	Age group-- 55-64	
1	AIX	Age group-- 65 & older	
1	E1X	Event or exposure-- Shooting	
1	E2X	Event or exposure-- Other homicides	
1	E3X	Event or exposure-- Self-inflicted injuries	
1	E4X	Event or exposure-- Other events or exposures	
1	EAX	Event or exposure-- Contact with objects & equipment	
1	EBX	Event or exposure-- Struck by object	
1	ECX	Event or exposure-- Struck by falling object	
1	EDX	Event or exposure-- Caught in equipment or object	
1	EEX	Event or exposure-- Caught in running equipment or machinery	
1	EFX	Event or exposure-- Falls	
1	EGX	Event or exposure-- Fall to lower level	
1	EHX	Event or exposure-- Fall from ladder	
1	EIX	Event or exposure-- Fall from roof	
1	EJX	Event or exposure-- Fall from scaffold	
1	EKX	Event or exposure-- Harmful substances or environments	
1	ELX	Event or exposure-- Contact with current	
1	EMX	Event or exposure-- Caustic, noxious substances	
1	ENX	Event or exposure-- Oxygen deficiency	
1	EOX	Event or exposure-- Transportation incident	
1	EPX	Event or exposure-- Highway transportation incident	
1	EQX	Event or exposure-- Collision between vehicles	
1	ERX	Event or exposure-- Noncollision highway incident	
1	ESX	Event or exposure-- Nonhighway transportation incident	
1	ETX	Event or exposure-- Overturned, nonhighway	
1	EUX	Event or exposure-- Struck by vehicle	
1	EVX	Event or exposure-- Other transportation incidents	
1	EWX	Event or exposure-- Aircraft incidents	
1	EXX	Event or exposure-- Fires & explosions	
1	EYX	Event or exposure-- Assaults	
1	EZX	Event or exposure-- Homicides	
1	GFX	Gender-- Female	
1	GMX	Gender-- Male	
1	NAX	Nature-- Intracranial injuries	
1	NBX	Nature-- Other traumatic injuries	
1	NCX	Nature-- Internal injuries	
1	NDX	Nature-- Asphyxiations, suffocations	
1	NEX	Nature-- Drownings	
1	NFX	Nature-- Electrocutions	
1	NGX	Nature-- Poisonings, toxic effects	
1	NHX	Nature-- Open wounds	
1	NIX	Nature-- Gunshot wounds	
1	NJX	Nature-- Burns (heat, chemical, etc.)	
1	NKX	Nature-- Multiple traumatic injuries	
1	NLX	Nature-- Intracranial injuries and injuries to internal organs	
1	O00	Occupation-- Management, Professional, and Related Occupations (11--29)	
1	O10	Occupation-- Management, Business, and Financial Occupations (11--13)	
1	O11	Occupation-- Management Occupations	
1	O13	Occupation-- Business and Financial Operations Occupations	
1	O15	Occupation-- Computer and Mathematical Occupations	
1	O17	Occupation-- Architecture and Engineering Occupations	
1	O19	Occupation-- Life, Physical, and Social Science Occupations	
1	O20	Occupation-- Professional and Related Occupations (15--29)	
1	O21	Occupation-- Community and Social Services Occupations	
1	O23	Occupation-- Legal Occupations	
1	O25	Occupation-- Education, Training, and Library Occupations	
1	O27	Occupation-- Arts, Design, Entertainment, Sports, and Media Occupations	
1	O29	Occupation-- Healthcare Practitioner and Technical Occupations	
1	O30	Occupation-- Service Occupations (31--39)	
1	O31	Occupation-- Healthcare Support Occupations	
1	O33	Occupation-- Protective Service Occupations	
1	O35	Occupation-- Food Preparation and Serving Related Occupations	
1	O37	Occupation-- Building and Grounds Cleaning and Maintenance Occupations	
1	O39	Occupation-- Personal Care and Service Occupations	
1	O40	Occupation-- Sales and Office Occupations (41--43)	
1	O41	Occupation-- Sales and Related Occupations	
1	O43	Occupation-- Office and Administrative Support Occupations	
1	O44	Occupation-- Natural Resources, Construction, and Maintenance Occupations (45--49)	
1	O45	Occupation-- Farming, Fishing, and Forestry Occupations	
1	O47	Occupation-- Construction and Extraction Occupations	
1	O49	Occupation-- Installation, Maintenance, and Repair Occupations	
1	O50	Occupation-- Production, Transportation, and Material Moving Occupations (51--53)	
1	O51	Occupation-- Production Occupations	
1	O53	Occupation-- Transportation and Material Moving Occupations	
1	PAX	Part-- Head	
1	PBX	Part-- Trunk	
1	PCX	Part-- Chest	
1	PDX	Part-- Back	
1	PEX	Part-- Neck	
1	PFX	Part-- Lower extremities	
1	PGX	Part-- Upper extremities	
1	PHX	Part-- Body systems	
1	PIX	Part-- Multiple	
1	RAX	Race-- White	
1	RBX	Race-- Black	
1	RCX	Race-- American Indian, Aleut, Eskimo	
1	RDX	Race-- Asian	
1	REX	Race-- Pacific Islander	
1	RGX	Race-- Multiple	
1	RHX	Race-- Other or not reported	
1	RIX	Race-- Hispanic	
1	SAX	Primary source of injury-- Vehicles	
1	SBX	Primary source of injury-- Highway vehicles	
1	SCX	Primary source of injury-- Automobiles	
1	SDX	Primary source of injury-- Trucks	
1	SEX	Primary source of injury-- Plant vehicles	
1	SFX	Primary source of injury-- Forklifts	
1	SGX	Primary source of injury-- Tractors	
1	SHX	Primary source of injury-- Structures	
1	SIX	Primary source of injury-- Floors	
1	SJX	Primary source of injury-- Machinery	
1	SKX	Primary source of injury-- Agricultural machinery	
1	SLX	Primary source of injury-- Construction & mining machinery	
1	SMX	Primary source of injury-- Material handling machinery	
1	SNX	Primary source of injury-- Parts & materials	
1	SOX	Primary source of injury-- Machine, tool, & electric parts	
1	SPX	Primary source of injury-- Persons, plants, etc.	
1	SQX	Primary source of injury-- Other persons	
1	SRX	Primary source of injury-- Robber	
1	SSX	Primary source of injury-- Co-worker	
1	STX	Primary source of injury-- Trees, logs	
1	SUX	Primary source of injury-- Chemicals	
1	SVX	Primary source of injury-- Tools, instruments, & equipment	
1	SWX	Primary source of injury-- Containers	
1	SXX	Primary source of injury-- All other sources	
1	SYX	Primary source of injury-- Bullets	
1	SZX	Primary source of injury-- Fire	
1	TAX	Secondary source of injury-- Vehicles	
1	TBX	Secondary source of injury-- Highway vehicles	
1	TCX	Secondary source of injury-- Plant vehicles	
1	TDX	Secondary source of injury-- Structures & surfaces	
1	TEX	Secondary source of injury-- Floors	
1	TFX	Secondary source of injury-- Structures	
1	TGX	Secondary source of injury-- Machinery	
1	THX	Secondary source of injury-- Parts & materials	
1	TIX	Secondary source of injury-- Machine, tool, & electric parts	
1	TJX	Secondary source of injury-- Persons, plants, etc.	
1	TKX	Secondary source of injury-- Other persons	
1	TLX	Secondary source of injury-- Robber	
1	TMX	Secondary source of injury-- Co-worker	
1	TNX	Secondary source of injury-- Trees, logs	
1	TOX	Secondary source of injury-- Chemicals	
1	TPX	Secondary source of injury-- Tools, instruments, & equipment	
1	TQX	Secondary source of injury-- Containers	
1	TRX	Secondary source of injury-- Other sources	
1	TSX	Secondary source of injury-- Liquids	
1	TTX	Secondary source of injury-- Not reported	
1	WAX	Worker status-- Wage and salary	
1	WBX	Worker status-- Self-employed	
1	XAX	Worker activity-- Transporting	
1	XBX	Worker activity-- Tool use	
1	XCX	Worker activity-- Constructing	
1	XDX	Worker activity-- Protecting	
1	XEX	Worker activity-- Handling	
1	XFX	Worker activity-- Physical	
1	XGX	Worker activity-- Other	
1	XHX	Worker activity-- Tending	
1	XIX	Worker activity-- Not reported	
1	YAX	Worker location-- Residence	
1	YBX	Worker location-- Farm	
1	YCX	Worker location-- Mine	
1	YDX	Worker location-- Industrial area	
1	YEX	Worker location-- Recreation area	
1	YFX	Worker location-- Street	
1	YGX	Worker location-- Public building	
1	YHX	Worker location-- Institution	
1	YIX	Worker location-- Other or not reported	
6	00X	Ownership-- All	
6	10X	Ownership-- Federal government	
6	ACX	Age group-- 18-19	
6	ADX	Age group-- 20-24	
6	AEX	Age group-- 25-34	
6	AFX	Age group-- 35-44	
6	AGX	Age group-- 45-54	
6	AHX	Age group-- 55-64	
6	AIX	Age group-- 65 & older	
6	E1X	Event or exposure-- Shooting	
6	E2X	Event or exposure-- Other homicides	
6	E3X	Event or exposure-- Self-inflicted injuries	
6	E4X	Event or exposure-- Other events or exposures	
6	EAX	Event or exposure-- Contact with objects & equipment	
6	EBX	Event or exposure-- Struck by object	
6	ECX	Event or exposure-- Struck by falling object	
6	EFX	Event or exposure-- Falls	
6	EGX	Event or exposure-- Fall to lower level	
6	EKX	Event or exposure-- Harmful substances or environments	
6	ELX	Event or exposure-- Contact with current	
6	EMX	Event or exposure-- Caustic, noxious substances	
6	ENX	Event or exposure-- Oxygen deficiency	
6	EOX	Event or exposure-- Transportation incident	
6	EPX	Event or exposure-- Highway transportation incident	
6	EQX	Event or exposure-- Collision between vehicles	
6	ERX	Event or exposure-- Noncollision highway incident	
6	ESX	Event or exposure-- Nonhighway transportation incident	
6	ETX	Event or exposure-- Overturned, nonhighway	
6	EUX	Event or exposure-- Struck by vehicle	
6	EVX	Event or exposure-- Other transportation incidents	
6	EWX	Event or exposure-- Aircraft incidents	
6	EXX	Event or exposure-- Fires & explosions	
6	EYX	Event or exposure-- Assaults	
6	EZX	Event or exposure-- Homicides	
6	GFX	Gender-- Female	
6	GMX	Gender-- Male	
6	NAX	Nature-- Intracranial injuries	
6	NBX	Nature-- Other traumatic injuries	
6	NCX	Nature-- Internal injuries	
6	NDX	Nature-- Asphyxiations, suffocations	
6	NEX	Nature-- Drownings	
6	NFX	Nature-- Electrocutions	
6	NGX	Nature-- Poisonings, toxic effects	
6	NHX	Nature-- Open wounds	
6	NIX	Nature-- Gunshot wounds	
6	NJX	Nature-- Burns (heat, chemical, etc.)	
6	NKX	Nature-- Multiple traumatic injuries	
6	NLX	Nature-- Intracranial injuries and injuries to internal organs	
6	O00	Occupation-- Management, Professional, and Related Occupations (11--29)	
6	O10	Occupation-- Management, Business, and Financial Occupations (11--13)	
6	O11	Occupation-- Management Occupations	
6	O13	Occupation-- Business and Financial Operations Occupations	
6	O15	Occupation-- Computer and Mathematical Occupations	
6	O17	Occupation-- Architecture and Engineering Occupations	
6	O19	Occupation-- Life, Physical, and Social Science Occupations	
6	O20	Occupation-- Professional and Related Occupations (15--29)	
6	O21	Occupation-- Community and Social Services Occupations	
6	O29	Occupation-- Healthcare Practitioner and Technical Occupations	
6	O30	Occupation-- Service Occupations (31--39)	
6	O33	Occupation-- Protective Service Occupations	
6	O37	Occupation-- Building and Grounds Cleaning and Maintenance Occupations	
6	O40	Occupation-- Sales and Office Occupations (41--43)	
6	O43	Occupation-- Office and Administrative Support Occupations	
6	O44	Occupation-- Natural Resources, Construction, and Maintenance Occupations (45--49)	
6	O49	Occupation-- Installation, Maintenance, and Repair Occupations	
6	O50	Occupation-- Production, Transportation, and Material Moving Occupations (51--53)	
6	O51	Occupation-- Production Occupations	
6	O53	Occupation-- Transportation and Material Moving Occupations	
6	O55	Occupation-- Military Specific Occupations	
6	PAX	Part-- Head	
6	PBX	Part-- Trunk	
6	PCX	Part-- Chest	
6	PDX	Part-- Back	
6	PEX	Part-- Neck	
6	PFX	Part-- Lower extremities	
6	PHX	Part-- Body systems	
6	PIX	Part-- Multiple	
6	RAX	Race-- White	
6	RBX	Race-- Black	
6	RDX	Race-- Asian	
6	RHX	Race-- Other or not reported	
6	RIX	Race-- Hispanic	
6	SAX	Primary source of injury-- Vehicles	
6	SBX	Primary source of injury-- Highway vehicles	
6	SCX	Primary source of injury-- Automobiles	
6	SDX	Primary source of injury-- Trucks	
6	SHX	Primary source of injury-- Structures	
6	SIX	Primary source of injury-- Floors	
6	SNX	Primary source of injury-- Parts & materials	
6	SPX	Primary source of injury-- Persons, plants, etc.	
6	SUX	Primary source of injury-- Chemicals	
6	SXX	Primary source of injury-- All other sources	
6	SYX	Primary source of injury-- Bullets	
6	SZX	Primary source of injury-- Fire	
6	TAX	Secondary source of injury-- Vehicles	
6	TBX	Secondary source of injury-- Highway vehicles	
6	TDX	Secondary source of injury-- Structures & surfaces	
6	TEX	Secondary source of injury-- Floors	
6	TFX	Secondary source of injury-- Structures	
6	TGX	Secondary source of injury-- Machinery	
6	THX	Secondary source of injury-- Parts & materials	
6	TIX	Secondary source of injury-- Machine, tool, & electric parts	
6	TJX	Secondary source of injury-- Persons, plants, etc.	
6	TKX	Secondary source of injury-- Other persons	
6	TMX	Secondary source of injury-- Co-worker	
6	TNX	Secondary source of injury-- Trees, logs	
6	TPX	Secondary source of injury-- Tools, instruments, & equipment	
6	TRX	Secondary source of injury-- Other sources	
6	TSX	Secondary source of injury-- Liquids	
6	TTX	Secondary source of injury-- Not reported	
6	WAX	Worker status-- Wage and salary	
6	XAX	Worker activity-- Transporting	
6	XCX	Worker activity-- Constructing	
6	XDX	Worker activity-- Protecting	
6	XEX	Worker activity-- Handling	
6	XFX	Worker activity-- Physical	
6	XGX	Worker activity-- Other	
6	XIX	Worker activity-- Not reported	
6	YAX	Worker location-- Residence	
6	YBX	Worker location-- Farm	
6	YDX	Worker location-- Industrial area	
6	YFX	Worker location-- Street	
6	YGX	Worker location-- Public building	
6	YHX	Worker location-- Institution	
6	YIX	Worker location-- Other or not reported	
7	00X	Ownership-- All	
7	20X	Ownership-- State government	
7	ADX	Age group-- 20-24	
7	AEX	Age group-- 25-34	
7	AFX	Age group-- 35-44	
7	AGX	Age group-- 45-54	
7	AHX	Age group-- 55-64	
7	AIX	Age group-- 65 & older	
7	E1X	Event or exposure-- Shooting	
7	E2X	Event or exposure-- Other homicides	
7	E3X	Event or exposure-- Self-inflicted injuries	
7	EAX	Event or exposure-- Contact with objects & equipment	
7	EBX	Event or exposure-- Struck by object	
7	ECX	Event or exposure-- Struck by falling object	
7	EDX	Event or exposure-- Caught in equipment or object	
7	EFX	Event or exposure-- Falls	
7	EGX	Event or exposure-- Fall to lower level	
7	EKX	Event or exposure-- Harmful substances or environments	
7	ELX	Event or exposure-- Contact with current	
7	EMX	Event or exposure-- Caustic, noxious substances	
7	ENX	Event or exposure-- Oxygen deficiency	
7	EOX	Event or exposure-- Transportation incident	
7	EPX	Event or exposure-- Highway transportation incident	
7	EQX	Event or exposure-- Collision between vehicles	
7	ERX	Event or exposure-- Noncollision highway incident	
7	ESX	Event or exposure-- Nonhighway transportation incident	
7	ETX	Event or exposure-- Overturned, nonhighway	
7	EUX	Event or exposure-- Struck by vehicle	
7	EVX	Event or exposure-- Other transportation incidents	
7	EWX	Event or exposure-- Aircraft incidents	
7	EYX	Event or exposure-- Assaults	
7	EZX	Event or exposure-- Homicides	
7	GFX	Gender-- Female	
7	GMX	Gender-- Male	
7	NAX	Nature-- Intracranial injuries	
7	NBX	Nature-- Other traumatic injuries	
7	NCX	Nature-- Internal injuries	
7	NDX	Nature-- Asphyxiations, suffocations	
7	NEX	Nature-- Drownings	
7	NFX	Nature-- Electrocutions	
7	NGX	Nature-- Poisonings, toxic effects	
7	NHX	Nature-- Open wounds	
7	NIX	Nature-- Gunshot wounds	
7	NKX	Nature-- Multiple traumatic injuries	
7	NLX	Nature-- Intracranial injuries and injuries to internal organs	
7	O00	Occupation-- Management, Professional, and Related Occupations (11--29)	
7	O10	Occupation-- Management, Business, and Financial Occupations (11--13)	
7	O11	Occupation-- Management Occupations	
7	O13	Occupation-- Business and Financial Operations Occupations	
7	O17	Occupation-- Architecture and Engineering Occupations	
7	O19	Occupation-- Life, Physical, and Social Science Occupations	
7	O20	Occupation-- Professional and Related Occupations (15--29)	
7	O21	Occupation-- Community and Social Services Occupations	
7	O25	Occupation-- Education, Training, and Library Occupations	
7	O29	Occupation-- Healthcare Practitioner and Technical Occupations	
7	O30	Occupation-- Service Occupations (31--39)	
7	O33	Occupation-- Protective Service Occupations	
7	O37	Occupation-- Building and Grounds Cleaning and Maintenance Occupations	
7	O39	Occupation-- Personal Care and Service Occupations	
7	O40	Occupation-- Sales and Office Occupations (41--43)	
7	O43	Occupation-- Office and Administrative Support Occupations	
7	O44	Occupation-- Natural Resources, Construction, and Maintenance Occupations (45--49)	
7	O45	Occupation-- Farming, Fishing, and Forestry Occupations	
7	O47	Occupation-- Construction and Extraction Occupations	
7	O49	Occupation-- Installation, Maintenance, and Repair Occupations	
7	O50	Occupation-- Production, Transportation, and Material Moving Occupations (51--53)	
7	O51	Occupation-- Production Occupations	
7	O53	Occupation-- Transportation and Material Moving Occupations	
7	PAX	Part-- Head	
7	PBX	Part-- Trunk	
7	PCX	Part-- Chest	
7	PDX	Part-- Back	
7	PEX	Part-- Neck	
7	PFX	Part-- Lower extremities	
7	PHX	Part-- Body systems	
7	PIX	Part-- Multiple	
7	RAX	Race-- White	
7	RBX	Race-- Black	
7	RDX	Race-- Asian	
7	RIX	Race-- Hispanic	
7	SAX	Primary source of injury-- Vehicles	
7	SBX	Primary source of injury-- Highway vehicles	
7	SCX	Primary source of injury-- Automobiles	
7	SDX	Primary source of injury-- Trucks	
7	SHX	Primary source of injury-- Structures	
7	SIX	Primary source of injury-- Floors	
7	SJX	Primary source of injury-- Machinery	
7	SLX	Primary source of injury-- Construction & mining machinery	
7	SNX	Primary source of injury-- Parts & materials	
7	SPX	Primary source of injury-- Persons, plants, etc.	
7	SQX	Primary source of injury-- Other persons	
7	STX	Primary source of injury-- Trees, logs	
7	SUX	Primary source of injury-- Chemicals	
7	SVX	Primary source of injury-- Tools, instruments, & equipment	
7	SXX	Primary source of injury-- All other sources	
7	SYX	Primary source of injury-- Bullets	
7	TAX	Secondary source of injury-- Vehicles	
7	TBX	Secondary source of injury-- Highway vehicles	
7	TDX	Secondary source of injury-- Structures & surfaces	
7	TEX	Secondary source of injury-- Floors	
7	TFX	Secondary source of injury-- Structures	
7	TGX	Secondary source of injury-- Machinery	
7	THX	Secondary source of injury-- Parts & materials	
7	TIX	Secondary source of injury-- Machine, tool, & electric parts	
7	TJX	Secondary source of injury-- Persons, plants, etc.	
7	TKX	Secondary source of injury-- Other persons	
7	TNX	Secondary source of injury-- Trees, logs	
7	TPX	Secondary source of injury-- Tools, instruments, & equipment	
7	TRX	Secondary source of injury-- Other sources	
7	TTX	Secondary source of injury-- Not reported	
7	WAX	Worker status-- Wage and salary	
7	XAX	Worker activity-- Transporting	
7	XBX	Worker activity-- Tool use	
7	XCX	Worker activity-- Constructing	
7	XDX	Worker activity-- Protecting	
7	XEX	Worker activity-- Handling	
7	XFX	Worker activity-- Physical	
7	XGX	Worker activity-- Other	
7	XIX	Worker activity-- Not reported	
7	YAX	Worker location-- Residence	
7	YBX	Worker location-- Farm	
7	YDX	Worker location-- Industrial area	
7	YEX	Worker location-- Recreation area	
7	YFX	Worker location-- Street	
7	YGX	Worker location-- Public building	
7	YHX	Worker location-- Institution	
7	YIX	Worker location-- Other or not reported	
8	00X	Ownership-- All	
8	30X	Ownership-- Local government	
8	ACX	Age group-- 18-19	
8	ADX	Age group-- 20-24	
8	AEX	Age group-- 25-34	
8	AFX	Age group-- 35-44	
8	AGX	Age group-- 45-54	
8	AHX	Age group-- 55-64	
8	AIX	Age group-- 65 & older	
8	E1X	Event or exposure-- Shooting	
8	E2X	Event or exposure-- Other homicides	
8	E3X	Event or exposure-- Self-inflicted injuries	
8	E4X	Event or exposure-- Other events or exposures	
8	EAX	Event or exposure-- Contact with objects & equipment	
8	EBX	Event or exposure-- Struck by object	
8	ECX	Event or exposure-- Struck by falling object	
8	EDX	Event or exposure-- Caught in equipment or object	
8	EEX	Event or exposure-- Caught in running equipment or machinery	
8	EFX	Event or exposure-- Falls	
8	EGX	Event or exposure-- Fall to lower level	
8	EHX	Event or exposure-- Fall from ladder	
8	EIX	Event or exposure-- Fall from roof	
8	EKX	Event or exposure-- Harmful substances or environments	
8	ELX	Event or exposure-- Contact with current	
8	EMX	Event or exposure-- Caustic, noxious substances	
8	ENX	Event or exposure-- Oxygen deficiency	
8	EOX	Event or exposure-- Transportation incident	
8	EPX	Event or exposure-- Highway transportation incident	
8	EQX	Event or exposure-- Collision between vehicles	
8	ERX	Event or exposure-- Noncollision highway incident	
8	ESX	Event or exposure-- Nonhighway transportation incident	
8	ETX	Event or exposure-- Overturned, nonhighway	
8	EUX	Event or exposure-- Struck by vehicle	
8	EVX	Event or exposure-- Other transportation incidents	
8	EWX	Event or exposure-- Aircraft incidents	
8	EXX	Event or exposure-- Fires & explosions	
8	EYX	Event or exposure-- Assaults	
8	EZX	Event or exposure-- Homicides	
8	GFX	Gender-- Female	
8	GMX	Gender-- Male	
8	NAX	Nature-- Intracranial injuries	
8	NBX	Nature-- Other traumatic injuries	
8	NCX	Nature-- Internal injuries	
8	NDX	Nature-- Asphyxiations, suffocations	
8	NEX	Nature-- Drownings	
8	NFX	Nature-- Electrocutions	
8	NGX	Nature-- Poisonings, toxic effects	
8	NHX	Nature-- Open wounds	
8	NIX	Nature-- Gunshot wounds	
