case_code	category_code	category_text
A	RCX	Race (Black or African American)	
A	RDX	Race (Hispanic or Latino)	
A	RET	Industry - Retail trade	
A	REX	Race (Native Hawaiian or Other Pacific Islander)	
A	RFX	Race (White)	
A	RGX	Race (Not reported)	
A	RHX	Race (Multi-race)	
A	RIX	Race (Hispanic and other)	
A	RRL	Industry - Real estate and rental leasing	
A	SAX	Source (Chemicals)	
A	SBX	Source (Containers)	
A	SCX	Source (Furniture)	
A	SDX	Source (Machinery)	
A	SEX	Source (Parts and materials)	
A	SFX	Source (Worker motion)	
A	SGX	Source (Floors)	
A	SHX	Source (Hand tools)	
A	SIX	Source (Vehicles)	
A	SJX	Source (Health care patient)	
A	SKX	Source (All other source)	
A	SLX	Source (Person, injured or ill worker)	
A	SMX	Source (Person, other than injured or ill worker)	
A	SP1	Industry - Service producing	
A	TAX	Time (12:01AM - 4:00AM)	
A	TBX	Time (4:01AM - 8:00AM)	
A	TCX	Time (8:01AM - 12Noon)	
A	TDX	Time (12:01PM - 4:00PM)	
A	TEX	Time (4:01PM - 8:00PM)	
A	TFX	Time (8:01PM - 12Midnight)	
A	TGX	Time (not reported)	
A	TRW	Industry - Transportation and warehousing	
A	TTU	Industry - Trade, transportation, and utilities	
A	UTL	Industry - Utilities	
A	WAX	Weekday (Sunday)	
A	WBX	Weekday (Monday)	
A	WCX	Weekday (Tuesday)	
A	WDX	Weekday (Wednesday)	
A	WEX	Weekday (Thursday)	
A	WFX	Weekday (Friday)	
A	WGX	Weekday (Saturday)	
A	WHT	Industry - Wholesale trade	
E	00X	All industry	
E	AAX	Age group (<14 yrs.)	
E	ABX	Age group (14 - 15 yrs.)	
E	ACX	Age group (16 - 19 yrs.)	
E	ADW	Industry - Administration and support and waste management	
E	ADX	Age group (20 - 24 yrs.)	
E	AER	Industry - Arts, entertainment, and recreation	
E	AEX	Age group (25 - 34 yrs.)	
E	AFH	Industry - Agriculture, forestry, fishing, and hunting	
E	AFS	Industry - Accommodation and food services	
E	AFX	Age group (35 - 44 yrs.)	
E	AGX	Age group (45 - 54 yrs.)	
E	AHX	Age group (55 - 64 yrs.)	
E	AIX	Age group (65+ yrs.)	
E	AJX	Age group (not reported)	
E	CON	Industry - Construction	
E	DAX	DAFW (1 day)	
E	DBX	DAFW (2 days)	
E	DCX	DAFW (3 - 5 days)	
E	DDX	DAFW (6 - 10 days)	
E	DEX	DAFW (11 - 20 days)	
E	DFX	DAFW (21 - 30 days)	
E	DGX	DAFW (31+ days)	
E	EDS	Industry - Educational services	
E	EHS	Industry - Education and health services	
E	FIA	Industry - Financial activities	
E	FIN	Industry - Finance and insurance	
E	GFX	Gender (Female)	
E	GMX	Gender (Male)	
E	GNX	Gender (Not reported)	
E	GP1	Industry - Goods producing	
E	HAS	Industry - Health care and social assistance	
E	HAX	Hours (before shift began)	
E	HBX	Hours (less than 1 hour)	
E	HCX	Hours (1 -2 hours)	
E	HDX	Hours (2 - 4 hours)	
E	HEX	Hours (4 - 6 hours)	
E	HFX	Hours (6 - 8 hours)	
E	HGX	Hours (8 - 10 hours)	
E	HHX	Hours (10 - 12 hours)	
E	HIX	Hours (12 - 16 hours)	
E	HJX	Hours (more than 16 hours)	
E	HKX	Hours (not reported)	
E	INF	Industry - Information	
E	LAX	LOS (< 3 mos.)	
E	LBX	LOS (3- 11 mos.)	
E	LCX	LOS (1 - 5 yrs.)	
E	LDX	LOS (5 yrs.)	
E	LEH	Industry - Leisure and hospitality	
E	LEX	LOS (Not reported)	
E	MCE	Industry - Management of companies and enterprises	
E	MFG	Industry - Manufacturing	
E	MIN	Industry - Mining	
E	MSD	Musculoskeletal disorders	
E	NAX	Nature (Sprain, Strains)	
E	NBX	Nature (Fractures)	
E	NCX	Nature (Cuts, lacerations, punctures)	
E	NDX	Nature (Cuts, lacerations)	
E	NEX	Nature (Bruises)	
E	NFX	Nature (Punctures)	
E	NGX	Nature (Heat burns)	
E	NHX	Nature (Chemical burns)	
E	NIX	Nature (Amputations)	
E	NJX	Nature (Carpal Tunnel Syndrome)	
E	NKX	Nature (Tendonitis)	
E	NLX	Nature (Total multiple trauma)	
E	NMX	Nature (With fractures)	
E	NNX	Nature (With sprains)	
E	NOX	Nature (Total back pain, etc)	
E	NPX	Nature (Back pain, hurt back only)	
E	NRM	Industry - Natural resources	
E	NTX	Nature (All other nature)	
E	O10	Occupation - Management, Business, and Financial Occupations (11--13)	
E	O20	Occupation - Professional and Related Occupations (15--29)	
E	O30	Occupation - Service Occupations (31--39)	
E	O41	Occupation - Sales and Related Occupations	
E	O43	Occupation - Office and Administrative Support Occupations	
E	O45	Occupation - Farming, Fishing, and Forestry Occupations	
E	O47	Occupation - Construction and Extraction Occupations	
E	O49	Occupation - Installation, Maintenance, and Repair Occupations	
E	O51	Occupation - Production Occupations	
E	O53	Occupation - Transportation and Material Moving Occupations	
E	OTS	Industry - Other services	
E	PAD	Public Administration	
E	PAX	Part (Total head)	
E	PBS	Industry - Professional business services	
E	PBX	Part (Eyes)	
E	PCX	Part (Neck)	
E	PDX	Part (Total trunk)	
E	PEX	Part (Back)	
E	PFX	Part (Shoulder)	
E	PGX	Part (Total upper)	
E	PHX	Part (Finger)	
E	PIX	Part (Hand)	
E	PJX	Part (Wrist)	
E	PKX	Part (Total lower)	
E	PLX	Part (Knee)	
E	PMX	Part (Foot, toe)	
E	PNX	Part (Body systems)	
E	POX	Part (Multiple)	
E	PPX	Part (All other part)	
E	PQX	Part (Arm)	
E	PRX	Part (Ankle)	
E	PST	Industry - Professional, scientific, and technical services	
E	RAX	Race (American Indian or Alaska native)	
E	RBX	Race (Asian)	
E	RCX	Race (Black or African American)	
E	RDX	Race (Hispanic or Latino)	
E	RET	Industry - Retail trade	
E	REX	Race (Native Hawaiian or Other Pacific Islander)	
E	RFX	Race (White)	
E	RGX	Race (Not reported)	
E	RHX	Race (Multi-race)	
E	RIX	Race (Hispanic and other)	
E	RRL	Industry - Real estate and rental leasing	
E	SAX	Source (Chemicals)	
E	SBX	Source (Containers)	
E	SCX	Source (Furniture)	
E	SDX	Source (Machinery)	
E	SEX	Source (Parts and materials)	
E	SFX	Source (Worker motion)	
E	SGX	Source (Floors)	
E	SHX	Source (Hand tools)	
E	SIX	Source (Vehicles)	
E	SJX	Source (Health care patient)	
E	SKX	Source (All other source)	
E	SLX	Source (Person, injured or ill worker)	
E	SMX	Source (Person, other than injured or ill worker)	
E	SP1	Industry - Service producing	
E	TAX	Time (12:01AM - 4:00AM)	
E	TBX	Time (4:01AM - 8:00AM)	
E	TCX	Time (8:01AM - 12Noon)	
E	TDX	Time (12:01PM - 4:00PM)	
E	TEX	Time (4:01PM - 8:00PM)	
E	TFX	Time (8:01PM - 12Midnight)	
E	TGX	Time (not reported)	
E	TRW	Industry - Transportation and warehousing	
E	TTU	Industry - Trade, transportation, and utilities	
E	UTL	Industry - Utilities	
E	WAX	Weekday (Sunday)	
E	WBX	Weekday (Monday)	
E	WCX	Weekday (Tuesday)	
E	WDX	Weekday (Wednesday)	
E	WEX	Weekday (Thursday)	
E	WFX	Weekday (Friday)	
E	WGX	Weekday (Saturday)	
E	WHT	Industry - Wholesale trade	
G	00X	All industry	
G	AAX	Age group (<14 yrs.)	
G	ABX	Age group (14 - 15 yrs.)	
G	ACX	Age group (16 - 19 yrs.)	
G	ADW	Industry - Administration and support and waste management	
G	ADX	Age group (20 - 24 yrs.)	
G	AER	Industry - Arts, entertainment, and recreation	
G	AEX	Age group (25 - 34 yrs.)	
G	AFH	Industry - Agriculture, forestry, fishing, and hunting	
G	AFS	Industry - Accommodation and food services	
G	AFX	Age group (35 - 44 yrs.)	
G	AGX	Age group (45 - 54 yrs.)	
G	AHX	Age group (55 - 64 yrs.)	
G	AIX	Age group (65+ yrs.)	
G	AJX	Age group (not reported)	
G	CON	Industry - Construction	
G	DAX	DAFW (1 day)	
G	DBX	DAFW (2 days)	
G	DCX	DAFW (3 - 5 days)	
G	DDX	DAFW (6 - 10 days)	
G	DEX	DAFW (11 - 20 days)	
G	DFX	DAFW (21 - 30 days)	
G	DGX	DAFW (31+ days)	
G	EAX	Event (Total object contact)	
G	EBX	Event (Struck by object)	
G	ECX	Event (Struck against object)	
G	EDS	Industry - Educational services	
G	EDX	Event (Caught in object)	
G	EEX	Event (Highway accident)	
G	EFX	Event (Assaults by animals)	
G	EGX	Event (Fall to lower level)	
G	EHS	Industry - Education and health services	
G	EHX	Event (Fall at same level)	
G	EIX	Event (Slips or trips)	
G	EJX	Event (Total overexertion)	
G	EKX	Event (Overexertion in lifting)	
G	ELX	Event (Repetitive motion)	
G	EMX	Event (Harmful exposure)	
G	ENX	Event (Transportation accident)	
G	ESX	Event (Fires and explosions)	
G	ETX	Event (Total assaults)	
G	EUX	Event (Assaults by person)	
G	EXX	Event (All other assaults)	
G	EYX	Event (All other events)	
G	FIA	Industry - Financial activities	
G	FIN	Industry - Finance and insurance	
G	GP1	Industry - Goods producing	
G	HAS	Industry - Health care and social assistance	
G	HAX	Hours (before shift began)	
G	HBX	Hours (less than 1 hour)	
G	HCX	Hours (1 -2 hours)	
G	HDX	Hours (2 - 4 hours)	
G	HEX	Hours (4 - 6 hours)	
G	HFX	Hours (6 - 8 hours)	
G	HGX	Hours (8 - 10 hours)	
G	HHX	Hours (10 - 12 hours)	
G	HIX	Hours (12 - 16 hours)	
G	HJX	Hours (more than 16 hours)	
G	HKX	Hours (not reported)	
G	INF	Industry - Information	
G	LAX	LOS (< 3 mos.)	
G	LBX	LOS (3- 11 mos.)	
G	LCX	LOS (1 - 5 yrs.)	
G	LDX	LOS (5 yrs.)	
G	LEH	Industry - Leisure and hospitality	
G	LEX	LOS (Not reported)	
G	MCE	Industry - Management of companies and enterprises	
G	MFG	Industry - Manufacturing	
G	MIN	Industry - Mining	
G	MSD	Musculoskeletal disorders	
G	NAX	Nature (Sprain, Strains)	
G	NBX	Nature (Fractures)	
G	NCX	Nature (Cuts, lacerations, punctures)	
G	NDX	Nature (Cuts, lacerations)	
G	NEX	Nature (Bruises)	
G	NFX	Nature (Punctures)	
G	NGX	Nature (Heat burns)	
G	NHX	Nature (Chemical burns)	
G	NIX	Nature (Amputations)	
G	NJX	Nature (Carpal Tunnel Syndrome)	
G	NKX	Nature (Tendonitis)	
G	NLX	Nature (Total multiple trauma)	
G	NMX	Nature (With fractures)	
G	NNX	Nature (With sprains)	
G	NOX	Nature (Total back pain, etc)	
G	NPX	Nature (Back pain, hurt back only)	
G	NRM	Industry - Natural resources	
G	NTX	Nature (All other nature)	
G	O10	Occupation - Management, Business, and Financial Occupations (11--13)	
G	O20	Occupation - Professional and Related Occupations (15--29)	
G	O30	Occupation - Service Occupations (31--39)	
G	O41	Occupation - Sales and Related Occupations	
G	O43	Occupation - Office and Administrative Support Occupations	
G	O45	Occupation - Farming, Fishing, and Forestry Occupations	
G	O47	Occupation - Construction and Extraction Occupations	
G	O49	Occupation - Installation, Maintenance, and Repair Occupations	
G	O51	Occupation - Production Occupations	
G	O53	Occupation - Transportation and Material Moving Occupations	
G	OTS	Industry - Other services	
G	PAD	Public Administration	
G	PAX	Part (Total head)	
G	PBS	Industry - Professional business services	
G	PBX	Part (Eyes)	
G	PCX	Part (Neck)	
G	PDX	Part (Total trunk)	
G	PEX	Part (Back)	
G	PFX	Part (Shoulder)	
G	PGX	Part (Total upper)	
G	PHX	Part (Finger)	
G	PIX	Part (Hand)	
G	PJX	Part (Wrist)	
G	PKX	Part (Total lower)	
G	PLX	Part (Knee)	
G	PMX	Part (Foot, toe)	
G	PNX	Part (Body systems)	
G	POX	Part (Multiple)	
G	PPX	Part (All other part)	
G	PQX	Part (Arm)	
G	PRX	Part (Ankle)	
G	PST	Industry - Professional, scientific, and technical services	
G	RAX	Race (American Indian or Alaska native)	
G	RBX	Race (Asian)	
G	RCX	Race (Black or African American)	
G	RDX	Race (Hispanic or Latino)	
G	RET	Industry - Retail trade	
G	REX	Race (Native Hawaiian or Other Pacific Islander)	
G	RFX	Race (White)	
G	RGX	Race (Not reported)	
G	RHX	Race (Multi-race)	
G	RIX	Race (Hispanic and other)	
G	RRL	Industry - Real estate and rental leasing	
G	SAX	Source (Chemicals)	
G	SBX	Source (Containers)	
G	SCX	Source (Furniture)	
G	SDX	Source (Machinery)	
G	SEX	Source (Parts and materials)	
G	SFX	Source (Worker motion)	
G	SGX	Source (Floors)	
G	SHX	Source (Hand tools)	
G	SIX	Source (Vehicles)	
G	SJX	Source (Health care patient)	
G	SKX	Source (All other source)	
G	SLX	Source (Person, injured or ill worker)	
G	SMX	Source (Person, other than injured or ill worker)	
G	SP1	Industry - Service producing	
G	TAX	Time (12:01AM - 4:00AM)	
G	TBX	Time (4:01AM - 8:00AM)	
G	TCX	Time (8:01AM - 12Noon)	
G	TDX	Time (12:01PM - 4:00PM)	
G	TEX	Time (4:01PM - 8:00PM)	
G	TFX	Time (8:01PM - 12Midnight)	
G	TGX	Time (not reported)	
G	TRW	Industry - Transportation and warehousing	
G	TTU	Industry - Trade, transportation, and utilities	
G	UTL	Industry - Utilities	
G	WAX	Weekday (Sunday)	
G	WBX	Weekday (Monday)	
G	WCX	Weekday (Tuesday)	
G	WDX	Weekday (Wednesday)	
G	WEX	Weekday (Thursday)	
G	WFX	Weekday (Friday)	
G	WGX	Weekday (Saturday)	
G	WHT	Industry - Wholesale trade	
H	00X	All industry	
H	AAX	Age group (<14 yrs.)	
H	ABX	Age group (14 - 15 yrs.)	
H	ACX	Age group (16 - 19 yrs.)	
H	ADW	Industry - Administration and support and waste management	
H	ADX	Age group (20 - 24 yrs.)	
H	AER	Industry - Arts, entertainment, and recreation	
H	AEX	Age group (25 - 34 yrs.)	
H	AFH	Industry - Agriculture, forestry, fishing, and hunting	
H	AFS	Industry - Accommodation and food services	
H	AFX	Age group (35 - 44 yrs.)	
H	AGX	Age group (45 - 54 yrs.)	
H	AHX	Age group (55 - 64 yrs.)	
H	AIX	Age group (65+ yrs.)	
H	AJX	Age group (not reported)	
H	CON	Industry - Construction	
H	DAX	DAFW (1 day)	
H	DBX	DAFW (2 days)	
H	DCX	DAFW (3 - 5 days)	
H	DDX	DAFW (6 - 10 days)	
H	DEX	DAFW (11 - 20 days)	
H	DFX	DAFW (21 - 30 days)	
H	DGX	DAFW (31+ days)	
H	EAX	Event (Total object contact)	
H	EBX	Event (Struck by object)	
H	ECX	Event (Struck against object)	
H	EDS	Industry - Educational services	
H	EDX	Event (Caught in object)	
H	EEX	Event (Highway accident)	
H	EFX	Event (Assaults by animals)	
H	EGX	Event (Fall to lower level)	
H	EHS	Industry - Education and health services	
H	EHX	Event (Fall at same level)	
H	EIX	Event (Slips or trips)	
H	EJX	Event (Total overexertion)	
H	EKX	Event (Overexertion in lifting)	
H	ELX	Event (Repetitive motion)	
H	EMX	Event (Harmful exposure)	
H	ENX	Event (Transportation accident)	
H	ESX	Event (Fires and explosions)	
H	ETX	Event (Total assaults)	
H	EUX	Event (Assaults by person)	
H	EXX	Event (All other assaults)	
H	EYX	Event (All other events)	
H	FIA	Industry - Financial activities	
H	FIN	Industry - Finance and insurance	
H	GFX	Gender (Female)	
H	GMX	Gender (Male)	
H	GNX	Gender (Not reported)	
H	GP1	Industry - Goods producing	
H	HAS	Industry - Health care and social assistance	
H	INF	Industry - Information	
H	LAX	LOS (< 3 mos.)	
H	LBX	LOS (3- 11 mos.)	
H	LCX	LOS (1 - 5 yrs.)	
H	LDX	LOS (5 yrs.)	
H	LEH	Industry - Leisure and hospitality	
H	LEX	LOS (Not reported)	
H	MCE	Industry - Management of companies and enterprises	
H	MFG	Industry - Manufacturing	
H	MIN	Industry - Mining	
H	MSD	Musculoskeletal disorders	
H	NAX	Nature (Sprain, Strains)	
H	NBX	Nature (Fractures)	
H	NCX	Nature (Cuts, lacerations, punctures)	
H	NDX	Nature (Cuts, lacerations)	
H	NEX	Nature (Bruises)	
H	NFX	Nature (Punctures)	
H	NGX	Nature (Heat burns)	
H	NHX	Nature (Chemical burns)	
H	NIX	Nature (Amputations)	
H	NJX	Nature (Carpal Tunnel Syndrome)	
H	NKX	Nature (Tendonitis)	
H	NLX	Nature (Total multiple trauma)	
H	NMX	Nature (With fractures)	
H	NNX	Nature (With sprains)	
H	NOX	Nature (Total back pain, etc)	
H	NPX	Nature (Back pain, hurt back only)	
H	NRM	Industry - Natural resources	
H	NTX	Nature (All other nature)	
H	O10	Occupation - Management, Business, and Financial Occupations (11--13)	
H	O20	Occupation - Professional and Related Occupations (15--29)	
H	O30	Occupation - Service Occupations (31--39)	
H	O41	Occupation - Sales and Related Occupations	
H	O43	Occupation - Office and Administrative Support Occupations	
H	O45	Occupation - Farming, Fishing, and Forestry Occupations	
H	O47	Occupation - Construction and Extraction Occupations	
H	O49	Occupation - Installation, Maintenance, and Repair Occupations	
H	O51	Occupation - Production Occupations	
H	O53	Occupation - Transportation and Material Moving Occupations	
H	OTS	Industry - Other services	
H	PAD	Public Administration	
H	PAX	Part (Total head)	
H	PBS	Industry - Professional business services	
H	PBX	Part (Eyes)	
H	PCX	Part (Neck)	
H	PDX	Part (Total trunk)	
H	PEX	Part (Back)	
H	PFX	Part (Shoulder)	
H	PGX	Part (Total upper)	
H	PHX	Part (Finger)	
H	PIX	Part (Hand)	
H	PJX	Part (Wrist)	
H	PKX	Part (Total lower)	
H	PLX	Part (Knee)	
H	PMX	Part (Foot, toe)	
H	PNX	Part (Body systems)	
H	POX	Part (Multiple)	
H	PPX	Part (All other part)	
H	PQX	Part (Arm)	
H	PRX	Part (Ankle)	
H	PST	Industry - Professional, scientific, and technical services	
H	RAX	Race (American Indian or Alaska native)	
H	RBX	Race (Asian)	
H	RCX	Race (Black or African American)	
H	RDX	Race (Hispanic or Latino)	
H	RET	Industry - Retail trade	
H	REX	Race (Native Hawaiian or Other Pacific Islander)	
H	RFX	Race (White)	
H	RGX	Race (Not reported)	
H	RHX	Race (Multi-race)	
H	RIX	Race (Hispanic and other)	
H	RRL	Industry - Real estate and rental leasing	
H	SAX	Source (Chemicals)	
H	SBX	Source (Containers)	
H	SCX	Source (Furniture)	
H	SDX	Source (Machinery)	
H	SEX	Source (Parts and materials)	
H	SFX	Source (Worker motion)	
