industryocc_code	industryocc_title	display_level	selectable	sort_sequence            
240000	Manufacturing	4 	T	47   
241000	Manufacturing, durable goods	6 	T	51   
242000	Manufacturing, nondurables	6 	T	52   
243000	Manufacturing, white collar occupations	5 	T	48   
250000	Transportation and public utilities	4 	T	59   
251000	Transportation	6 	T	60   
252000	Public utilities	6 	T	61   
253000	Communications	6 	T	62   
254000	Electric, gas, and sanitation	6 	T	63   
260000	Wholesale and retail trade	4 	T	64   
261000	Wholesale trade	5 	T	65   
262000	Retail trade	5 	T	66   
263000	General merchandise stores	7 	T	67   
264000	Food stores	7 	T	68   
270000	Finance, insurance, and real estate	4 	T	69   
271000	Banking	6 	T	70   
272000	Insurance	6 	T	71   
273000	Insurance, excluding sales	7 	T	72   
280000	Services	4 	T	73   
281000	Schools	6 	T	76   
282000	Elementary and secondary schools	7 	T	79   
284000	Health services	6 	T	74   
285000	Hospitals	7 	T	75   
286000	Nursing homes	7 	T	77   
289000	Educational services	6 	T	78   
290000	Public administration	4 	T	81   
299000	Higher education	7 	T	80   
310000	Northeast	1 	T	88   
320000	South	1 	T	89   
330000	Midwest	1 	T	90   
340000	West	1 	T	91   
400000	Union workers	0 	T	93   
402000	Union, blue collar	1 	T	94   
406000	Union, manufacturing, blue collar	3 	T	96   
410000	Union, manufacturing	2 	T	95   
420000	Union, nonmanufacturing	2 	T	97   
430000	Union, goods producing	2 	T	98   
440000	Union, service producing	2 	T	99   
500000	Nonunion workers	0 	T	100  
502000	Nonunion, blue collar	1 	T	101  
506000	Nonunion, manufacturing, blue collar	3 	T	103  
510000	Nonunion, manufacturing	2 	T	102  
520000	Nonunion, nonmanufacturing	2 	T	104  
530000	Nonunion, goods producing	2 	T	105  
540000	Nonunion, service producing	2 	T	106  
600000	Metropolitan areas	0 	T	108  
700000	Nonmetropolitan areas	0 	T	109  
800000	Aircraft engine parts	1 	T	111  
801000	White collar	2 	T	112  
802000	Professional, technical, and specialty	2 	T	113  
805000	Managers	2 	T	114  
806000	Clerical	2 	T	115  
807000	Blue collar	2 	T	116  
808000	Craft	2 	T	117  
809000	Operatives	2 	T	118  
810000	Aircraft	1 	T	119  
811000	White collar	2 	T	120  
812000	Blue collar	2 	T	121  
820000	Engines	1 	T	122  
821000	White collar	2 	T	123  
822000	Blue collar	2 	T	124  
830000	Parts	1 	T	125  
831000	White collar	2 	T	126  
832000	Blue collar	2 	T	127  
840000	Guided missiles	1 	T	128  
841000	White collar	2 	T	129  
842000	Blue collar	2 	T	130  
910000	All full-time workers	0 	T	132  
911000	Full-time, white collar	1 	T	133  
912000	Full-time, sales	2 	T	134  
913000	Full-time, administrative	2 	T	135  
914000	Full-time, blue collar	1 	T	136  
915000	Full-time, service	1 	T	137  
921000	Full-time, goods producing	1 	T	138  
922000	Full-time, construction	2 	T	139  
923000	Full-time, manufacturing	2 	T	140  
924000	Full-time, service producing	1 	T	141  
925000	Full-time, transportation	2 	T	142  
926000	Full-time, wholesale trade	2 	T	143  
927000	Full-time, retail trade	2 	T	144  
928000	Full-time, finance, insurance, and real estate	2 	T	145  
929000	Full-time, services	2 	T	146  
950000	All part-time workers	0 	T	147  
951000	Part-time, white collar	1 	T	148  
952000	Part-time, sales	2 	T	149  
953000	Part-time, administrative	2 	T	150  
954000	Part-time, blue collar	1 	T	151  
955000	Part-time, service	1 	T	152  
961000	Part-time, goods producing	1 	T	153  
963000	Part-time, manufacturing	2 	T	154  
964000	Part-time, service producing	1 	T	155  
965000	Part-time, transportation	2 	T	156  
966000	Part-time, wholesale trade	2 	T	157  
967000	Part-time, retail trade	2 	T	158  
968000	Part-time, finance, insurance, and real estate	2 	T	159  
969000	Part-time, services	2 	T	160  
