category_code	category_text
S5H	Primary source of injury-- Suspect not yet apprehended	
S5I	Primary source of injury-- Trees, logs, limbs	
S5J	Primary source of injury-- Trees	
S5K	Primary source of injury-- Logs	
S5X	Primary source of injury-- Persons, plants, animals, and minerals	
S62	Primary source of injury-- Buildings--office, plant, residential	
S63	Primary source of injury-- Structures other than buildings	
S65	Primary source of injury-- Other structural elements	
S67	Primary source of injury-- Geographical structures	
S6A	Primary source of injury-- Scaffolds, staging	
S6B	Primary source of injury-- Towers, poles	
S6C	Primary source of injury-- Roofs	
S6D	Primary source of injury-- Elevator shafts	
S6E	Primary source of injury-- Stairs, steps, escalators	
S6X	Primary source of injury-- Structures and surfaces	
S74	Primary source of injury-- Ladders	
S7X	Primary source of injury-- Tools, instruments, and equipment	
S81	Primary source of injury-- Aircraft	
S82	Primary source of injury-- Rail vehicles	
S83	Primary source of injury-- Water vehicles	
S84	Primary source of injury-- Highway vehicles, motorized	
S86	Primary source of injury-- SUV, sports utility vehicle	
S87	Primary source of injury-- Off-road and industrial vehicles--powered	
S88	Primary source of injury-- Plant and industrial vehicles--nonpowered	
S8A	Primary source of injury-- Passenger vehicles--automobiles, buses, and passenger vans	
S8B	Primary source of injury-- Automobile	
S8C	Primary source of injury-- Trucks--motorized freight hauling and utility	
S8D	Primary source of injury-- Semi, tractor-trailer, tanker truck	
S8E	Primary source of injury-- Dump truck	
S8F	Primary source of injury-- Garbage, recycling, or refuse truck	
S8G	Primary source of injury-- Delivery truck or van	
S8H	Primary source of injury-- Multi-purpose highway vehicles	
S8I	Primary source of injury-- Industrial vehicles, material hauling and transport--powered	
S8J	Primary source of injury-- Forklift, order picker, platform truck--powered	
S8K	Primary source of injury-- Tractors, PTOs	
S8X	Primary source of injury-- Vehicles	
S9A	Primary source of injury-- Temperature extremes--environmental	
S9B	Primary source of injury-- Water	
SP1	Private industry-- Service providing	
T1A	Secondary source of injury-- Petroleum fuels, distillates, and products, n.e.c.	
T1B	Secondary source of injury-- Drugs, alcohol, and medicines	
T1X	Secondary source of injury-- Chemicals and chemical products	
T2X	Secondary source of injury-- Containers, furniture, and fixtures	
T3X	Secondary source of injury-- Machinery	
T42	Secondary source of injury-- Fasteners, connectors, ropes, ties	
T44	Secondary source of injury-- Machine, tool, and electric parts	
T4X	Secondary source of injury-- Parts and materials	
T58	Secondary source of injury-- Plants, trees, vegetation--not processed	
T5A	Secondary source of injury-- Trees, logs, limbs	
T5X	Secondary source of injury-- Persons, plants, animals, and minerals	
T61	Secondary source of injury-- Confined spaces	
T62	Secondary source of injury-- Buildings--office, plant, residential	
T63	Secondary source of injury-- Structures other than buildings	
T66	Secondary source of injury-- Floors, walkways, ground surfaces	
T67	Secondary source of injury-- Geographical structures	
T6A	Secondary source of injury-- Guardrails, road dividers	
T6B	Secondary source of injury-- Raised natural structures, hills, mountains	
T6C	Secondary source of injury-- Water bodies--natural	
T6X	Secondary source of injury-- Structures and surfaces	
T7A	Secondary source of injury-- Knives, n.e.c.	
T7B	Secondary source of injury-- Firearms	
T7X	Secondary source of injury-- Tools, instruments, and equipment	
T81	Secondary source of injury-- Aircraft	
T82	Secondary source of injury-- Rail vehicles	
T83	Secondary source of injury-- Water vehicles	
T84	Secondary source of injury-- Highway vehicles, motorized	
T86	Secondary source of injury-- Off-road and industrial vehicles--powered	
T87	Secondary source of injury-- Plant and industrial vehicles--nonpowered	
T8A	Secondary source of injury-- Passenger vehicles--automobiles, buses, and passenger vans	
T8B	Secondary source of injury-- Trucks--motorized freight hauling and utility	
T8C	Secondary source of injury-- Forklift, order picker, platform truck--powered	
T8D	Secondary source of injury-- Tractors, PTOs	
T8X	Secondary source of injury-- Vehicles	
T91	Secondary source of injury-- Apparel and textiles	
T92	Secondary source of injury-- Environmental and elemental conditions	
T9A	Secondary source of injury-- Weather and atmospheric conditions	
TRW	Private industry-- Transportation and warehousing	
TTU	Private industry-- Trade, transportation, and utilities	
UTL	Private industry-- Utilities	
WAX	Worker status-- Wage and salary	
WBX	Worker status-- Self-employed	
WHT	Private industry-- Wholesale trade	
X11	Worker activity-- Driving or operating a vehicle	
X12	Worker activity-- Riding in or on a vehicle	
X13	Worker activity-- Other transportation or pedestrian activities	
X1X	Worker activity-- Vehicular and transportation operations	
X2X	Worker activity-- Using or operating tools, machinery	
X3X	Worker activity-- Constructing, repairing, cleaning	
X4X	Worker activity-- Protective service activities	
X5X	Worker activity-- Material handing operations	
X6X	Worker activity-- Physical activities, n.e.c.	
X71	Worker activity-- Tending an establishment, waiting on customers	
X7X	Worker activity-- Other activities	
Y14	Worker location-- Residential construction sites	
Y1X	Worker location-- Home	
Y2X	Worker location-- Farm	
Y3X	Worker location-- Mine and quarry	
Y47	Worker location-- Construction site (non-residential)	
Y48	Worker location-- Factory, plant	
Y4X	Worker location-- Industrial place and premises	
Y5X	Worker location-- Place for recreation and sport	
Y62	Worker location-- Interstate, freeway, or expressway	
Y63	Worker location-- Other highway (State or U.S.)	
Y64	Worker location-- Local road or street	
Y65	Worker location-- Road construction	
Y6X	Worker location-- Street and highway	
Y74	Worker location-- Convenience store	
Y75	Worker location-- Office building	
Y76	Worker location-- Restaurant, cafe	
Y7X	Worker location-- Public building	
Y8X	Worker location-- Residential institution	
