industry_code	industry_name	display_level	selectable	sort_sequence
336400	Aerospace Product and Parts Manufacturing	4	T	152	
336500	Railroad Rolling Stock Manufacturing	4	T	153	
336600	Ship and Boat Building	4	T	154	
336900	Other Transportation Equipment Manufacturing	4	T	155	
337000	Furniture and Related Product Manufacturing	3	T	156	
337100	Household and Institutional Furniture and Kitchen Cabinet Manufacturing	4	T	157	
337110	Wood Kitchen Cabinet and Countertop Manufacturing	5	T	158	
337120	Household and Institutional Furniture Manufacturing	5	T	159	
337200	Office Furniture (including Fixtures) Manufacturing	4	T	160	
337900	Other Furniture Related Product Manufacturing	4	T	161	
339000	Miscellaneous Manufacturing	3	T	162	
339100	Medical Equipment and Supplies Manufacturing	4	T	163	
339900	Other Miscellaneous Manufacturing	4	T	164	
339910	Jewelry and Silverware Manufacturing	5	T	165	
42--43	Sector 42 - Wholesale Trade	2	T	166	
423000	Merchant Wholesalers, Durable Goods	3	T	167	
423100	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	4	T	168	
423200	Furniture and Home Furnishing Merchant Wholesalers	4	T	169	
423300	Lumber and Other Construction Materials Merchant Wholesalers	4	T	170	
423400	Professional and Commercial Equipment and Supplies Merchant Wholesalers	4	T	171	
423500	Metal and Mineral (except Petroleum) Merchant Wholesalers	4	T	172	
423600	Household Appliances and Electrical and Electronic Goods Merchant Wholesalers	4	T	173	
423700	Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers	4	T	174	
423800	Machinery, Equipment, and Supplies Merchant Wholesalers	4	T	175	
423820	Farm and Garden Machinery and Equipment Merchant Wholesalers	5	T	176	
423900	Miscellaneous Durable Goods Merchant Wholesalers	4	T	177	
424000	Merchant Wholesalers, Nondurable Goods	3	T	178	
424100	Paper and Paper Product Merchant Wholesalers	4	T	179	
424200	Drugs and Druggists' Sundries Merchant Wholesalers	4	T	180	
424300	Apparel, Piece Goods, and Notions Merchant Wholesalers	4	T	181	
424400	Grocery and Related Product Merchant Wholesalers	4	T	182	
424500	Farm Product Raw Material Merchant Wholesalers	4	T	183	
424600	Chemical and Allied Products Merchant Wholesalers	4	T	184	
424700	Petroleum and Petroleum Products Merchant Wholesalers	4	T	185	
424800	Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers	4	T	186	
424900	Miscellaneous Nondurable Goods Merchant Wholesalers	4	T	187	
425000	Wholesale Electronic Markets and Agents and Brokers	3	T	188	
425100	Wholesale Electronic Markets and Agents and Brokers	4	T	189	
44--46	Sectors 44 and 45 - Retail Trade	2	T	190	
441000	Motor Vehicle and Parts Dealers	3	T	191	
441100	Automobile Dealers	4	T	192	
441200	Other Motor Vehicle Dealers	4	T	193	
441300	Automotive Parts, Accessories, and Tire Stores	4	T	194	
442000	Furniture and Home Furnishings Stores	3	T	195	
442100	Furniture Stores	4	T	196	
442200	Home Furnishings Stores	4	T	197	
443000	Electronics and Appliance Stores	3	T	198	
443100	Electronics and Appliance Stores	4	T	199	
444000	Building Material and Garden Equipment and Supplies Dealers	3	T	200	
444100	Building Material and Supplies Dealers	4	T	201	
444200	Lawn and Garden Equipment and Supplies Stores	4	T	202	
445000	Food and Beverage Stores	3	T	203	
445100	Grocery Stores	4	T	204	
445200	Specialty Food Stores	4	T	205	
445300	Beer, Wine, and Liquor Stores	4	T	206	
446000	Health and Personal Care Stores	3	T	207	
446100	Health and Personal Care Stores	4	T	208	
446110	Pharmacies and Drug Stores	5	T	209	
447000	Gasoline Stations	3	T	210	
447100	Gasoline Stations	4	T	211	
448000	Clothing and Clothing Accessories Stores	3	T	212	
448100	Clothing Stores	4	T	213	
448200	Shoe Stores	4	T	214	
448300	Jewelry, Luggage, and Leather Goods Stores	4	T	215	
451000	Sporting Goods, Hobby, Musical Instrument, and Book Stores	3	T	216	
451100	Sporting Goods, Hobby, and Musical Instrument Stores	4	T	217	
451110	Sporting Goods Stores	5	T	218	
451200	Book Stores and News Dealers	4	T	219	
452000	General Merchandise Stores	3	T	220	
452100	Department Stores	4	T	221	
452900	Other General Merchandise Stores	4	T	222	
453000	Miscellaneous Store Retailers	3	T	223	
453100	Florists	4	T	224	
453200	Office Supplies, Stationery, and Gift Stores	4	T	225	
453300	Used Merchandise Stores	4	T	226	
453900	Other Miscellaneous Store Retailers	4	T	227	
454000	Nonstore Retailers	3	T	228	
454100	Electronic Shopping and Mail-Order Houses	4	T	229	
454200	Vending Machine Operators	4	T	230	
454300	Direct Selling Establishments	4	T	231	
48--50	Sectors 48 and 49 - Transportation and Warehousing	2	T	232	
481000	Air Transportation	3	T	233	
481100	Scheduled Air Transportation	4	T	234	
481200	Nonscheduled Air Transportation	4	T	235	
482000	Rail Transportation	3	T	236	
482100	Rail Transportation	4	T	237	
483000	Water Transportation	3	T	238	
483100	Deep Sea, Coastal, and Great Lakes Water Transportation	4	T	239	
483200	Inland Water Transportation	4	T	240	
484000	Truck Transportation	3	T	241	
484100	General Freight Trucking	4	T	242	
484200	Specialized Freight Trucking	4	T	243	
485000	Transit and Ground Passenger Transportation	3	T	244	
485100	Urban Transit Systems	4	T	245	
485200	Interurban and Rural Bus Transportation	4	T	246	
485300	Taxi and Limousine Service	4	T	247	
485400	School and Employee Bus Transportation	4	T	248	
485500	Charter Bus Industry	4	T	249	
485900	Other Transit and Ground Passenger Transportation	4	T	250	
486000	Pipeline Transportation	3	T	251	
486100	Pipeline Transportation of Crude Oil	4	T	252	
486200	Pipeline Transportation of Natural Gas	4	T	253	
486900	Other Pipeline Transportation	4	T	254	
487000	Scenic and Sightseeing Transportation	3	T	255	
487100	Scenic and Sightseeing Transportation, Land	4	T	256	
487200	Scenic and Sightseeing Transportation, Water	4	T	257	
487900	Scenic and Sightseeing Transportation, Other	4	T	258	
488000	Support Activities for Transportation	3	T	259	
488100	Support Activities for Air Transportation	4	T	260	
488200	Support Activities for Rail Transportation	4	T	261	
488300	Support Activities for Water Transportation	4	T	262	
488400	Support Activities for Road Transportation	4	T	263	
488500	Freight Transportation Arrangement	4	T	264	
488900	Other Support Activities for Transportation	4	T	265	
491000	Postal Service (federal government)	3	T	266	
491100	Postal Service (federal government)	4	T	267	
492000	Couriers and Messengers	3	T	268	
492100	Couriers and Express Delivery Services	4	T	269	
492200	Local Messengers and Local Delivery	4	T	270	
493000	Warehousing and Storage	3	T	271	
493100	Warehousing and Storage	4	T	272	
51--52	Sector 51 - Information	2	T	273	
511000	Publishing Industries (except Internet)	3	T	274	
511100	Newspaper, Periodical, Book, and Directory Publishers	4	T	275	
511110	Newspaper Publishers	5	T	276	
511200	Software Publishers	4	T	277	
512000	Motion Picture and Sound Recording Industries	3	T	278	
512100	Motion Picture and Video Industries	4	T	279	
512130	Motion Picture and Video Exhibition	5	T	280	
512200	Sound Recording Industries	4	T	281	
515000	Broadcasting (except Internet)	3	T	282	
515100	Radio and Television Broadcasting	4	T	283	
515110	Radio Broadcasting	5	T	284	
515120	Television Broadcasting	5	T	285	
515200	Cable and Other Subscription Programming	4	T	286	
517000	Telecommunications	3	T	287	
517100	Wired Telecommunications Carriers	4	T	288	
517200	Wireless Telecommunications Carriers (except Satellite)	4	T	289	
517400	Satellite Telecommunications	4	T	290	
517900	Other Telecommunications	4	T	291	
518000	Data Processing, Hosting, and Related Services	3	T	292	
518200	Data Processing, Hosting, and Related Services	4	T	293	
519000	Other Information Services	3	T	294	
519100	Other Information Services	4	T	295	
52--53	Sector 52 - Finance and Insurance	2	T	296	
521000	Monetary Authorities-Central Bank	3	T	297	
521100	Monetary Authorities-Central Bank	4	T	298	
522000	Credit Intermediation and Related Activities	3	T	299	
522100	Depository Credit Intermediation	4	T	300	
522200	Nondepository Credit Intermediation	4	T	301	
522290	Other Nondepository Credit Intermediation	5	T	302	
522300	Activities Related to Credit Intermediation	4	T	303	
523000	Securities, Commodity Contracts, and Other Financial Investments and Related Activities	3	T	304	
523100	Securities and Commodity Contracts Intermediation and Brokerage	4	T	305	
523200	Securities and Commodity Exchanges	4	T	306	
523900	Other Financial Investment Activities	4	T	307	
524000	Insurance Carriers and Related Activities	3	T	308	
524100	Insurance Carriers	4	T	309	
524114	Direct Health and Medical Insurance Carriers	6	T	310	
524120	Direct Insurance (except Life, Health, and Medical) Carriers	5	T	311	
524200	Agencies, Brokerages, and Other Insurance Related Activities	4	T	312	
524210	Insurance Agencies and Brokerages	5	T	313	
524290	Other Insurance Related Activities	5	T	314	
525000	Funds, Trusts, and Other Financial Vehicles	3	T	315	
525100	Insurance and Employee Benefit Funds	4	T	316	
525900	Other Investment Pools and Funds	4	T	317	
53--54	Sector 53 - Real Estate and Rental and Leasing	2	T	318	
531000	Real Estate	3	T	319	
531100	Lessors of Real Estate	4	T	320	
531200	Offices of Real Estate Agents and Brokers	4	T	321	
531300	Activities Related to Real Estate	4	T	322	
532000	Rental and Leasing Services	3	T	323	
532100	Automotive Equipment Rental and Leasing	4	T	324	
532200	Consumer Goods Rental	4	T	325	
532300	General Rental Centers	4	T	326	
532400	Commercial and Industrial Machinery and Equipment Rental and Leasing	4	T	327	
533000	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)	3	T	328	
533100	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)	4	T	329	
54--55	Sector 54 - Professional, Scientific, and Technical Services	2	T	330	
541000	Professional, Scientific, and Technical Services	3	T	331	
541100	Legal Services	4	T	332	
541200	Accounting, Tax Preparation, Bookkeeping, and Payroll Services	4	T	333	
541300	Architectural, Engineering, and Related Services	4	T	334	
541330	Engineering Services	5	T	335	
541380	Testing Laboratories	5	T	336	
541400	Specialized Design Services	4	T	337	
541500	Computer Systems Design and Related Services	4	T	338	
541600	Management, Scientific, and Technical Consulting Services	4	T	339	
541700	Scientific Research and Development Services	4	T	340	
541710	Research and Development in the Physical, Engineering, and Life Sciences	5	T	341	
541720	Research and Development in the Social Sciences and Humanities	5	T	342	
541800	Advertising, Public Relations, and Related Services	4	T	343	
541900	Other Professional, Scientific, and Technical Services	4	T	344	
541920	Photographic Services	5	T	345	
541940	Veterinary Services	5	T	346	
55--56	Sector 55 - Management of Companies and Enterprises	2	T	347	
551000	Management of Companies and Enterprises	3	T	348	
551100	Management of Companies and Enterprises	4	T	349	
56--57	Sector 56- Administrative and Support and Waste Management and Remediation Services	2	T	350	
561000	Administrative and Support Services	3	T	351	
561100	Office Administrative Services	4	T	352	
561200	Facilities Support Services	4	T	353	
561300	Employment Services	4	T	354	
561320	Temporary Help Services	5	T	355	
561400	Business Support Services	4	T	356	
561420	Telephone Call Centers	5	T	357	
561500	Travel Arrangement and Reservation Services	4	T	358	
561510	Travel Agencies	5	T	359	
561600	Investigation and Security Services	4	T	360	
561610	Investigation, Guard, and Armored Car Services	5	T	361	
561620	Security Systems Services	5	T	362	
561700	Services to Buildings and Dwellings	4	T	363	
561710	Exterminating and Pest Control Services	5	T	364	
561730	Landscaping Services	5	T	365	
561900	Other Support Services	4	T	366	
562000	Waste Management and Remediation Services	3	T	367	
562100	Waste Collection	4	T	368	
562200	Waste Treatment and Disposal	4	T	369	
562900	Remediation and Other Waste Management Services	4	T	370	
61--62	Sector 61 - Educational Services	2	T	371	
611000	Educational Services	3	T	372	
611002	Educational Services - State government owned	4	T	373	
611003	Educational Services - Local government owned	4	T	374	
611005	Educational Services - Privately owned	4	T	375	
611100	Elementary and Secondary Schools	4	T	376	
611102	Elementary and Secondary Schools - State government owned	4	T	377	
611103	Elementary and Secondary Schools - Local government owned	4	T	378	
611105	Elementary and Secondary Schools - Privately owned	4	T	379	
611200	Junior Colleges (including private, state, and local government schools)	4	T	380	
611202	Junior colleges - State government owned	4	T	381	
611203	Junior colleges - Local government owned	4	T	382	
611205	Junior colleges - Privately owned	4	T	383	
611300	Colleges, Universities, and Professional Schools	4	T	384	
611302	Colleges, universities, and professional schools - State government owned	4	T	385	
611303	Colleges, universities, and professional schools - Local government owned	4	T	386	
611305	Colleges, universities, and professional schools - Privately owned	4	T	387	
611400	Business Schools and Computer and Management Training	4	T	388	
611405	Business schools and computer and management training - Privately owned	4	T	389	
611500	Technical and Trade Schools	4	T	390	
611502	Technical and trade schools - State government owned	4	T	391	
611503	Technical and trade schools - Local government owned	4	T	392	
611505	Technical and trade schools - Privately owned	4	T	393	
611600	Other Schools and Instruction	4	T	394	
611603	Other schools and instruction - Local government owned	4	T	395	
611605	Other schools and instruction - Privately owned	4	T	396	
611700	Educational Support Services	4	T	397	
611703	Educational Support Services - Local government owned	4	T	398	
611705	Educational Support Services - Privately owned	4	T	399	
62--63	Sector 62 - Health Care and Social Assistance	2	T	400	
621000	Ambulatory Health Care Services	3	T	401	
621100	Offices of Physicians	4	T	402	
621200	Offices of Dentists	4	T	403	
621300	Offices of Other Health Practitioners	4	T	404	
621310	Offices of Chiropractors	5	T	405	
621320	Offices of Optometrists	5	T	406	
621330	Offices of Mental Health Practitioners (except Physicians)	5	T	407	
621340	Offices of Physical, Occupational and Speech Therapists, and Audiologists	5	T	408	
621390	Offices of All Other Health Practitioners	5	T	409	
621400	Outpatient Care Centers	4	T	410	
621420	Outpatient Mental Health and Substance Abuse Centers	5	T	411	
621500	Medical and Diagnostic Laboratories	4	T	412	
621600	Home Health Care Services	4	T	413	
621900	Other Ambulatory Health Care Services	4	T	414	
621910	Ambulance Services	5	T	415	
621990	All Other Ambulatory Health Care Services	5	T	416	
622000	Hospitals (including private, state, and local government hospitals)	3	T	417	
622002	Hospitals - State government owned	4	T	418	
622003	Hospitals - Local government owned	4	T	419	
622005	Hospitals - Privately owned	4	T	420	
622100	General Medical and Surgical Hospitals	4	T	421	
622102	General Medical and Surgical Hospitals - State government owned	4	T	422	
622103	General Medical and Surgical Hospitals - Local government owned	4	T	423	
622105	General Medical and Surgical Hospitals - Privately owned	4	T	424	
622200	Psychiatric and Substance Abuse Hospitals	4	T	425	
622202	Psychiatric and Substance Abuse Hospitals - State government owned	4	T	426	
622205	Psychiatric and Substance Abuse Hospitals - Privately owned	4	T	427	
622300	Specialty (except Psychiatric and Substance Abuse) Hospitals	4	T	428	
622302	Specialty hospitals - State government owned	4	T	429	
622305	Specialty hospitals - Privately owned	4	T	430	
623000	Nursing and Residential Care Facilities	3	T	431	
623100	Nursing Care Facilities (Skilled Nursing Facilities)	4	T	432	
623200	Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilitie	4	T	433	
623210	Residential Intellectual and Developmental Disability Facilities	5	T	434	
623220	Residential Mental Health and Substance Abuse Facilities	5	T	435	
623300	Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly	4	T	436	
623900	Other Residential Care Facilities	4	T	437	
624000	Social Assistance	3	T	438	
624100	Individual and Family Services	4	T	439	
624120	Services for the Elderly and Persons with Disabilities	5	T	440	
624200	Community Food and Housing, and Emergency and Other Relief Services	4	T	441	
624300	Vocational Rehabilitation Services	4	T	442	
624400	Child Day Care Services	4	T	443	
71--72	Sector 71 - Arts, Entertainment, and Recreation	2	T	444	
711000	Performing Arts, Spectator Sports, and Related Industries	3	T	445	
711100	Performing Arts Companies	4	T	446	
711110	Theater Companies and Dinner Theaters	5	T	447	
711200	Spectator Sports	4	T	448	
711300	Promoters of Performing Arts, Sports, and Similar Events	4	T	449	
711400	Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures	4	T	450	
711500	Independent Artists, Writers, and Performers	4	T	451	
712000	Museums, Historical Sites, and Similar Institutions	3	T	452	
712100	Museums, Historical Sites, and Similar Institutions	4	T	453	
713000	Amusement, Gambling, and Recreation Industries	3	T	454	
713100	Amusement Parks and Arcades	4	T	455	
713200	Gambling Industries	4	T	456	
713900	Other Amusement and Recreation Industries	4	T	457	
713940	Fitness and Recreational Sports Centers	5	T	458	
72--73	Sector 72 - Accommodation and Food Services	2	T	459	
721000	Accommodation	3	T	460	
721100	Traveler Accommodation	4	T	461	
721120	Casino Hotels	5	T	462	
721200	RV (Recreational Vehicle) Parks and Recreational Camps	4	T	463	
721300	Rooming and Boarding Houses	4	T	464	
722000	Food Services and Drinking Places	3	T	465	
722300	Special Food Services	4	T	466	
722400	Drinking Places (Alcoholic Beverages)	4	T	467	
722500	Restaurants and Other Eating Places	4	T	468	
722511	Full-Service Restaurants	6	T	469	
81--82	Sector 81 - Other Services (except Federal, State, and Local Government)	2	T	470	
811000	Repair and Maintenance	3	T	471	
811100	Automotive Repair and Maintenance	4	T	472	
811110	Automotive Mechanical and Electrical Repair and Maintenance	5	T	473	
811120	Automotive Body, Paint, Interior, and Glass Repair	5	T	474	
811190	Other Automotive Repair and Maintenance	5	T	475	
811200	Electronic and Precision Equipment Repair and Maintenance	4	T	476	
811300	Commercial and Industrial Machinery Equipment (except Auto and Electronic) Repair and Maintenance	4	T	477	
811400	Personal and Household Goods Repair and Maintenance	4	T	478	
812000	Personal and Laundry Services	3	T	479	
812100	Personal Care Services	4	T	480	
812200	Death Care Services	4	T	481	
812300	Drycleaning and Laundry Services	4	T	482	
812900	Other Personal Services	4	T	483	
813000	Religious, Grantmaking, Civic, Professional, and Similar Organizations	3	T	484	
813100	Religious Organizations	4	T	485	
813200	Grantmaking and Giving Services	4	T	486	
813300	Social Advocacy Organizations	4	T	487	
813400	Civic and Social Organizations	4	T	488	
813900	Business, Professional, Labor, Political, and Similar Organizations	4	T	489	
813930	Labor Unions and Similar Labor Organizations	5	T	490	
99-100	Sector 99 - Federal, State, and Local Government (OES Designation)	2	T	491	
999000	Federal, State, and Local Government (OES Designation)	3	T	492	
999001	Federal, State, and Local Government, including government owned schools and hospitals	1	T	493	
999100	Federal Executive Branch (OES Designation)	3	T	494	
999101	Federal government, including USPS	2	T	495	
999200	State Government, excluding schools and hospitals (OES Designation)	3	T	496	
999201	State Government, including schools and hospitals	2	T	497	
999300	Local Government, excluding schools and hospitals (OES Designation)	3	T	498	
999301	Local Government, including schools and hospitals	2	T	499	
