industry_code	product_code	product_name
1213	#12      	Drilling
1213	#2       	Production work, not for own account
1213	#3       	Other bituminous coal and lignite mining services
1213	#P       	Primary services
122_	#        	Bituminous coal and lignite mining
1221	#        	Bituminous coal & lignite surface mining
1221	#1       	Unprepared (raw) bituminous coal and lignite shipped from surface operations
1221	#101     	For use without preparation
1221	#103     	For preparation at other establishments
1221	#2       	Prepared bituminous coal and lignite from surface operations
1221	#201     	Mechanically cleaned by wet-washing, pneumatic, or other methods
1221	#217     	Other preparation only: bituminous coal
1221	#218     	Other preparation only: subbituminous coal
1221	#219     	Other preparation only: lignite
1221	#M       	Miscellaneous receipts
1221	#P       	Primary products
1221	#S       	Secondary products
1222	#        	Bituminous coal underground mining
1222	#1       	Unprepared (raw) bituminous coal shipped from underground operations
1222	#2       	Prepared bituminous coal shipped from underground operations
1222	#201     	Mechanically cleaned by wet-washing, pnuematic, or other methods
1222	#217     	Other preparation only, such as mechanical crushing, screening, or sizing
1222	#P       	Primary products
1222	#S       	Secondary products
123_	#        	Anthracite mining
1231	#        	Anthracite mining
1231	#1       	Unprepared anthracite shipped
1231	#114     	For preparation at other establishments
1231	#2       	Prepared anthracite shipped
1231	#207     	Mechanically cleaned by wet-washing, pneumatic, or other methods
1231	#M       	Miscellaneous receipts
1231	#P       	Primary products
1231	#SM      	Secondary products and miscellaneous receipts
124_	#        	Coal mining services
1241	#        	Coal mining services
1241	#1       	Exploration and development work
1241	#12      	Drilling
1241	#13      	Mine development
1241	#131     	Sinking mine shafts and driving mine tunnels
1241	#2       	Production work not for own account
1241	#211     	Strip mining coal
1241	#3       	Other coal mining services
1241	#301     	Other coal mining services
1241	#4       	Coal mining services
1241	#P       	Primary products
13__	#        	Oil and gas extraction
131_	#        	Crude petroleum and natural gas
1311	#        	Crude petroleum and natural gas
1311	#1       	Crude petroleum
1311	#5       	Natural gas
1311	#53201   	Sales to interstate pipelines
1311	#53202   	Sales to intrastate pipelines
1311	#P       	Primary products
1312	#        	Crude petroleum and natural gas
1312	#1       	Crude petroleum
1312	#5       	Natural gas (from the well head)
1312	#P       	Primary products
1312	#S       	Secondary products
132_	#        	Natural Gas Liquids
1321	#        	Natural gas liquids
1321	#2       	Natural gas liquids
1321	#211     	Plant condensate
1321	#215     	Ethane
1321	#222     	Natural gasoline
1321	#231     	Propane
1321	#232     	Butane
1321	#234     	Gas mixtures
1321	#298     	Other natural gas liquids
1321	#3       	Natural gas
1321	#30101   	Sales to interstate pipelines
1321	#30102   	Sales to intrastate pipelines
1321	#P       	Primary products
1322	#        	Natural gas liquids and natural gas residue
1322	#2       	Natural gas liquids
1322	#221     	Isopentane and natural gasoline
1322	#231     	Propane
1322	#232     	Butane
1322	#298     	Ethane, gas mixtures, and other natural gas liquids
1322	#3       	Natural gas residue (from gas processors)
1322	#M       	Miscellaneous receipts
1322	#P       	Primary products
133_	#        	Crude petroleum, natural gas, and natural gas liquids
1331	#        	Crude petroleum, natural gas and natural gas liquids
1331	#A       	Crude petroleum and natural gas
1331	#A1      	Crude petroleum
1331	#A2      	Natural gas
1331	#A22     	Short term contract (30 days or less)
1331	#A23     	Medium term contract (over 30 days to 18 months)
1331	#A24     	Long term contract (over 18 months)
1331	#C       	Natural gas liquids
1331	#C13     	Natural gasoline and isopentane
1331	#C14     	Propane
1331	#C15     	Butane and isobutane
1331	#C17     	Ethane, gas mixtures & other natural gas liquids
1331	#M       	Miscellaneous receipts
1331	#P       	Primary products
138_	#        	Oil and gas field services
1381	#        	Drilling oil and gas wells
1381	#7       	Offshore drilling
1381	#701     	Drilling oil, gas, dry, and service wells
1381	#704     	Reworking wells
1381	#9       	Onshore drilling
1381	#901     	Drilling oil, gas, dry, and service wells
1381	#P       	Primary products
1382	#        	Oil and gas field exploration services
1382	#1       	Oil and gas field exploration services
1382	#801     	Geophysical exploration
1382	#80101   	Land
1382	#80102   	Marine
1382	#P       	Primary products
1382	#S       	Secondary products
1389	#        	Oil and gas field services, n.e.c.
1389	#1       	Oil and gas field services, n.e.c.
1389	#7       	Offshore field services, n.e.c.
1389	#704     	Well surveying and well logging
1389	#736     	Other oil and gas field services
1389	#9       	Onshore field services, n.e.c.
1389	#901     	Cementing wells
1389	#902     	Acidizing and other chemical treatment of wells, excluding hydraulic fracturing
1389	#903     	Perforating well casing
1389	#904     	Well surveying and well logging
1389	#911     	Hydraulic fracturing
1389	#914     	Running, cutting, and pulling casing, tubes and rods
1389	#915     	Installing production equipment, such as wellhead fittings, pumps, and engines
1389	#925     	Cleaning out, bailing out, or swabbing wells
1389	#935     	Pumping wells, but not operating leases
1389	#936     	Other oil and gas field services
1389	#M       	Miscellaneous receipts
1389	#M______A	Miscellaneous receipts
1389	#P       	Primary products
1389	#S       	Secondary products
1389	#SSS     	Other secondary products
1389	1381S    	Drilling oil and gas wells
14__	#        	Mining and quarrying of non-metallic minerals, except fuels
141_	#        	Dimension Stone
1411	#        	Dimension stone
1411	#101     	Rough dimension limestone
1411	#501     	Rough dimension granite
1411	#901     	Other rough dimension stone
1411	#P       	Primary products
1411	#S       	Secondary products
142_	#        	Crushed and broken stone, including riprap
1422	#        	Crushed and broken limestone
1422	#1       	North Central region
1422	#11101   	East North Central region
1422	#11102   	West North Central region
1422	#11103   	Other regions
1422	#112     	East North Central division
1422	#113     	West North Central division
1422	#2       	Other regions
1422	#21      	South region
1422	#211     	South Atlantic division
1422	#212     	East South Central division
1422	#213     	West South Central division
1422	#22      	Northeast region
1422	#23      	West region
1422	#P       	Primary products
1422	#S       	Secondary products
1423	#        	Crushed and broken granite, n.e.c.
1423	#11101   	South Atlantic region
1423	#11102   	Other regions
1423	#P       	Primary products
1423	#S       	Secondary products
1429	#        	Crushed and broken stone, n.e.c.
1429	#1       	Crushed and broken stone, n.e.c.
1429	#11111   	Traprock
1429	#11112   	Sandstone
1429	#11113   	Marble
1429	#11114   	Other, (slate, volcanic rock, etc.)
1429	#P       	Primary products
1429	#S       	Secondary products
144_	#        	Sand and gravel
1442	#        	Construction sand and gravel
1442	#3       	Construction sand
1442	#31      	New England
1442	#311     	Concrete aggregate and concrete products
1442	#32      	Mid-Atlantic
1442	#321     	Concrete aggregate and concrete products
1442	#325     	Fill, road base and other
1442	#33      	East North Central
1442	#331     	Concrete aggregate and concrete products
1442	#333     	Asphaltic and other aggregate and bituminous paving mixture
1442	#335     	Fill, road base and other
1442	#34      	West North Central
1442	#341     	Concrete aggregate and concrete products
1442	#345     	Fill, road base and other
1442	#35      	South Atlantic
1442	#351     	Concrete aggregate and concrete products
1442	#36      	East South Central
1442	#361     	Concrete aggregate and concrete products
1442	#37      	West South Central
1442	#371     	Concrete aggregate and concrete products
1442	#38      	Mountain
1442	#381     	Concrete aggregate and concrete products
1442	#39      	Pacific
1442	#391     	Concrete aggregate and concrete products
1442	#395     	Fill, road base and other
1442	#3A      	Northeastern Region
1442	#3B      	North Central Region
1442	#3C      	Southern Region
1442	#3D      	Western Region
1442	#5       	Construction gravel
1442	#51      	New England
1442	#511     	Concrete aggregate and concrete products
1442	#515     	Fill, road base and other
1442	#52      	Mid-Atlantic
1442	#521     	Concrete aggregate and concrete products
1442	#525     	Fill, road base and other
1442	#53      	East North Central
1442	#531     	Concrete aggregate and concrete products
1442	#533     	Asphaltic and other aggregate and bituminous paving mixture
1442	#535     	Fill, road base and other
1442	#54      	West North Central
1442	#541     	Concrete aggregate and concrete products
1442	#543     	Asphaltic and other aggregate and bituminous paving mixture
1442	#545     	Fill, road base and other
1442	#55      	South Atlantic
1442	#551     	Concrete aggregate and concrete products
1442	#553     	Asphaltic and other aggregate and bituminous paving mixture
1442	#555     	Fill, road base and other
1442	#56      	East South Central
1442	#561     	Concrete aggregate and concrete products
1442	#565     	Fill, road base and other
1442	#57      	West South Central
1442	#571     	Concrete aggregate and concrete products
1442	#573     	Asphaltic and other aggregate and bituminous paving mixture
1442	#575     	Fill, road base and other
1442	#58      	Mountain
1442	#581     	Concrete aggregate and concrete products
1442	#59      	Pacific
1442	#591     	Concrete aggregate and concrete products
1442	#593     	Asphaltic and other aggregate and bituminous paving mixture
1442	#595     	Fill, road base and other
1442	#5A      	Northeastern Region
1442	#5B      	North Central Region
1442	#5C      	Southern Region
1442	#5D      	Western Region
1442	#M       	Miscellaneous receipts
1442	#P       	Primary products
1442	#S       	Secondary products
1442	#SS      	Secondary products
1442	#XY9     	Contract work and other miscellaneous receipts
1442	#Z89     	Resales
1446	#        	Industrial sand
1446	#1       	Glass sand
1446	#5       	Molding sand
1446	#9       	Other industrial sand, n.e.c.
1446	#90101   	Abrasive sand, including blast sand
1446	#90103   	Hydraulic fracture sand
1446	#90109   	Other industrial sand, n.e.c.
1446	#P       	Primary products
1446	#S       	Secondary products
1446	#SS      	Secondary products
145_	#        	Clay, ceramic, and refractory minerals
1452	#        	Bentonite
1452	#201     	Prepared bentonite
1452	#20111   	Mountain region
1452	#20113   	Other regions
1452	#P       	Primary products
1452	#S       	Secondary products
1453	#        	Fire clay
1453	#101     	Crude fire clay
1453	#P       	Primary products
1453	#S       	Secondary products
1454	#        	Fuller's earth
1454	#P       	Primary products
1455	#        	Kaolin and ball clay
1455	#1       	Crude kaolin and ball clay
1455	#2       	Prepared kaolin and ball clay
1455	#201     	Prepared kaolin and ball clay
1455	#P       	Primary products
1455	#S       	Secondary products
1459	#        	Clay and related minerals, n. e. c
1459	#1       	Bentonite
1459	#113     	Prepared bentonite
1459	#121     	Crude
1459	#2       	Fire clay
1459	#211     	Prepared
1459	#212     	Crude fire clay
1459	#213     	Prepared fire clay
1459	#221     	Prepared
1459	#223     	Prepared
1459	#3       	Fuller's earth
1459	#3______A	Fuller's earth
1459	#301     	Fuller's earth
1459	#6       	Feldspar
1459	#7       	Common clay and shale
1459	#711     	Crude
1459	#721     	Prepared
1459	#9       	Other clay and related minerals
1459	#921     	Prepared
1459	#B       	Common clay and shale
1459	#C       	Other clay and related materials
1459	#M       	Miscellaneous receipts
1459	#P       	Primary products
1459	#S       	Secondary products
1459	#SS      	Secondary products
147_	#        	Chemical and fertilizer mineral mining
1472	#        	Barite
1472	#201     	Prepared barite
1472	#P       	Primary products
1474	#        	Potash, soda, and borate minerals
1474	#2       	Processed or refined potassium salts
1474	#201     	Processed or refined potassium salts
1474	#3       	Natural sodium carbonates and sulfates
1474	#301     	Natural sodium carbonates
1474	#303     	Natural sodium sulfate
1474	#4       	Boron compounds
1474	#401     	Boron compounds
1474	#402     	Boron compounds
1474	#P       	Primary products
1474	#S       	Secondary products
1474	#SS      	Secondary products
1475	#        	Phosphate rock
1475	#1       	Crude phosphate ore or matrix
1475	#101     	Crude phosphate ore or matrix
1475	#2       	Processed phosphate rock
1475	#201     	Washed or concentrated phosphate rock
1475	#206     	Dried phosphate rock
1475	#20602   	66% and up to but not including 70% BPL
1475	#20604   	72% BPL and over
1475	#P       	Primary products
1476	#        	Rock salt
1476	#101     	Rock salt
1476	#10101   	Southern region rock salt
1476	#10102   	Northern region rock salt
1476	#P       	Primary products
1477	#        	Sulfur
1477	#101     	Frasch process sulfur
1477	#P       	Primary products
1479	#        	Chemical and fertilizer mineral mining, n.e.c.
1479	#1       	Barite
1479	#112     	Crude barite
1479	#122     	Prepared barite
1479	#3       	Rock salt
1479	#312     	Southern region rock salt
1479	#333     	Northern region rock salt
1479	#4       	Sulfur
1479	#412     	Frasch process sulfur
1479	#9       	Chemical and fertilizer mineral mining, n.e.c.
1479	#P       	Primary products
1479	#S       	Secondary products
148_	#        	Non-metallic minerals (except fuels) services
1481	#        	Nonmetallic minerals services (except fuels)
1481	#8       	Nonmetallic minerals services (except fuels)
1481	#803     	Drilling
1481	#80302   	Other drilling including blasting
1481	#804     	Open-pit or quarry mining for others
1481	#804____A	Open-pit or quarry mining for others
1481	#809     	Other non-metallic minerals (except fuels) services
1481	#M       	Miscellaneous receipts
1481	#P       	Primary products
1481	#S       	Secondary products
149_	#        	Miscellaneous nonmetallic minerals, except fuels
1492	#        	Gypsum mining
1492	#101     	Crude gypsum
1492	#201     	Crushed, ground, screened, or dried gypsum
1492	#P       	Primary products
1496	#        	Talc, soapstone, and pyrophyllite
1496	#P       	Primary products
1499	#        	Miscellaneous nonmetallic minerals
1499	#1       	Mica
1499	#2       	Native asphalt and bitumens
1499	#201     	Native asphalt & bitumens
1499	#3       	Pumice and pumicite
1499	#5       	Peat
1499	#501     	Peat
1499	#712     	Crude
1499	#722     	Processed
1499	#8       	Talc, soapstone, and pyrophyllite
1499	#822     	Processed
1499	#9       	Other nonmetallic minerals
1499	#907     	Shell, crushed or broken
1499	#988     	Other nonmetallic minerals, n.e.c.
1499	#998     	Other nonmetallic minerals n.e.c.
1499	#A       	Miscellaneous nonmetallic minerals
1499	#M       	Miscellaneous receipts
1499	#P       	Primary products
1499	#S       	Secondary products
20__	#        	Food and kindred products
201_	#        	Meat products
2011	#        	Meat packing plants
2011	#1       	Fresh and frozen beef, not canned or made into sausage; mitse
2011	#112     	Whole or half carcass & primal beef cuts not canned or made into sausage; mitse
2011	#11201   	USDA prime beef carcasses
2011	#11202   	USDA choice beef carcasses
2011	#11203   	USDA good beef carcasses
2011	#11204   	USDA utility beef carcasses
2011	#11205   	Other USDA graded and ungraded beef carcasses
2011	#11298   	Other USDA graded and ungraded beef carcasses
2011	#114     	Primal cuts
2011	#116     	Subprimal & fabricated beef cuts however packed incl. plastic lined boxes; mitse
2011	#117     	Primal and fabricated beef cuts
2011	#131     	Fresh/frozen boneless beef incl hamburger, not canned/made into sausage; mitse
2011	#151     	Variety meats (edible organs)
2011	#181     	Other fresh/frozen beef incl. corned or organ cuts, not canned or sausage; mitse
2011	#2       	Fresh and frozen veal not canned or made into sausage; mitse
2011	#2______A	Fresh and frozen veal not canned or made into sausage; mitse
2011	#212     	Whole carcass veal
2011	#21201   	USDA Prime and choice veal carcasses
2011	#217     	Primal, subprimal, and fabricated cuts, and boneless veal
2011	#3       	Fresh and frozen lamb or mutton, not canned or made into sausage; mitse
2011	#31201   	USDA prime and choice lamb
2011	#4       	Fresh and frozen pork, not canned or made into sausage; mitse
2011	#412     	Whole carcass pork
2011	#417     	Primal and fabricated cuts (including trimmings)
2011	#41701   	Boston butts
2011	#41702   	Pork loins
2011	#41798   	Other primal cuts
2011	#451     	Variety meats (edible organs)
2011	#5       	Lard; mitse
2011	#513     	Lard, consumer sizes (3 pounds or less)
2011	#517     	Lard, commercial sizes (over 3 pounds)
2011	#6       	Pork, processed or cured, but not canned or made into sausage; mitse
2011	#631     	Hams and picnics, except canned
2011	#63101   	Hams
2011	#63102   	Picnics
2011	#635     	Slab bacon
2011	#641     	Sliced bacon
2011	#652     	Other smoked pork
2011	#7       	Sausages and similar products, but not canned; mitse
2011	#711     	Fresh sausage (pork sausage, breakfast links, etc.)
2011	#71101   	Fresh pork sausage, roll, artificial casing
2011	#71198   	Other fresh sausage, breakfast links, etc.
2011	#717     	Dry and semidry sausage (salami, cervelat, pepperoni, summer sausage, etc.)
2011	#721     	Frankfurters, including wieners
2011	#72101   	Frankfurters, skinless, all meat
2011	#735     	Other sausage, smoked or cooked (bologna, liverwurst, Polish sausage, etc.)
2011	#73501   	Bologna, all meat
2011	#73598   	Other smoked or cooked sausages
2011	#791     	Jellied goods and similar preps., not canned (meat loaves, chili con carne, etc.)
2011	#9       	Hides, skins, and pelts; mitse
2011	#912     	Cattle hides, except kip
2011	#91201   	Packer, native cow, light
2011	#91202   	Packer, branded cow
2011	#91203   	Packer, native steer, heavy
2011	#91205   	Packer, butt brander
2011	#91298   	Other cattle hides
2011	#914     	Cattle hides, including kip
2011	#997     	Other hides, skins, and pelts, except kip
2011	#C       	Miscellaneous by-products of meat packing; mitse
2011	#C41     	Edible tallow and stearin
2011	#C4101   	Edible tallow
2011	#C55     	Killing floor offal, scrap, bones, etc.
2011	#C55____A	Killing floor offal, scrap, bones, etc.
2011	#M       	Miscellaneous receipts
2011	#M______A	Miscellaneous receipts
2011	#P       	Primary products
2011	#S       	Secondary products
2011	#SS      	Secondary products
2011	#SSS     	Other secondary products
2011	#XY9     	Contract work and other miscellaneous receipts
2011	#XY9____A	Contract work and other miscellaneous receipts
2011	#Z89     	Resales
2011	#Z89____A	Resales
2011	2013S    	Prepared meats manufactured from animals slaughtered off premises
2013	#        	Sausages and other prepared meat products, made from purchased material
2013	#6       	Pork, processed or cured, including frozen not canned or made into sausage
2013	#612     	Sweet-pickled or dry-cured pork (not smoked or cooked)
2013	#631     	Smoked pork hams and picnics (not otherwise cooked), except canned
2013	#63101   	Hams
2013	#63102   	Picnics
2013	#635     	Slab bacon
2013	#635____A	Slab bacon
2013	#641     	Smoked pork sliced bacon (not otherwise cooked), not canned
2013	#652     	Other smoked pork
2013	#661     	Boiled ham, barbecue pork, and other cooked pork, exc. canned meats and sausage
2013	#662     	Other pork products (not otherwise cooked), not canned or made into sausage
2013	#7       	Sausage and similar products, except canned, not made in meat packing plants
2013	#711     	Fresh sausage (pork sausage, breakfast links, etc.), except canned
2013	#71101   	Fresh pork sausage, roll, artificial casing
2013	#71198   	Other fresh sausage, breakfast links, etc.
2013	#717     	Dry or semidry sausage and similar products (pepperoni, summer sausage, etc.)
2013	#721     	Frankfurters, including wieners, except canned, not made in meat packing plants
2013	#72101   	Frankfurters, skinless, all meat
2013	#72198   	Other frankfurters and weiners
2013	#735     	Other sausage, smoked or cooked (bologna, liverwurst, Polish sausage, etc.)
2013	#73501   	Bologna, all meat
2013	#73598   	Other smoked or cooked sausages
2013	#736     	Other sausage, smoked or cooked, and jellied goods and similar preparations
2013	#791     	Jellied goods and similar preps., not canned (meat loaves, chili con carne, etc.)
2013	#8       	Canned meats (except dog, cat, and baby food) containing 20 percent or more meat
2013	#812     	Canned meats (except dog, cat, and baby food) containing 20% or more meat
2013	#821     	Canned luncheon meats
2013	#898     	Other canned meats
2013	#B       	Other processed, frozen, or cooked meats, not made in meat packing plants
2013	#B11     	Frozen ground meat patties (processed, frozen, or cooked)
2013	#B13     	Frozen portion control meats (processed, frozen, or cooked)
2013	#B19     	Other processed, frozen, or cooked meats, not made in meat packing plants
2013	#F       	Other processed, frozen, or cooked meats (portion control, corned beef, etc.)
2013	#F98     	Other processed, frozen, or cooked meats (portion control, corned beef, etc.)
2013	#M       	Miscellaneous receipts
2013	#P       	Primary products
2013	#S       	Secondary products
2013	#SS      	Secondary Products
2013	#Z89     	Resales
2015	#        	Poultry and egg processing
2015	#1       	Young chickens (usually under 20 weeks of age), whole or parts
2015	#13      	Broiler/fryers
2015	#133     	Bulk wet ice pack broilers and fryers
2015	#13301   	Grade A bulk whole broilers
2015	#13398   	Other wet ice pack broilers
2015	#134     	Bulk dry ice packed broilers and fryers, and roasters, and capons incl. frozen
2015	#136     	Tray pack broilers and fryers (consumer packaged), chilled
2015	#139     	Other broilers and fryers, including frozen
2015	#141     	Roasters and capons (including frozen)
2015	#2       	Hens and/or fowls (including frozen whole or parts)
2015	#3       	Turkeys (including frozen whole or parts)
2015	#323     	Young turkeys
2015	#32301   	Hens, Grade A whole
2015	#32302   	Toms, Grade A whole
2015	#32398   	Other young turkeys (parts, ground turkey)
2015	#329     	Whole turkeys (including frozen)
2015	#398     	Turkey parts incl. ground turkey and turkey cutlets, etc. (including frozen)
2015	#4       	Other poultry and small game (including frozen, whole or parts)
2015	#411     	Chickens: hens/fowl (breeders/egg producers)
2015	#5       	Processed poultry & small game (has 20 percent or more poultry/meat) excl. soups
2015	#52      	Poultry, cooked or smoked
2015	#521     	Turkey, cooked or smoked (including frozen), not canned
2015	#523     	Chicken, cooked or smoked (including frozen), not canned
2015	#531     	Cooked or smoked turkey incl. frozen, excl. franks, hams and luncheon meats
2015	#532     	Cooked or smoked chicken incl. frozen, excl. franks, hams and luncheon meats
2015	#533     	Poultry frankfurters, weiners
2015	#534     	Poultry luncheon meats
2015	#535     	All other cooked or smoked poultry incl frankfurters, hams and luncheon meats
2015	#536     	Other processed poultry & small game, not cooked or smoked incl. canned & frozen
2015	#597     	All other processed poultry and small game, including canned (except soups)
2015	#9       	Liquid, dried, and frozen eggs
2015	#915     	Dried whole eggs
2015	#95      	Liquid or frozen eggs
2015	#951     	Liquid or frozen egg whites
2015	#953     	Liquid or frozen egg yolks
2015	#955     	Liquid or frozen whole eggs
2015	#M       	Miscellaneous receipts
2015	#P       	Primary products
2015	#S       	Secondary products
2015	#SS      	Secondary products
2015	#Z89     	Resales
2018	#        	Poultry dressing, poultry and egg processing
2018	#1       	Young chicken
2018	#133     	Bulk broilers/wet ice pack
2018	#13301   	Grade A bulk whole broilers/wet ice pack
2018	#13398   	Other wet ice bulk broilers, including parts
2018	#134     	Dry ice pack bulk broilers
2018	#136     	Tray pack broilers
2018	#139     	Other broilers including frozen
2018	#3       	Turkeys
2018	#323     	Young turkeys
2018	#32301   	Hens, whole, Grade A frozen
2018	#32302   	Toms, whole, Grade A frozen
2018	#32398   	Other young turkey
2018	#5       	Processed poultry and small game
2018	#521     	Turkey, cooked or smoked
2018	#523     	Chicken, cooked or smoked
2018	#9       	Liquid, dried and frozen eggs
2018	#915     	Dried whole eggs
2018	#953     	Frozen or liquid egg yolks
2018	#955     	Frozen or liquid whole eggs
2018	#M       	Miscellaneous receipts
2018	#P       	Primary products
2018	#S       	Secondary products
202_	#        	Dairy products
2021	#        	Creamery butter
2021	#1       	Creamery butter
2021	#113     	Bulk butter (over 3 pounds)
2021	#115     	Creamery butter, shipped in consumer packages (containers 3 lbs. or less)
2021	#116     	Butter, shipped bulk (containers more than 3 lbs.) incl. anhydrous butterfat
2021	#P       	Primary products
2021	#S       	Secondary products
2021	#SS      	Secondary products
2021	2023S    	Dry, condensed, and evaporated milk
2022	#        	Natural and processed cheese
2022	#1       	Natural cheese, except cottage cheese
2022	#102     	American-type cheese
2022	#10201   	Cheddar cheese
2022	#10211   	Other American-type cheese
2022	#103     	Italian-type cheese
2022	#10301   	Mozzarella cheese
2022	#10311   	Other Italian-type cheese
2022	#105     	Swiss cheese
2022	#107     	Cream and neufchatel cheese
2022	#111     	Other natural cheese, except cottage
2022	#2       	Processed cheese and related products
2022	#211     	Processed cheese
2022	#213     	Cheese food
2022	#215     	Cheese spread
2022	#219     	Other related processed cheese products
2022	#3       	Natural cheese, except cottage cheese
2022	#302     	American-type cheese
2022	#30201   	Cheddar cheese
2022	#30211   	Other American-type cheese
2022	#303     	Italian-type cheese
2022	#30301   	Mozzarella cheese
2022	#30311   	Other Italian-type cheese
2022	#305     	Swiss cheese
2022	#307     	Cream and Neufchatel cheese
2022	#311     	Other natural cheese, except cottage
2022	#4       	Processed cheese and related products
2022	#411     	Processed cheese
2022	#413     	Cheese food
2022	#415     	Cheese spread
2022	#419     	Other related processed cheese products
2022	#M       	Miscellaneous receipts
2022	#P       	Primary products
2022	#S       	Secondary products
2022	#SS      	Other secondary products
2022	#SSS     	Other secondary products
2022	#Z89     	Resales
2022	2023S    	Dry, condensed, and evaporated milk
2022	2026S    	Fluid milk
