provision_code	provision_text	display_level	selectable	sort_sequence
144	Take-up rate of workers w/ access to life insurance plans	1	T	4	
145	Access to basic life insurance and ee contrib. not req.	2	T	6	
146	Access to basic life insurance and ee contrib. required	2	T	7	
147	Access to a fixed multiple of annual earnings payment method for basic life insurance	2	T	9	
148	Mean earnings for workers w/ a fixed multiple of annual earnings life insurance formula	3	T	11	
149	Median earnings for workers w/ a fixed multiple of annual earnings life insurance formula	3	T	12	
150	< 1.0 times earnings for workers w/ a fixed multiple of annual earnings life insurance formula	3	T	14	
151	1.0 times earnings for workers w/ a fixed multiple of annual earnings life insurance formula	3	T	15	
152	1.0 - 2.0 times earnings for workers w/ a fixed multiple of annual earnings life insurance formula	3	T	16	
153	2.0 times earnings for workers w/ a fixed multiple of annual earnings life insurance formula	3	T	17	
154	> 2.0 times earnings for workers w/ a fixed multiple of annual earnings life insurance formula	3	T	18	
155	Access to a fixed multiple of earnings and a maximum benefit amount	3	T	20	
156	Access to a fixed multiple of earnings and no maximum benefit amount	3	T	21	
157	Maximum benefit amount for workers w/ life insurance plans (10th percentile)	4	T	23	
158	Maximum benefit amount for workers w/ life insurance plans (25th percentile)	4	T	24	
159	Maximum benefit amount for workers w/ life insurance plans (50th percentile)	4	T	25	
160	Maximum benefit amount for workers w/ life insurance plans (75th percentile)	4	T	26	
161	Maximum benefit amount for workers w/ life insurance plans (90th percentile)	4	T	27	
162	Access to a variable multiple of earnings payment method for basic life insurance	2	T	28	
163	Access to a flat dollar amount payment method for basic life insurance	2	T	29	
164	Life Insurance: Flat dollar amount (10th percentile)	3	T	31	
165	Life Insurance: Flat dollar amount (25th percentile)	3	T	32	
166	Life Insurance: Flat dollar amount (50th percentile)	3	T	33	
167	Life Insurance: Flat dollar amount (75th percentile)	3	T	34	
168	Life Insurance: Flat dollar amount (90th percentile)	3	T	35	
169	Access to a variable dollar amount payment method for basic life insurance	2	T	36	
170	Access to other payment methods for basic life insurance	2	T	37	
171	Access to health care	1	T	2	
172	% of workers participating in health care	1	T	3	
173	Take-up rate of workers w/ access to health care	1	T	4	
174	Er share of health prems for single coverage	3	T	7	
175	Ee share of health prems for single coverage	3	T	8	
176	Er share of health prems for family coverage	3	T	10	
177	Ee share of health prems for family coverage	3	T	11	
178	Access to medical care	2	T	13	
179	% of workers participating in medical care	2	T	14	
180	Take-up rate of workers w/ access to medical care	2	T	15	
181	All workers w/ single coverage medical care benefits = 100 percent	4	T	18	
182	Avg. flat monthly er prem for single coverage medical care benefits	4	T	19	
183	% of ees w/ single coverage medical care benefits and ee contrib. not req.	5	T	21	
184	Avg. flat monthly er prem for ees w/ single coverage medical care benefits and ee contrib. not req.	5	T	22	
185	% of ees w/ single coverage medical care benefits and ee contrib. req.	5	T	24	
186	Avg. flat monthly er prem for ees w/ single coverage medical care benefits and ee contrib. req.	5	T	25	
187	Avg. flat monthly ee contrib. for ees w/ single coverage medical care benefits and ee contrib. req.	5	T	26	
188	All workers w/ contributory coverage for single coverage = 100 percent	6	T	28	
189	Medical care benefits, single coverage: ee participation by type of contrib. (Flat dollar amount)	7	T	30	
191	Medical care benefits: Monthly ee contrib. for single coverage w/ flat $ amounts (10th percentile)	8	T	33	
192	Medical care benefits: Monthly ee contrib. for single coverage w/ flat $ amounts (25th percentile)	8	T	34	
193	Medical care benefits: Monthly ee contrib. for single coverage w/ flat $ amounts (50th percentile)	8	T	35	
194	Medical care benefits: Monthly ee contrib. for single coverage w/ flat $ amounts (75th percentile)	8	T	36	
195	Medical care benefits: Monthly ee contrib. for single coverage w/ flat $ amounts (90th percentile)	8	T	37	
196	Medical care benefits, single coverage: ee participation by type of contrib. (Composite rate)	7	T	39	
198	Medical care benefits, single coverage: ee participation by type of contrib. (Varies)	7	T	42	
200	Medical care benefits, single coverage: ee participation by type of contrib. (Flexible benefits)	7	T	45	
202	Medical care benefits, single coverage: ee participation by type of contrib. (% of earnings)	7	T	48	
204	Medical care benefits, single coverage: ee participation by type of contrib. (Exists, but amount unknown)	7	T	51	
206	Medical care benefits, single coverage: ee participation by type of contrib. (Other)	7	T	54	
208	Er share of medical prem for single coverage	5	T	57	
209	Ee share of medical prem for single coverage	5	T	58	
210	All workers w/ family coverage medical care benefits = 100 percent	4	T	60	
211	Avg. flat monthly er prem for family coverage medical care benefits	4	T	61	
212	% of ees w/ family coverage medical care benefits and ee contrib. not req.	5	T	63	
213	Avg. flat monthly er prem for ees w/ family coverage medical care benefits and ee contrib. not req.	5	T	64	
214	% of ees w/ family coverage medical care benefits and ee contrib. req.	5	T	66	
215	Avg. flat monthly er prem for ees w/ family coverage medical care benefits and ee contrib. req.	5	T	67	
216	Avg. flat monthly ee contrib. for ees w/ family coverage medical care benefits and ee contrib. req.	5	T	68	
217	All workers w/ contributory coverage for family coverage = 100 percent	6	T	70	
218	Medical care benefits, family coverage: ee participation by type of contrib. (Flat dollar amount)	7	T	72	
220	Medical care benefits: Monthly ee contrib. for family coverage w/ flat $ amounts (10th percentile)	8	T	75	
221	Medical care benefits: Monthly ee contrib. for family coverage w/ flat $ amounts (25th percentile)	8	T	76	
222	Medical care benefits: Monthly ee contrib. for family coverage w/ flat $ amounts (50th percentile)	8	T	77	
223	Medical care benefits: Monthly ee contrib. for family coverage w/ flat $ amounts (75th percentile)	8	T	78	
224	Medical care benefits: Monthly ee contrib. for family coverage w/ flat $ amounts (90th percentile)	8	T	79	
225	Medical care benefits, family coverage: ee participation by type of contrib. (Composite rate)	7	T	81	
227	Medical care benefits, family coverage: ee participation by type of contrib. (Varies)	7	T	84	
229	Medical care benefits, family coverage: ee participation by type of contrib. (Flexible benefits)	7	T	87	
231	Medical care benefits, family coverage: ee participation by type of contrib. (% of earnings)	7	T	90	
233	Medical care benefits, family coverage: ee participation by type of contrib. (Exists, but amount unknown)	7	T	93	
235	Medical care benefits, family coverage: ee participation by type of contrib. (Other)	7	T	96	
237	Er share of medical prem for family coverage	5	T	99	
238	Ee share of medical prem for family coverage	5	T	100	
239	Access to dental care	2	T	102	
240	% of workers participating in dental care	2	T	103	
241	Take-up rate of workers w/ access to dental care	2	T	104	
242	Access to vision care	2	T	106	
243	% of workers participating in vision care	2	T	107	
244	Take-up rate of workers w/ access to vision care	2	T	108	
245	Access to outpatient prescription drug coverage	2	T	110	
246	% of workers participating in outpatient prescription drug coverage	2	T	111	
247	Take-up rate of workers w/ access to outpatient prescription drug coverage	2	T	112	
248	Access to a short-term disability plan	1	T	2	
249	% of workers participating in a short-term disability plan	1	T	3	
250	Take-up rate of workers w/ access to a short-term disability plan	1	T	4	
251	Method of funding short-term disability plans: Non-commercially insured	2	T	6	
252	Method of funding short-term disability plans: Commercially insured	2	T	7	
253	Method of funding short-term disability plans: Legally required	2	T	8	
254	Method of funding short-term disability plans: Other	2	T	9	
255	% of ees w/ short-term disability coverage and ee contrib. not req.	2	T	11	
256	% of ees w/ short-term disability coverage and ee contrib. req.	2	T	12	
257	% of ees w/ short-term disability coverage: Flat dollar amount payment method	2	T	14	
263	% of workers w/ short-term disability coverage: Variable dollar amount payment method	2	T	21	
264	% of workers w/ short-term disability coverage: Fixed % of earnings payment method	2	T	22	
265	Access to a fixed % of annual earnings short-term disability coverage less than 50 %	4	T	25	
266	Access to a fixed % of annual earnings short-term disability coverage equal to 50 %	4	T	26	
267	Access to a fixed % of annual earnings short-term disability coverage between 51 and 59 %	4	T	27	
268	Access to a fixed % of annual earnings short-term disability coverage equal to 60 %	4	T	28	
269	Access to a fixed % of annual earnings short-term disability coverage between 61 and 69 %	4	T	29	
270	Access to a fixed % of annual earnings short-term disability coverage greater than 69 %	4	T	30	
271	Mean fixed % of annual earnings for short-term disability coverage	3	T	31	
272	Median fixed % of annual earnings for short-term disability coverage	3	T	32	
273	Access to a maximum benefit amount for fixed % of annual earnings short-term disability coverage	4	T	34	
274	Max wkly ben.amnt for fixed % of annual earnings short-term disability coverage (10th percentile)	5	T	36	
275	Max wkly ben.amnt for fixed % of annual earnings short-term disability coverage (25th percentile)	5	T	37	
276	Max wkly ben.amnt for fixed % of annual earnings short-term disability coverage (50th percentile)	5	T	38	
277	Max wkly ben.amnt for fixed % of annual earnings short-term disability coverage (75th percentile)	5	T	39	
278	Max wkly ben.amnt for fixed % of annual earnings short-term disability coverage (90th percentile)	5	T	40	
279	Access to no maximum benefit amount for fixed % of annual earnings short-term disability coverage	4	T	41	
280	% of workers w/ short-term disability coverage: Variable % of earnings payment method	2	T	42	
281	% of workers w/ short-term disability coverage: Other payment methods	2	T	43	
282	Access to short-term disability coverage w/ fixed duration of benefits	2	T	45	
283	Duration of short-term disability benefits in weeks (10th percentile)	3	T	47	
284	Duration of short-term disability benefits in weeks (25th percentile)	3	T	48	
285	Duration of short-term disability benefits in weeks (50th percentile)	3	T	49	
286	Duration of short-term disability benefits in weeks (75th percentile)	3	T	50	
287	Duration of short-term disability benefits in weeks (90th percentile)	3	T	51	
288	Access to short-term disability coverage w/ variable duration of benefits	2	T	52	
290	Access to a defined benefit retirement plan	1	T	3	
291	% of workers participating in a defined benefit retirement plan	1	T	4	
292	Take-up rate of workers w/ access to a defined benefit retirement plan	1	T	5	
293	% of workers participating in defined benefit plans and ee contrib. required	2	T	7	
294	% of workers participating in defined benefit plans: Fixed % of annual earnings contrib. method	3	T	9	
295	Mean fixed % of annual earnings ee contrib. for defined benefit plans	3	T	10	
296	Median fixed % of annual earnings ee contrib. for defined benefit plans	3	T	11	
297	% of workers participating in defined benefit plans and ee contrib. not req.	2	T	12	
298	% of workers participating in defined benefit plans: Open plans	2	T	14	
299	% of workers participating in defined benefit plans: Frozen plans	2	T	15	
300	% of workers w/ frozen defined benefit plans: All existing participants to continue benefit accrual	3	T	22	
301	% of workers w/ frozen defined benefit plans: Some existing participants to continue benefit accrual	3	T	23	
302	% of workers w/ frozen defined benefit plans: No existing participants to continue benefit accrual	3	T	24	
303	Time since frozen def. benefit plan closed to new workers or stopped accruing benefits (1 yr)	3	T	26	
304	Time since frozen def. benefit plan closed to new workers or stopped accruing benefits (2 - 5 yrs)	3	T	27	
305	Time since frozen def. benefit plan closed to new workers or stopped accruing benefits ( > 5 yrs)	3	T	28	
306	% of workers w/ frozen defined benefit plans w/ alternatives to frozen plans available	3	T	30	
307	% of workers w/ a frozen defined benefit plan: New defined benefit plan alternative	4	T	33	
308	% of workers w/ a frozen defined benefit plan: Enhanced existing defined contrib. plan alternative	4	T	34	
309	% of workers w/ a frozen defined benefit plan: New defined contrib. plan alternative	4	T	35	
310	% of workers w/ a frozen defined benefit plan: Other plan alternative	4	T	36	
311	% of workers w/ frozen defined benefit plans w/ no alternatives to frozen plans available	3	T	37	
312	Access to a defined contrib. retirement plan	1	T	2	
313	% of workers participating in a defined contrib. retirement plan	1	T	3	
314	Take-up rate of workers w/ access to a defined contrib. retirement plan	1	T	4	
315	% of workers participating in defined contrib. plans and ee contrib. req.	2	T	6	
316	% of workers participating in defined contrib. plans and ee contrib. not req.	2	T	7	
317	% of workers participating in defined contrib. plans: ee contrib. (pretax)	2	T	9	
318	% of workers participating in defined contrib. plans: ee contrib. (not pretax)	2	T	10	
319	Access to all retirement benefits	1	T	2	
320	% of workers participating in all retirement benefits	1	T	3	
321	Take-up rate of workers w/ access to all retirement benefits	1	T	4	
322	Access to a long-term disability plan	1	T	2	
323	% of workers participating in a long-term disability plan	1	T	3	
324	Take-up rate of workers w/ access to a long-term disability plan	1	T	4	
325	% of ees w/ long-term disability coverage and ee contrib. not req.	2	T	6	
326	% of ees w/ long-term disability coverage and ee contrib. req.	2	T	7	
327	% of ees w/ long-term disability coverage: Fixed % of annual earnings payment method	2	T	9	
328	Mean fixed % of annual earnings for long-term disability coverage	3	T	11	
329	Median fixed % of annual earnings for long-term disability coverage	3	T	12	
330	Access to a fixed % of annual earnings long-term disability coverage less than 60 %	4	T	14	
331	Access to a fixed % of annual earnings long-term disability coverage equal to 60 %	4	T	15	
332	Access to a fixed % of annual earnings long-term disability coverage between 61 and 66 %	4	T	16	
333	Access to a fixed % of annual earnings long-term disability coverage equal to 67 %	4	T	17	
334	Access to a fixed % of annual earnings long-term disability coverage greater than 67 %	4	T	18	
335	Access to a maximum benefit amount for fixed % of annual earnings long-term disability coverage	4	T	20	
336	Max. mthly ben. amnt for fixed % of annual earnings long-term disability coverage (10th percentile)	5	T	22	
337	Max. mthly ben. amnt for fixed % of annual earnings long-term disability coverage (25th percentile)	5	T	23	
338	Max. mthly ben. amnt for fixed % of annual earnings long-term disability coverage (50th percentile)	5	T	24	
339	Max. mthly ben. amnt for fixed % of annual earnings long-term disability coverage (75th percentile)	5	T	25	
340	Max. mthly ben. amnt for fixed % of annual earnings long-term disability coverage (90th percentile)	5	T	26	
341	Access to no maximum benefit amount for fixed % of annual earnings long-term disability coverage	4	T	27	
342	% of ees w/ long-term disability coverage: Variable % of annual earnings payment method	2	T	28	
343	% of ees w/ long-term disability coverage: Flat dollar amount payment method	2	T	29	
344	% of ees w/ long-term disability coverage: Other payment methods	2	T	30	
345	Access to paid funeral leave	1	T	2	
346	Access to paid jury duty leave	1	T	3	
347	Access to paid military leave	1	T	4	
348	Access to paid personal leave	1	T	5	
349	Access to paid family leave	2	T	7	
350	Access to unpaid family leave	2	T	8	
351	Access to childcare	1	T	10	
352	Access to financial planning	1	T	11	
353	Access to wellness programs	1	T	12	
354	Access to employee assistance programs	1	T	13	
355	Access to subsidized commuting	1	T	14	
356	Access to long-term care insurance	1	T	15	
357	Access to flexible workplace	1	T	16	
358	Access to retiree health care benefits under age 65	1	T	18	
359	Access to retiree health care benefits at age 65 and over	1	T	19	
360	Access to a health savings account	1	T	21	
361	Access to savings plans w/ no er contributions	1	T	22	
362	Access to flexible benefits	2	T	24	
363	Access to Health care flexible spending account	2	T	25	
364	Access to Dependent care flexible spending account	2	T	26	
365	Access to stock options	1	T	28	
366	Access to other stock options	1	T	29	
367	Access to performance stock options	1	T	30	
368	Access to signing stock options	1	T	31	
369	% of establishments offering health care benefits	1	T	2	
370	% of establishments offering retirement benefits	1	T	3	
371	% of establishments offering defined benefit plans	2	T	5	
372	% of establishments offering defined contrib. plans	2	T	6	
373	% of all workers w/ same sex defined benefit retirement survivor benefits	1	T	2	
374	% of all workers w/ opposite sex defined benefit retirement survivor benefits	1	T	3	
375	% of all workers w/ same sex health care benefits	1	T	4	
376	% of all workers w/ opposite sex health care benefits	1	T	5	
381	Access to payroll deduction IRA	1	T	1	
382	Access to less than 5 paid holidays	3	T	7	
383	Access to 5 paid holidays	3	T	8	
384	Access to defined benefit and defined contribution retirement plans	1	T	6	
385	Access to only defined benefit retirement plans	1	T	7	
386	Access to only defined contribution retirement plans	1	T	8	
387	% of workers participating in defined benefit plans: All participants still accruing benefits	3	T	18	
388	% of workers participating in defined benefit plans: Some participants still accruing benefits	3	T	19	
389	% of workers participating in defined benefit plans: Hard freeze	2	T	20	
390	% of workers w/ a frozen defined benefit plan: Modified existing defined benefit plan alternative	4	T	32	
400	Medical care plans: With plan network	1	T	1	
401	Medical care plans: With no plan network	1	T	2	
402	Medical care plans: With plan network not determinable	1	T	3	
403	Medical care plans: Non-emergency services allowed outside network	1	T	4	
404	Medical care plans: Non-emergency services not allowed outside network	1	T	5	
405	Medical care plans: Non-emergency services outside network  not determinable	1	T	6	
406	Medical care plans: With primary care physician	1	T	7	
407	Medical care plans: With no primary care physician	1	T	8	
408	Medical care plans: With primary care physician not determinable	1	T	9	
409	Medical care plans: Coverage for hospital room and board	1	T	10	
410	Medical care plans: Coverage for inpatient surgery	1	T	11	
411	Medical care plans: Coverage for office physician visit	1	T	12	
412	Medical care plans: Coverage for outpatient surgery	1	T	13	
413	Medical care plans: Eligibility requirements, with service requirement	1	T	14	
414	Medical care plans: Eligibility requirements, with 1 month service requirement	1	T	15	
415	Medical care plans: Eligibility requirements, with 2 months service requirement	1	T	16	
416	Medical care plans: Eligibility requirements, with 3 months service requirement	1	T	17	
417	Medical care plans: Eligibility requirements, with greater than 3 months service requirement	1	T	18	
418	Medical care plans: Eligibility requirements, with service requirement time not determinable	1	T	19	
419	Medical care plans: Eligibility requirements, median service requirement (in months)	1	T	20	
420	Medical care plans: Eligibility requirements, with no service requirement	1	T	21	
421	Medical care plans: Eligibility requirements, with service requirement not determinable	1	T	22	
422	Non-high deductible health plans	1	T	23	
423	Non-high deductible health plans: With flexible spending account	1	T	24	
424	Non-high deductible health plans: With health reimbursement arrangement	1	T	25	
425	Non-high deductible health plans: With annual individual deductible	1	T	26	
426	Non-high deductible health plans: Amount of annual individual deductible (10th percentile)	1	T	27	
427	Non-high deductible health plans: Amount of annual individual deductible (25th percentile)	1	T	28	
428	Non-high deductible health plans: Amount of annual individual deductible (50th percentile-median)	1	T	29	
429	Non-high deductible health plans: Amount of annual individual deductible (75th percentile)	1	T	30	
430	Non-high deductible health plans: Amount of annual individual deductible (90th percentile)	1	T	31	
431	Non-high deductible health plans: With no annual individual deductible	1	T	32	
432	High deductible health plans	1	T	33	
433	High deductible health plans: With flexible spending account	1	T	34	
434	High deductible health plans: With health reimbursement arrangement	1	T	35	
435	High deductible health plans: With health savings account	1	T	36	
436	High deductible health plans: Amount of annual individual deductible (10th percentile)	1	T	37	
437	High deductible health plans: Amount of annual individual deductible (25th percentile)	1	T	38	
438	High deductible health plans: Amount of annual individual deductible (50th percentile-median)	1	T	39	
439	High deductible health plans: Amount of annual individual deductible (75th percentile)	1	T	40	
440	High deductible health plans: Amount of annual individual deductible (90th percentile)	1	T	41	
441	Fee-for-service plans: Total	1	T	42	
442	Fee-for-service plans: Traditional	1	T	43	
443	Fee-for-service plans: Exclusive provider organization	1	T	44	
444	Fee-for-service plans: Preferred provider organization	1	T	45	
445	Fee-for-service plans: Point of service	1	T	46	
446	Fee-for-service plans: Type of plan not determinable	1	T	47	
447	Fee-for-service plans: With annual deductible	1	T	48	
448	Fee-for-service plans: With no annual deductible	1	T	49	
449	Fee-for-service plans: With annual deductible not determinable	1	T	50	
450	Fee-for-service plans: With annual individual deductible	2	T	51	
451	Fee-for-service plans: Annual individual deductible (10th percentile)	2	T	52	
452	Fee-for-service plans: Annual individual deductible (25th percentile)	2	T	53	
453	Fee-for-service plans: Annual individual deductible (50th percentile-median)	2	T	54	
454	Fee-for-service plans: Annual individual deductible (75th percentile)	2	T	55	
455	Fee-for-service plans: Annual individual deductible (90th percentile)	2	T	56	
456	Fee-for-service plans: With no annual individual deductible	2	T	57	
457	Fee-for-service plans: With fixed annual individual deductible	2	T	58	
458	Fee-for-service plans: Annual fixed individual deductible, median amount	2	T	59	
459	Fee-for-service plans: With annual variable individual deductible	2	T	60	
460	Fee-for-service plans: Median annual variable individual deductible (most generous coverage)	2	T	61	
461	Fee-for-service plans: Median annual variable individual deductible amount (in-network)	2	T	62	
462	Fee-for-service plans: Median annual variable individual deductible amount (out-of-network)	2	T	63	
464	Fee-for-service plans: With annual family deductible	2	T	65	
465	Fee-for-service plans: Annual family deductible (10th percentile)	2	T	66	
466	Fee-for-service plans: Annual family deductible (25th percentile)	2	T	67	
467	Fee-for-service plans: Annual family deductible (50th percentile-median)	2	T	68	
468	Fee-for-service plans: Annual family deductible (75th percentile)	2	T	69	
469	Fee-for-service plans: Annual family deductible (90th percentile)	2	T	70	
470	Fee-for-service plans: With no annual family deductible	2	T	71	
471	Fee-for-service plans: With fixed annual family deductible	2	T	72	
472	Fee-for-service plans: Annual fixed family deductible, median amount	2	T	73	
473	Fee-for-service plans: With annual variable family deductible	3	T	74	
474	Fee-for-service plans: Median annual variable family deductible (most generous coverage)	3	T	75	
475	Fee-for-service plans: Median annual variable family deductible amount (in-network)	3	T	76	
476	Fee-for-service plans: Median annual variable family deductible amount (out-of-network)	3	T	77	
477	Fee-for-service plans: With coinsurance	1	T	78	
478	Fee-for-service plans: With no coinsurance	1	T	79	
479	Fee-for-service plans: With coinsurance not determinable	1	T	80	
480	Fee-for-service plans: With fixed coinsurance	1	T	81	
481	Fee-for-service plans: With variable coinsurance	1	T	82	
483	Fee-for-service plans: Median coinsurance percentage	2	T	84	
484	Fee-for-service plans: Median variable coinsurance percentage (most generous coverage)	2	T	85	
