occupation_code	occupation_name	display_level	selectable	sort_sequence
251021	Computer Science Teachers, Postsecondary	3	T	256	
251022	Mathematical Science Teachers, Postsecondary	3	T	257	
251030	Engineering and Architecture Teachers, Postsecondary	2	T	258	
251031	Architecture Teachers, Postsecondary	3	T	259	
251032	Engineering Teachers, Postsecondary	3	T	260	
251040	Life Sciences Teachers, Postsecondary	2	T	261	
251041	Agricultural Sciences Teachers, Postsecondary	3	T	262	
251042	Biological Science Teachers, Postsecondary	3	T	263	
251043	Forestry and Conservation Science Teachers, Postsecondary	3	T	264	
251050	Physical Sciences Teachers, Postsecondary	2	T	265	
251051	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	3	T	266	
251052	Chemistry Teachers, Postsecondary	3	T	267	
251053	Environmental Science Teachers, Postsecondary	3	T	268	
251054	Physics Teachers, Postsecondary	3	T	269	
251060	Social Sciences Teachers, Postsecondary	2	T	270	
251061	Anthropology and Archeology Teachers, Postsecondary	3	T	271	
251062	Area, Ethnic, and Cultural Studies Teachers, Postsecondary	3	T	272	
251063	Economics Teachers, Postsecondary	3	T	273	
251064	Geography Teachers, Postsecondary	3	T	274	
251065	Political Science Teachers, Postsecondary	3	T	275	
251066	Psychology Teachers, Postsecondary	3	T	276	
251067	Sociology Teachers, Postsecondary	3	T	277	
251069	Social Sciences Teachers, Postsecondary, All Other	3	T	278	
251070	Health Teachers, Postsecondary	2	T	279	
251071	Health Specialties Teachers, Postsecondary	3	T	280	
251072	Nursing Instructors and Teachers, Postsecondary	3	T	281	
251080	Education and Library Science Teachers, Postsecondary	2	T	282	
251081	Education Teachers, Postsecondary	3	T	283	
251082	Library Science Teachers, Postsecondary	3	T	284	
251110	Law, Criminal Justice, and Social Work Teachers, Postsecondary	2	T	285	
251111	Criminal Justice and Law Enforcement Teachers, Postsecondary	3	T	286	
251112	Law Teachers, Postsecondary	3	T	287	
251113	Social Work Teachers, Postsecondary	3	T	288	
251120	Arts, Communications, and Humanities Teachers, Postsecondary	2	T	289	
251121	Art, Drama, and Music Teachers, Postsecondary	3	T	290	
251122	Communications Teachers, Postsecondary	3	T	291	
251123	English Language and Literature Teachers, Postsecondary	3	T	292	
251124	Foreign Language and Literature Teachers, Postsecondary	3	T	293	
251125	History Teachers, Postsecondary	3	T	294	
251126	Philosophy and Religion Teachers, Postsecondary	3	T	295	
251190	Miscellaneous Postsecondary Teachers	2	T	296	
251191	Graduate Teaching Assistants	3	T	297	
251192	Home Economics Teachers, Postsecondary	3	T	298	
251193	Recreation and Fitness Studies Teachers, Postsecondary	3	T	299	
251194	Vocational Education Teachers, Postsecondary	3	T	300	
251199	Postsecondary Teachers, All Other	3	T	301	
252000	Preschool, Primary, Secondary, and Special Education School Teachers	1	T	302	
252010	Preschool and Kindergarten Teachers	2	T	303	
252011	Preschool Teachers, Except Special Education	3	T	304	
252012	Kindergarten Teachers, Except Special Education	3	T	305	
252020	Elementary and Middle School Teachers	2	T	306	
252021	Elementary School Teachers, Except Special Education	3	T	307	
252022	Middle School Teachers, Except Special and Career/Technical Education	3	T	308	
252023	Career/Technical Education Teachers, Middle School	3	T	309	
252030	Secondary School Teachers	2	T	310	
252031	Secondary School Teachers, Except Special and Career/Technical Education	3	T	311	
252032	Career/Technical Education Teachers, Secondary School	3	T	312	
252050	Special Education Teachers	2	T	313	
252051	Special Education Teachers, Preschool	3	T	314	
252052	Special Education Teachers, Kindergarten and Elementary School	3	T	315	
252053	Special Education Teachers, Middle School	3	T	316	
252054	Special Education Teachers, Secondary School	3	T	317	
252059	Special Education Teachers, All Other	3	T	318	
253000	Other Teachers and Instructors	1	T	319	
253011	Adult Basic and Secondary Education and Literacy Teachers and Instructors	3	T	320	
253021	Self-Enrichment Education Teachers	3	T	321	
253090	Miscellaneous Teachers and Instructors	2	T	322	
253097	Teachers and Instructors, All Other, Except Substitute Teachers	3	T	323	
253098	Substitute Teachers	3	T	324	
254000	Librarians, Curators, and Archivists	1	T	325	
254010	Archivists, Curators, and Museum Technicians	2	T	326	
254011	Archivists	3	T	327	
254012	Curators	3	T	328	
254013	Museum Technicians and Conservators	3	T	329	
254021	Librarians	3	T	330	
254031	Library Technicians	3	T	331	
259000	Other Education, Training, and Library Occupations	1	T	332	
259011	Audio-Visual and Multimedia Collections Specialists	3	T	333	
259021	Farm and Home Management Advisors	3	T	334	
259031	Instructional Coordinators	3	T	335	
259041	Teacher Assistants	3	T	336	
259099	Education, Training, and Library Workers, All Other	3	T	337	
270000	Arts, Design, Entertainment, Sports, and Media Occupations	0	T	338	
271000	Art and Design Workers	1	T	339	
271010	Artists and Related Workers	2	T	340	
271011	Art Directors	3	T	341	
271012	Craft Artists	3	T	342	
271013	Fine Artists, Including Painters, Sculptors, and Illustrators	3	T	343	
271014	Multimedia Artists and Animators	3	T	344	
271019	Artists and Related Workers, All Other	3	T	345	
271020	Designers	2	T	346	
271021	Commercial and Industrial Designers	3	T	347	
271022	Fashion Designers	3	T	348	
271023	Floral Designers	3	T	349	
271024	Graphic Designers	3	T	350	
271025	Interior Designers	3	T	351	
271026	Merchandise Displayers and Window Trimmers	3	T	352	
271027	Set and Exhibit Designers	3	T	353	
271029	Designers, All Other	3	T	354	
272000	Entertainers and Performers, Sports and Related Workers	1	T	355	
272010	Actors, Producers, and Directors	2	T	356	
272011	Actors	3	T	357	
272012	Producers and Directors	3	T	358	
272020	Athletes, Coaches, Umpires, and Related Workers	2	T	359	
272021	Athletes and Sports Competitors	3	T	360	
272022	Coaches and Scouts	3	T	361	
272023	Umpires, Referees, and Other Sports Officials	3	T	362	
272030	Dancers and Choreographers	2	T	363	
272031	Dancers	3	T	364	
272032	Choreographers	3	T	365	
272040	Musicians, Singers, and Related Workers	2	T	366	
272041	Music Directors and Composers	3	T	367	
272042	Musicians and Singers	3	T	368	
272099	Entertainers and Performers, Sports and Related Workers, All Other	3	T	369	
273000	Media and Communication Workers	1	T	370	
273010	Announcers	2	T	371	
273011	Radio and Television Announcers	3	T	372	
273012	Public Address System and Other Announcers	3	T	373	
273020	News Analysts, Reporters and Correspondents	2	T	374	
273021	Broadcast News Analysts	3	T	375	
273022	Reporters and Correspondents	3	T	376	
273031	Public Relations Specialists	3	T	377	
273040	Writers and Editors	2	T	378	
273041	Editors	3	T	379	
273042	Technical Writers	3	T	380	
273043	Writers and Authors	3	T	381	
273090	Miscellaneous Media and Communication Workers	2	T	382	
273091	Interpreters and Translators	3	T	383	
273099	Media and Communication Workers, All Other	3	T	384	
274000	Media and Communication Equipment Workers	1	T	385	
274010	Broadcast and Sound Engineering Technicians and Radio Operators	2	T	386	
274011	Audio and Video Equipment Technicians	3	T	387	
274012	Broadcast Technicians	3	T	388	
274013	Radio Operators	3	T	389	
274014	Sound Engineering Technicians	3	T	390	
274021	Photographers	3	T	391	
274030	Television, Video, and Motion Picture Camera Operators and Editors	2	T	392	
274031	Camera Operators, Television, Video, and Motion Picture	3	T	393	
274032	Film and Video Editors	3	T	394	
274099	Media and Communication Equipment Workers, All Other	3	T	395	
290000	Healthcare Practitioners and Technical Occupations	0	T	396	
291000	Health Diagnosing and Treating Practitioners	1	T	397	
291011	Chiropractors	3	T	398	
291020	Dentists	2	T	399	
291021	Dentists, General	3	T	400	
291022	Oral and Maxillofacial Surgeons	3	T	401	
291023	Orthodontists	3	T	402	
291024	Prosthodontists	3	T	403	
291029	Dentists, All Other Specialists	3	T	404	
291031	Dietitians and Nutritionists	3	T	405	
291041	Optometrists	3	T	406	
291051	Pharmacists	3	T	407	
291060	Physicians and Surgeons	2	T	408	
291061	Anesthesiologists	3	T	409	
291062	Family and General Practitioners	3	T	410	
291063	Internists, General	3	T	411	
291064	Obstetricians and Gynecologists	3	T	412	
291065	Pediatricians, General	3	T	413	
291066	Psychiatrists	3	T	414	
291067	Surgeons	3	T	415	
291069	Physicians and Surgeons, All Other	3	T	416	
291071	Physician Assistants	3	T	417	
291081	Podiatrists	3	T	418	
291120	Therapists	2	T	419	
291122	Occupational Therapists	3	T	420	
291123	Physical Therapists	3	T	421	
291124	Radiation Therapists	3	T	422	
291125	Recreational Therapists	3	T	423	
291126	Respiratory Therapists	3	T	424	
291127	Speech-Language Pathologists	3	T	425	
291128	Exercise Physiologists	3	T	426	
291129	Therapists, All Other	3	T	427	
291131	Veterinarians	3	T	428	
291141	Registered Nurses	3	T	429	
291151	Nurse Anesthetists	3	T	430	
291161	Nurse Midwives	3	T	431	
291171	Nurse Practitioners	3	T	432	
291181	Audiologists	3	T	433	
291199	Health Diagnosing and Treating Practitioners, All Other	3	T	434	
292000	Health Technologists and Technicians	1	T	435	
292010	Clinical Laboratory Technologists and Technicians	2	T	436	
292011	Medical and Clinical Laboratory Technologists	3	T	437	
292012	Medical and Clinical Laboratory Technicians	3	T	438	
292021	Dental Hygienists	3	T	439	
292030	Diagnostic Related Technologists and Technicians	2	T	440	
292031	Cardiovascular Technologists and Technicians	3	T	441	
292032	Diagnostic Medical Sonographers	3	T	442	
292033	Nuclear Medicine Technologists	3	T	443	
292034	Radiologic Technologists	3	T	444	
292035	Magnetic Resonance Imaging Technologists	3	T	445	
292041	Emergency Medical Technicians and Paramedics	3	T	446	
292050	Health Practitioner Support Technologists and Technicians	2	T	447	
292051	Dietetic Technicians	3	T	448	
292052	Pharmacy Technicians	3	T	449	
292053	Psychiatric Technicians	3	T	450	
292054	Respiratory Therapy Technicians	3	T	451	
292055	Surgical Technologists	3	T	452	
292056	Veterinary Technologists and Technicians	3	T	453	
292057	Ophthalmic Medical Technicians	3	T	454	
292061	Licensed Practical and Licensed Vocational Nurses	3	T	455	
292071	Medical Records and Health Information Technicians	3	T	456	
292081	Opticians, Dispensing	3	T	457	
292090	Miscellaneous Health Technologists and Technicians	2	T	458	
292091	Orthotists and Prosthetists	3	T	459	
292092	Hearing Aid Specialists	3	T	460	
292099	Health Technologists and Technicians, All Other	3	T	461	
299000	Other Healthcare Practitioners and Technical Occupations	1	T	462	
299010	Occupational Health and Safety Specialists and Technicians	2	T	463	
299011	Occupational Health and Safety Specialists	3	T	464	
299012	Occupational Health and Safety Technicians	3	T	465	
299090	Miscellaneous Health Practitioners and Technical Workers	2	T	466	
299091	Athletic Trainers	3	T	467	
299092	Genetic Counselors	3	T	468	
299099	Healthcare Practitioners and Technical Workers, All Other	3	T	469	
310000	Healthcare Support Occupations	0	T	470	
311010	Nursing, Psychiatric, and Home Health Aides	2	T	471	
311011	Home Health Aides	3	T	472	
311013	Psychiatric Aides	3	T	473	
311014	Nursing Assistants	3	T	474	
311015	Orderlies	3	T	475	
312000	Occupational Therapy and Physical Therapist Assistants and Aides	1	T	476	
312010	Occupational Therapy Assistants and Aides	2	T	477	
312011	Occupational Therapy Assistants	3	T	478	
312012	Occupational Therapy Aides	3	T	479	
312020	Physical Therapist Assistants and Aides	2	T	480	
312021	Physical Therapist Assistants	3	T	481	
312022	Physical Therapist Aides	3	T	482	
319000	Other Healthcare Support Occupations	1	T	483	
319011	Massage Therapists	3	T	484	
319090	Miscellaneous Healthcare Support Occupations	2	T	485	
319091	Dental Assistants	3	T	486	
319092	Medical Assistants	3	T	487	
319093	Medical Equipment Preparers	3	T	488	
319094	Medical Transcriptionists	3	T	489	
319095	Pharmacy Aides	3	T	490	
319096	Veterinary Assistants and Laboratory Animal Caretakers	3	T	491	
319097	Phlebotomists	3	T	492	
319099	Healthcare Support Workers, All Other	3	T	493	
330000	Protective Service Occupations	0	T	494	
331000	Supervisors of Protective Service Workers	1	T	495	
331010	First-Line Supervisors of Law Enforcement Workers	2	T	496	
331011	First-Line Supervisors of Correctional Officers	3	T	497	
331012	First-Line Supervisors of Police and Detectives	3	T	498	
331021	First-Line Supervisors of Fire Fighting and Prevention Workers	3	T	499	
331099	First-Line Supervisors of Protective Service Workers, All Other	3	T	500	
332000	Fire Fighting and Prevention Workers	1	T	501	
332011	Firefighters	3	T	502	
332020	Fire Inspectors	2	T	503	
332021	Fire Inspectors and Investigators	3	T	504	
332022	Forest Fire Inspectors and Prevention Specialists	3	T	505	
333000	Law Enforcement Workers	1	T	506	
333010	Bailiffs, Correctional Officers, and Jailers	2	T	507	
333011	Bailiffs	3	T	508	
333012	Correctional Officers and Jailers	3	T	509	
333021	Detectives and Criminal Investigators	3	T	510	
333031	Fish and Game Wardens	3	T	511	
333041	Parking Enforcement Workers	3	T	512	
333050	Police Officers	2	T	513	
333051	Police and Sheriff's Patrol Officers	3	T	514	
333052	Transit and Railroad Police	3	T	515	
339000	Other Protective Service Workers	1	T	516	
339011	Animal Control Workers	3	T	517	
339021	Private Detectives and Investigators	3	T	518	
339030	Security Guards and Gaming Surveillance Officers	2	T	519	
339031	Gaming Surveillance Officers and Gaming Investigators	3	T	520	
339032	Security Guards	3	T	521	
339090	Miscellaneous Protective Service Workers	2	T	522	
339091	Crossing Guards	3	T	523	
339092	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	3	T	524	
339093	Transportation Security Screeners	3	T	525	
339099	Protective Service Workers, All Other	3	T	526	
350000	Food Preparation and Serving Related Occupations	0	T	527	
351010	Supervisors of Food Preparation and Serving Workers	2	T	528	
351011	Chefs and Head Cooks	3	T	529	
351012	First-Line Supervisors of Food Preparation and Serving Workers	3	T	530	
352000	Cooks and Food Preparation Workers	1	T	531	
352010	Cooks	2	T	532	
352011	Cooks, Fast Food	3	T	533	
352012	Cooks, Institution and Cafeteria	3	T	534	
352013	Cooks, Private Household	3	T	535	
352014	Cooks, Restaurant	3	T	536	
352015	Cooks, Short Order	3	T	537	
352019	Cooks, All Other	3	T	538	
352021	Food Preparation Workers	3	T	539	
353000	Food and Beverage Serving Workers	1	T	540	
353011	Bartenders	3	T	541	
353020	Fast Food and Counter Workers	2	T	542	
353021	Combined Food Preparation and Serving Workers, Including Fast Food	3	T	543	
353022	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	3	T	544	
353031	Waiters and Waitresses	3	T	545	
353041	Food Servers, Nonrestaurant	3	T	546	
359000	Other Food Preparation and Serving Related Workers	1	T	547	
359011	Dining Room and Cafeteria Attendants and Bartender Helpers	3	T	548	
359021	Dishwashers	3	T	549	
359031	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	3	T	550	
359099	Food Preparation and Serving Related Workers, All Other	3	T	551	
370000	Building and Grounds Cleaning and Maintenance Occupations	0	T	552	
371010	First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers	2	T	553	
371011	First-Line Supervisors of Housekeeping and Janitorial Workers	3	T	554	
371012	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	3	T	555	
372000	Building Cleaning and Pest Control Workers	1	T	556	
372010	Building Cleaning Workers	2	T	557	
372011	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	3	T	558	
372012	Maids and Housekeeping Cleaners	3	T	559	
372019	Building Cleaning Workers, All Other	3	T	560	
372021	Pest Control Workers	3	T	561	
373010	Grounds Maintenance Workers	2	T	562	
373011	Landscaping and Groundskeeping Workers	3	T	563	
373012	Pesticide Handlers, Sprayers, and Applicators, Vegetation	3	T	564	
373013	Tree Trimmers and Pruners	3	T	565	
373019	Grounds Maintenance Workers, All Other	3	T	566	
390000	Personal Care and Service Occupations	0	T	567	
391000	Supervisors of Personal Care and Service Workers	1	T	568	
391010	First-Line Supervisors of Gaming Workers	2	T	569	
391011	Gaming Supervisors	3	T	570	
391012	Slot Supervisors	3	T	571	
391021	First-Line Supervisors of Personal Service Workers	3	T	572	
392000	Animal Care and Service Workers	1	T	573	
392011	Animal Trainers	3	T	574	
392021	Nonfarm Animal Caretakers	3	T	575	
393000	Entertainment Attendants and Related Workers	1	T	576	
393010	Gaming Services Workers	2	T	577	
393011	Gaming Dealers	3	T	578	
393012	Gaming and Sports Book Writers and Runners	3	T	579	
393019	Gaming Service Workers, All Other	3	T	580	
393021	Motion Picture Projectionists	3	T	581	
393031	Ushers, Lobby Attendants, and Ticket Takers	3	T	582	
393090	Miscellaneous Entertainment Attendants and Related Workers	2	T	583	
393091	Amusement and Recreation Attendants	3	T	584	
393092	Costume Attendants	3	T	585	
393093	Locker Room, Coatroom, and Dressing Room Attendants	3	T	586	
393099	Entertainment Attendants and Related Workers, All Other	3	T	587	
394000	Funeral Service Workers	1	T	588	
394011	Embalmers	3	T	589	
394021	Funeral Attendants	3	T	590	
