case_code	category_code	category_text	display_level	selectable	sort_sequence
3	P41	Part - Shoulder	0	T	106	
3	P42	Part - Arm	0	T	107	
3	P43	Part - Wrist	0	T	108	
3	P44	Part - Hand(s)	0	T	109	
3	P4A	Part - Hand(s), except finger(s)	0	T	110	
3	P4B	Part - Finger(s), fingernail(s)	0	T	111	
3	P4X	Part - Upper extremities	0	T	112	
3	P51	Part - Knee	0	T	113	
3	P52	Part - Ankle	0	T	114	
3	P53	Part - Foot	0	T	115	
3	P54	Part - Toe, toenail	0	T	116	
3	P5X	Part - Lower extremities	0	T	117	
3	P6X	Part - Body systems	0	T	118	
3	P8X	Part - Multiple	0	T	119	
3	PXX	Part - all other	0	T	120	
3	RAX	Race (American Indian or Alaska native)	0	T	121	
3	RBX	Race (Asian)	0	T	122	
3	RCX	Race (Black or African American)	0	T	123	
3	RDX	Race (Hispanic or Latino)	0	T	124	
3	REX	Race (Native Hawaiian or Other Pacific Islander)	0	T	125	
3	RFX	Race (White)	0	T	126	
3	RGX	Race (Not reported)	0	T	127	
3	RHX	Race (Multi-race)	0	T	128	
3	RIX	Race (Hispanic and other)	0	T	129	
3	S1X	Source - Chemical, chemical products	0	T	140	
3	S21	Source - Containers	0	T	141	
3	S22	Source - Furniture, fixtures	0	T	142	
3	S3X	Source - Machinery	0	T	143	
3	S4X	Source - Parts and materials	0	T	144	
3	S56	Source - Person, injured or ill worker	0	T	145	
3	S57	Source - Person, other than injured or ill workers	0	T	146	
3	S5B	Source - Worker motion or position	0	T	147	
3	S5C	Source - Patient	0	T	148	
3	S66	Source - Floors, walkways, ground surfaces	0	T	149	
3	S74	Source - Ladder	0	T	151	
3	S7A	Source - Handtools	0	T	152	
3	S8C	Source - Trucks	0	T	153	
3	S8D	Source - Cart, dolly, hand truck-nonpowered	0	T	154	
3	S8X	Source - Vehicles	0	T	155	
3	SXX	Source - all other	0	T	156	
3	T2X	Secondary Source - Containers, furniture, and fixtures	0	T	130	
3	T31	Secondary Source - Computers and peripheral equipment	0	T	131	
3	T3X	Secondary Source - Machinery	0	T	132	
3	T71	Secondary Source - Firearms, law enforcement, and other self-defense equipment	0	T	133	
3	T7X	Secondary Source - Tools, instruments, and equipment	0	T	134	
3	T84	Secondary Source - Highway vehicle, motorized	0	T	135	
3	T8X	Secondary Source - Vehicles	0	T	136	
3	T91	Secondary Source - Ice, sleet, snow	0	T	137	
3	T92	Secondary Source - Liquids-nonchemical	0	T	138	
3	TAX	Time (12:01AM - 4:00AM)	0	T	157	
3	TBX	Time (4:01AM - 8:00AM)	0	T	158	
3	TCX	Time (8:01AM - 12Noon)	0	T	159	
3	TDX	Time (12:01PM - 4:00PM)	0	T	160	
3	TEX	Time (4:01PM - 8:00PM)	0	T	161	
3	TFX	Time (8:01PM - 12Midnight)	0	T	162	
3	TGX	Time (not reported)	0	T	163	
3	TXX	Secondary Source - all other	0	T	139	
3	WAX	Weekday (Sunday)	0	T	164	
3	WBX	Weekday (Monday)	0	T	165	
3	WCX	Weekday (Tuesday)	0	T	166	
3	WDX	Weekday (Wednesday)	0	T	167	
3	WEX	Weekday (Thursday)	0	T	168	
3	WFX	Weekday (Friday)	0	T	169	
3	WGX	Weekday (Saturday)	0	T	170	
A	00X	All industry	0	T	2	
A	ADW	Industry - Administration and support and waste management	0	T	212	
A	AER	Industry - Arts, entertainment, and recreation	0	T	213	
A	AFH	Industry - Agriculture, forestry, fishing, and hunting	0	T	214	
A	AFS	Industry - Accommodation and food services	0	T	215	
A	CON	Industry - Construction	0	T	216	
A	DAX	DAFW (1 day)	0	T	171	
A	DBX	DAFW (2 days)	0	T	172	
A	DCX	DAFW (3 - 5 days)	0	T	173	
A	DDX	DAFW (6 - 10 days)	0	T	174	
A	DEX	DAFW (11 - 20 days)	0	T	175	
A	DFX	DAFW (21 - 30 days)	0	T	176	
A	DGX	DAFW (31+ days)	0	T	177	
A	E11	Event - Intentional injury by other person	0	T	178	
A	E12	Event - Injury by person-unintentional or intent unknown	0	T	179	
A	E13	Event - Animal and insect related incidents	0	T	180	
A	E1X	Event - Violence and other injuries by persons or animal	0	T	181	
A	E26	Event - Roadway incidents involving motorized land vehicles	0	T	182	
A	E2X	Event - Transportation incidents	0	T	183	
A	E3X	Event - Fires and explosions	0	T	184	
A	E41	Event - Slips, trips without fall	0	T	185	
A	E42	Event - Fall on same level	0	T	186	
A	E43	Event - Fall to lower level	0	T	187	
A	E4X	Event - Falls, slips, trips	0	T	188	
A	E5X	Event - Exposure to harmful substances or enviroments	0	T	189	
A	E62	Event - Struck by object or equipment	0	T	190	
A	E63	Event - Struck against object or equipment	0	T	191	
A	E64	Event - Caught in or compressed by object or equipment	0	T	192	
A	E6X	Event - Contact with object, equipment	0	T	193	
A	E72	Event - Repetitive motion involving microtasks	0	T	194	
A	E7A	Event - Overexertion in lifting or lowering	0	T	195	
A	E7X	Event - Overexertion and bodily reaction	0	T	196	
A	EDS	Industry - Educational services	0	T	217	
A	EHS	Industry - Education and health services	0	T	218	
A	EXX	Event - all other	0	T	197	
A	FIA	Industry - Financial activities	0	T	219	
A	FIN	Industry - Finance and insurance	0	T	220	
A	GFX	Gender (Female)	0	T	198	
A	GMX	Gender (Male)	0	T	199	
A	GNX	Gender (Not reported)	0	T	200	
A	GP1	Industry - Goods producing	0	T	221	
A	HAS	Industry - Health care and social assistance	0	T	222	
A	HAX	Hours (before shift began)	0	T	201	
A	HBX	Hours (less than 1 hour)	0	T	202	
A	HCX	Hours (1 -2 hours)	0	T	203	
A	HDX	Hours (2 - 4 hours)	0	T	204	
A	HEX	Hours (4 - 6 hours)	0	T	205	
A	HFX	Hours (6 - 8 hours)	0	T	206	
A	HGX	Hours (8 - 10 hours)	0	T	207	
A	HHX	Hours (10 - 12 hours)	0	T	208	
A	HIX	Hours (12 - 16 hours)	0	T	209	
A	HJX	Hours (more than 16 hours)	0	T	210	
A	HKX	Hours (not reported)	0	T	211	
A	INF	Industry - Information	0	T	223	
A	LAX	LOS (< 3 mos.)	0	T	240	
A	LBX	LOS (3 - 11 mos.)	0	T	241	
A	LCX	LOS (1 - 5 yrs.)	0	T	242	
A	LDX	LOS (5 yrs.)	0	T	243	
A	LEH	Industry - Leisure and hospitality	0	T	224	
A	LEX	LOS (Not reported)	0	T	244	
A	MCE	Industry - Management of companies and enterprises	0	T	225	
A	MFG	Industry - Manufacturing	0	T	226	
A	MIN	Industry - Mining	0	T	227	
A	MSD	Musculoskeletal disorders	0	T	245	
A	N1A	Nature - Fractures	0	T	246	
A	N1B	Nature - Sprains, strains, tears	0	T	247	
A	N1C	Nature - Amputations	0	T	248	
A	N1D	Nature - Bruise, contusions	0	T	249	
A	N1E	Nature - Chemical burns and corrosions	0	T	250	
A	N1F	Nature - Heat (thermal) burns	0	T	251	
A	N1G	Nature - Soreness, pain	0	T	252	
A	N21	Nature - Cuts, lacerations	0	T	253	
A	N22	Nature - Punctures (except gunshot wounds)	0	T	254	
A	N2X	Nature - Cuts, lacerations, punctures	0	T	255	
A	N3A	Nature - Carpal tunnel syndrome	0	T	256	
A	N3B	Nature - Tendonitis	0	T	257	
A	N81	Nature - With sprains	0	T	258	
A	N82	Nature - With fractures	0	T	259	
A	N8X	Nature - Multiple traumatic injuries	0	T	260	
A	NRM	Industry - Natural resources	0	T	228	
A	NXX	Nature - all other	0	T	261	
A	O10	Occupation - Management, Business, and Financial Occupations (11-13)	0	T	262	
A	O23	Occupation - Computer, Engineering, and Science Occupations (15-19)	0	T	264	
A	O25	Occupation - Education, Legal, Community Service, Arts, and Media Occupations (21-27)	0	T	265	
A	O27	Occupation - Healthcare Practitioners and Technical Occupations (29)	0	T	266	
A	O30	Occupation - Service Occupations (31-39)	0	T	267	
A	O41	Occupation - Sales and Related Occupations	0	T	268	
A	O43	Occupation - Office and Administrative Support Occupations	0	T	269	
A	O45	Occupation - Farming, Fishing, and Forestry Occupations	0	T	270	
A	O47	Occupation - Construction and Extraction Occupations	0	T	271	
A	O49	Occupation - Installation, Maintenance, and Repair Occupations	0	T	272	
A	O51	Occupation - Production Occupations	0	T	273	
A	O53	Occupation - Transportation and Material Moving Occupations	0	T	274	
A	OTS	Industry - Other services	0	T	229	
A	P11	Part - Eye	0	T	275	
A	P1X	Part - Head	0	T	276	
A	P2X	Part - Neck	0	T	277	
A	P32	Part - Back	0	T	278	
A	P3X	Part - Trunk	0	T	279	
A	P41	Part - Shoulder	0	T	280	
A	P42	Part - Arm	0	T	281	
A	P43	Part - Wrist	0	T	282	
A	P44	Part - Hand(s)	0	T	283	
A	P4A	Part - Hand(s), except finger(s)	0	T	284	
A	P4B	Part - Finger(s), fingernail(s)	0	T	285	
A	P4X	Part - Upper extremities	0	T	286	
A	P51	Part - Knee	0	T	287	
A	P52	Part - Ankle	0	T	288	
A	P53	Part - Foot	0	T	289	
A	P54	Part - Toe, toenail	0	T	290	
A	P5X	Part - Lower extremities	0	T	291	
A	P6X	Part - Body systems	0	T	292	
A	P8X	Part - Multiple	0	T	293	
A	PAD	Industry - Public Administration	0	T	230	
A	PBS	Industry - Professional business services	0	T	231	
A	PST	Industry - Professional, scientific, and technical services	0	T	232	
A	PXX	Part - all other	0	T	294	
A	RAX	Race (American Indian or Alaska native)	0	T	295	
A	RBX	Race (Asian)	0	T	296	
A	RCX	Race (Black or African American)	0	T	297	
A	RDX	Race (Hispanic or Latino)	0	T	298	
A	RET	Industry - Retail trade	0	T	233	
A	REX	Race (Native Hawaiian or Other Pacific Islander)	0	T	299	
A	RFX	Race (White)	0	T	300	
A	RGX	Race (Not reported)	0	T	301	
A	RHX	Race (Multi-race)	0	T	302	
A	RIX	Race (Hispanic and other)	0	T	303	
A	RRL	Industry - Real estate and rental leasing	0	T	234	
A	S1X	Source - Chemical, chemical products	0	T	314	
A	S21	Source - Containers	0	T	315	
A	S22	Source - Furniture, fixtures	0	T	316	
A	S3X	Source - Machinery	0	T	317	
A	S4X	Source - Parts and materials	0	T	318	
A	S56	Source - Person, injured or ill worker	0	T	319	
A	S57	Source - Person, other than injured or ill workers	0	T	320	
A	S5B	Source - Worker motion or position	0	T	321	
A	S5C	Source - Patient	0	T	322	
A	S66	Source - Floors, walkways, ground surfaces	0	T	323	
A	S74	Source - Ladder	0	T	325	
A	S7A	Source - Handtools	0	T	326	
A	S8C	Source - Trucks	0	T	327	
A	S8D	Source - Cart, dolly, hand truck-nonpowered	0	T	328	
A	S8X	Source - Vehicles	0	T	329	
A	SP1	Industry - Service providing	0	T	235	
A	SXX	Source - all other	0	T	330	
A	T2X	Secondary Source - Containers, furniture, and fixtures	0	T	304	
A	T31	Secondary Source - Computers and peripheral equipment	0	T	305	
A	T3X	Secondary Source - Machinery	0	T	306	
A	T71	Secondary Source - Firearms, law enforcement, and other self-defense equipment	0	T	307	
A	T7X	Secondary Source - Tools, instruments, and equipment	0	T	308	
A	T84	Secondary Source - Highway vehicle, motorized	0	T	309	
A	T8X	Secondary Source - Vehicles	0	T	310	
A	T91	Secondary Source - Ice, sleet, snow	0	T	311	
A	T92	Secondary Source - Liquids-nonchemical	0	T	312	
A	TAX	Time (12:01AM - 4:00AM)	0	T	331	
A	TBX	Time (4:01AM - 8:00AM)	0	T	332	
A	TCX	Time (8:01AM - 12Noon)	0	T	333	
A	TDX	Time (12:01PM - 4:00PM)	0	T	334	
A	TEX	Time (4:01PM - 8:00PM)	0	T	335	
A	TFX	Time (8:01PM - 12Midnight)	0	T	336	
A	TGX	Time (not reported)	0	T	337	
A	TRW	Industry - Transportation and warehousing	0	T	236	
A	TTU	Industry - Trade, transportation, and utilities	0	T	237	
A	TXX	Secondary Source - all other	0	T	313	
A	UTL	Industry - Utilities	0	T	238	
A	WAX	Weekday (Sunday)	0	T	338	
A	WBX	Weekday (Monday)	0	T	339	
A	WCX	Weekday (Tuesday)	0	T	340	
A	WDX	Weekday (Wednesday)	0	T	341	
A	WEX	Weekday (Thursday)	0	T	342	
A	WFX	Weekday (Friday)	0	T	343	
A	WGX	Weekday (Saturday)	0	T	344	
A	WHT	Industry - Wholesale trade	0	T	239	
E	00X	All industry	0	T	3	
E	ABX	Age group (14 - 15 yrs.)	0	T	346	
E	ACX	Age group (16 - 19 yrs.)	0	T	347	
E	ADW	Industry - Administration and support and waste management	0	T	376	
E	ADX	Age group (20 - 24 yrs.)	0	T	348	
E	AER	Industry - Arts, entertainment, and recreation	0	T	377	
E	AEX	Age group (25 - 34 yrs.)	0	T	349	
E	AFH	Industry - Agriculture, forestry, fishing, and hunting	0	T	378	
E	AFS	Industry - Accommodation and food services	0	T	379	
E	AFX	Age group (35 - 44 yrs.)	0	T	350	
E	AGX	Age group (45 - 54 yrs.)	0	T	351	
E	AHX	Age group (55 - 64 yrs.)	0	T	352	
E	AIX	Age group (65+ yrs.)	0	T	353	
E	AJX	Age group (not reported)	0	T	354	
E	CON	Industry - Construction	0	T	380	
E	DAX	DAFW (1 day)	0	T	355	
E	DBX	DAFW (2 days)	0	T	356	
E	DCX	DAFW (3 - 5 days)	0	T	357	
E	DDX	DAFW (6 - 10 days)	0	T	358	
E	DEX	DAFW (11 - 20 days)	0	T	359	
E	DFX	DAFW (21 - 30 days)	0	T	360	
E	DGX	DAFW (31+ days)	0	T	361	
E	EDS	Industry - Educational services	0	T	381	
E	EHS	Industry - Education and health services	0	T	382	
E	FIA	Industry - Financial activities	0	T	383	
E	FIN	Industry - Finance and insurance	0	T	384	
E	GFX	Gender (Female)	0	T	362	
E	GMX	Gender (Male)	0	T	363	
E	GNX	Gender (Not reported)	0	T	364	
E	GP1	Industry - Goods producing	0	T	385	
E	HAS	Industry - Health care and social assistance	0	T	386	
E	HAX	Hours (before shift began)	0	T	365	
E	HBX	Hours (less than 1 hour)	0	T	366	
E	HCX	Hours (1 -2 hours)	0	T	367	
E	HDX	Hours (2 - 4 hours)	0	T	368	
E	HEX	Hours (4 - 6 hours)	0	T	369	
E	HFX	Hours (6 - 8 hours)	0	T	370	
E	HGX	Hours (8 - 10 hours)	0	T	371	
E	HHX	Hours (10 - 12 hours)	0	T	372	
E	HIX	Hours (12 - 16 hours)	0	T	373	
E	HJX	Hours (more than 16 hours)	0	T	374	
E	HKX	Hours (not reported)	0	T	375	
E	INF	Industry - Information	0	T	387	
E	LAX	LOS (< 3 mos.)	0	T	404	
E	LBX	LOS (3 - 11 mos.)	0	T	405	
E	LCX	LOS (1 - 5 yrs.)	0	T	406	
E	LDX	LOS (5 yrs.)	0	T	407	
E	LEH	Industry - Leisure and hospitality	0	T	388	
E	LEX	LOS (Not reported)	0	T	408	
E	MCE	Industry - Management of companies and enterprises	0	T	389	
E	MFG	Industry - Manufacturing	0	T	390	
E	MIN	Industry - Mining	0	T	391	
E	MSD	Musculoskeletal disorders	0	T	409	
E	N1A	Nature - Fractures	0	T	410	
E	N1B	Nature - Sprains, strains, tears	0	T	411	
E	N1C	Nature - Amputations	0	T	412	
E	N1D	Nature - Bruise, contusions	0	T	413	
E	N1E	Nature - Chemical burns and corrosions	0	T	414	
E	N1F	Nature - Heat (thermal) burns	0	T	415	
E	N1G	Nature - Soreness, pain	0	T	416	
E	N21	Nature - Cuts, lacerations	0	T	417	
E	N22	Nature - Punctures (except gunshot wounds)	0	T	418	
E	N2X	Nature - Cuts, lacerations, punctures	0	T	419	
E	N3A	Nature - Carpal tunnel syndrome	0	T	420	
E	N3B	Nature - Tendonitis	0	T	421	
E	N81	Nature - With sprains	0	T	422	
E	N82	Nature - With fractures	0	T	423	
E	N8X	Nature - Multiple traumatic injuries	0	T	424	
E	NRM	Industry - Natural resources	0	T	392	
E	NXX	Nature - all other	0	T	425	
E	O10	Occupation - Management, Business, and Financial Occupations (11-13)	0	T	426	
E	O23	Occupation - Computer, Engineering, and Science Occupations (15-19)	0	T	428	
E	O25	Occupation - Education, Legal, Community Service, Arts, and Media Occupations (21-27)	0	T	429	
E	O27	Occupation - Healthcare Practitioners and Technical Occupations (29)	0	T	430	
E	O30	Occupation - Service Occupations (31-39)	0	T	431	
E	O41	Occupation - Sales and Related Occupations	0	T	432	
E	O43	Occupation - Office and Administrative Support Occupations	0	T	433	
E	O45	Occupation - Farming, Fishing, and Forestry Occupations	0	T	434	
E	O47	Occupation - Construction and Extraction Occupations	0	T	435	
E	O49	Occupation - Installation, Maintenance, and Repair Occupations	0	T	436	
E	O51	Occupation - Production Occupations	0	T	437	
E	O53	Occupation - Transportation and Material Moving Occupations	0	T	438	
E	OTS	Industry - Other services	0	T	393	
E	P11	Part - Eye	0	T	439	
E	P1X	Part - Head	0	T	440	
E	P2X	Part - Neck	0	T	441	
E	P32	Part - Back	0	T	442	
E	P3X	Part - Trunk	0	T	443	
E	P41	Part - Shoulder	0	T	444	
E	P42	Part - Arm	0	T	445	
E	P43	Part - Wrist	0	T	446	
E	P44	Part - Hand(s)	0	T	447	
E	P4A	Part - Hand(s), except finger(s)	0	T	448	
E	P4B	Part - Finger(s), fingernail(s)	0	T	449	
E	P4X	Part - Upper extremities	0	T	450	
E	P51	Part - Knee	0	T	451	
E	P52	Part - Ankle	0	T	452	
E	P53	Part - Foot	0	T	453	
E	P54	Part - Toe, toenail	0	T	454	
E	P5X	Part - Lower extremities	0	T	455	
E	P6X	Part - Body systems	0	T	456	
E	P8X	Part - Multiple	0	T	457	
E	PAD	Industry - Public Administration	0	T	394	
E	PBS	Industry - Professional business services	0	T	395	
E	PST	Industry - Professional, scientific, and technical services	0	T	396	
E	PXX	Part - all other	0	T	458	
E	RAX	Race (American Indian or Alaska native)	0	T	459	
E	RBX	Race (Asian)	0	T	460	
E	RCX	Race (Black or African American)	0	T	461	
E	RDX	Race (Hispanic or Latino)	0	T	462	
E	RET	Industry - Retail trade	0	T	397	
E	REX	Race (Native Hawaiian or Other Pacific Islander)	0	T	463	
E	RFX	Race (White)	0	T	464	
E	RGX	Race (Not reported)	0	T	465	
E	RHX	Race (Multi-race)	0	T	466	
E	RIX	Race (Hispanic and other)	0	T	467	
E	RRL	Industry - Real estate and rental leasing	0	T	398	
E	S1X	Source - Chemical, chemical products	0	T	478	
E	S21	Source - Containers	0	T	479	
E	S22	Source - Furniture, fixtures	0	T	480	
E	S3X	Source - Machinery	0	T	481	
E	S4X	Source - Parts and materials	0	T	482	
E	S56	Source - Person, injured or ill worker	0	T	483	
E	S57	Source - Person, other than injured or ill workers	0	T	484	
E	S5B	Source - Worker motion or position	0	T	485	
E	S5C	Source - Patient	0	T	486	
E	S66	Source - Floors, walkways, ground surfaces	0	T	487	
E	S74	Source - Ladder	0	T	489	
E	S7A	Source - Handtools	0	T	490	
E	S8C	Source - Trucks	0	T	491	
E	S8D	Source - Cart, dolly, hand truck-nonpowered	0	T	492	
E	S8X	Source - Vehicles	0	T	493	
E	SP1	Industry - Service providing	0	T	399	
E	SXX	Source - all other	0	T	494	
E	T2X	Secondary Source - Containers, furniture, and fixtures	0	T	468	
E	T31	Secondary Source - Computers and peripheral equipment	0	T	469	
E	T3X	Secondary Source - Machinery	0	T	470	
E	T71	Secondary Source - Firearms, law enforcement, and other self-defense equipment	0	T	471	
E	T7X	Secondary Source - Tools, instruments, and equipment	0	T	472	
E	T84	Secondary Source - Highway vehicle, motorized	0	T	473	
E	T8X	Secondary Source - Vehicles	0	T	474	
E	T91	Secondary Source - Ice, sleet, snow	0	T	475	
E	T92	Secondary Source - Liquids-nonchemical	0	T	476	
E	TAX	Time (12:01AM - 4:00AM)	0	T	495	
E	TBX	Time (4:01AM - 8:00AM)	0	T	496	
E	TCX	Time (8:01AM - 12Noon)	0	T	497	
E	TDX	Time (12:01PM - 4:00PM)	0	T	498	
E	TEX	Time (4:01PM - 8:00PM)	0	T	499	
E	TFX	Time (8:01PM - 12Midnight)	0	T	500	
E	TGX	Time (not reported)	0	T	501	
E	TRW	Industry - Transportation and warehousing	0	T	400	
E	TTU	Industry - Trade, transportation, and utilities	0	T	401	
E	TXX	Secondary Source - all other	0	T	477	
E	UTL	Industry - Utilities	0	T	402	
E	WAX	Weekday (Sunday)	0	T	502	
E	WBX	Weekday (Monday)	0	T	503	
E	WCX	Weekday (Tuesday)	0	T	504	
E	WDX	Weekday (Wednesday)	0	T	505	
E	WEX	Weekday (Thursday)	0	T	506	
E	WFX	Weekday (Friday)	0	T	507	
E	WGX	Weekday (Saturday)	0	T	508	
E	WHT	Industry - Wholesale trade	0	T	403	
G	00X	All industry	0	T	4	
G	ABX	Age group (14 - 15 yrs.)	0	T	510	
G	ACX	Age group (16 - 19 yrs.)	0	T	511	
G	ADW	Industry - Administration and support and waste management	0	T	557	
G	ADX	Age group (20 - 24 yrs.)	0	T	512	
G	AER	Industry - Arts, entertainment, and recreation	0	T	558	
G	AEX	Age group (25 - 34 yrs.)	0	T	513	
G	AFH	Industry - Agriculture, forestry, fishing, and hunting	0	T	559	
G	AFS	Industry - Accommodation and food services	0	T	560	
G	AFX	Age group (35 - 44 yrs.)	0	T	514	
G	AGX	Age group (45 - 54 yrs.)	0	T	515	
G	AHX	Age group (55 - 64 yrs.)	0	T	516	
G	AIX	Age group (65+ yrs.)	0	T	517	
G	AJX	Age group (not reported)	0	T	518	
G	CON	Industry - Construction	0	T	561	
G	DAX	DAFW (1 day)	0	T	519	
G	DBX	DAFW (2 days)	0	T	520	
G	DCX	DAFW (3 - 5 days)	0	T	521	
G	DDX	DAFW (6 - 10 days)	0	T	522	
G	DEX	DAFW (11 - 20 days)	0	T	523	
G	DFX	DAFW (21 - 30 days)	0	T	524	
G	DGX	DAFW (31+ days)	0	T	525	
G	E11	Event - Intentional injury by other person	0	T	526	
G	E12	Event - Injury by person-unintentional or intent unknown	0	T	527	
G	E13	Event - Animal and insect related incidents	0	T	528	
G	E1X	Event - Violence and other injuries by persons or animal	0	T	529	
G	E26	Event - Roadway incidents involving motorized land vehicles	0	T	530	
G	E2X	Event - Transportation incidents	0	T	531	
G	E3X	Event - Fires and explosions	0	T	532	
G	E41	Event - Slips, trips without fall	0	T	533	
G	E42	Event - Fall on same level	0	T	534	
G	E43	Event - Fall to lower level	0	T	535	
G	E4X	Event - Falls, slips, trips	0	T	536	
G	E5X	Event - Exposure to harmful substances or enviroments	0	T	537	
G	E62	Event - Struck by object or equipment	0	T	538	
G	E63	Event - Struck against object or equipment	0	T	539	
G	E64	Event - Caught in or compressed by object or equipment	0	T	540	
G	E6X	Event - Contact with object, equipment	0	T	541	
G	E72	Event - Repetitive motion involving microtasks	0	T	542	
G	E7A	Event - Overexertion in lifting or lowering	0	T	543	
G	E7X	Event - Overexertion and bodily reaction	0	T	544	
G	EDS	Industry - Educational services	0	T	562	
G	EHS	Industry - Education and health services	0	T	563	
G	EXX	Event - all other	0	T	545	
G	FIA	Industry - Financial activities	0	T	564	
G	FIN	Industry - Finance and insurance	0	T	565	
G	GP1	Industry - Goods producing	0	T	566	
G	HAS	Industry - Health care and social assistance	0	T	567	
G	HAX	Hours (before shift began)	0	T	546	
G	HBX	Hours (less than 1 hour)	0	T	547	
