title_code	title_name
EAPINCW2000	Percent Of Workers In Establishments With 100 Workers Or More With Access To Employee Assistance Pro
EAPINCWC000	Percent Of White-collar Workers With Access To Employee Assistance Programs
EARLYRET000	Percent Of Employees With Defined Benefit Pension With Early Retirement Provisions Available
EDUCJRINC00	Percent Of All Workers With Access To Work Related Education Assistance
EDUCJRINCBX	Percent Of Blue-collar Workers With Access To Work Related Education Assistance
EDUCJRINCFT	Percent Of Full-time Workers With Access To Work Related Education Assistance
EDUCJRINCGP	Percent Of Workers In Goods-producing Industries With Access To Work Related Education Assistance
EDUCJRINCNU	Percent Of Nonunion Workers With Access To Work Related Education Assistance
EDUCJRINCPT	Percent Of Part-time Workers With Access To Work Related Education Assistance
EDUCJRINCSP	Percent Of Workers In Service-producing Industries With Access To Work Related Education Assistance
EDUCJRINCSX	Percent Of Service Workers With Access To Work Related Education Assistance
EDUCJRINCUN	Percent Of Union Workers With Access To Work Related Education Assistance
EDUCJRINCW1	Percent Of Workers In Establishments With 1-99 Workers With Access To Work Related Education Assista
EDUCJRINCW2	Percent Of Workers In Establishments With 100 Workers Or More With Access To Work Related Education
EDUCJRINCWC	Percent Of White-collar Workers With Access To Work Related Education Assistance
EDUCNJRINC0	Percent Of All Workers With Access To Non-work Related Education Assistance
ERFUNDCC000	Percent Of All Workers With Access To Employer-provided Funds For Child Care
ERFUNDCCBX0	Percent Of Blue-collar Workers With Access To Employer-provided Funds For Child Care
ERFUNDCCFT0	Percent Of Full-time Workers With Access To Employer-provided Funds For Child Care
ERFUNDCCGP0	Percent Of Workers In Goods-producing Industries With Access To Employer-provided Funds For Child Ca
ERFUNDCCNU0	Percent Of Nonunion Workers With Access To Employer-provided Funds For Child Care
ERFUNDCCPT0	Percent Of Part-time Workers With Access To Employer-provided Funds For Child Care
ERFUNDCCSP0	Percent Of Workers In Service-producing Industries With Access To Employer-provided Funds For Child
ERFUNDCCSX0	Percent Of Service Workers With Access To Employer-provided Funds For Child Care
ERFUNDCCUN0	Percent Of Union Workers With Access To Employer-provided Funds For Child Care
ERFUNDCCW10	Percent Of Workers In Establishments With 1-99 Workers With Access To Employer-provided Funds For Ch
ERFUNDCCW20	Percent Of Workers In Establishments With 100 Workers Or More With Access To Employer-provided Funds
ERFUNDCCWC0	Percent Of White-collar Workers With Access To Employer-provided Funds For Child Care
ESOP0000000	Percent Of Employees With Defined Contribution Who Participate In Employee Stock Ownership
EXTENDCARE0	Percent Of Employees With Medical Care Benefits Who Have Coverage For Extended Care Facilities
FAMAVE00000	Average Employee Contribution For Family Coverage Medical Care Benefits
FAMAVEBC000	Average Blue-collar And Service Employee Contribution For Family Coverage Medical Care Benefits
FAMAVEBX000	Average Contribution For Family Medical Care Benefits Coverage Required Of Blue-collar Workers
FAMAVECS000	Average Clerical And Sales Employee Contribution For Family Coverage Medical Care Benefits
FAMAVEFT000	Average Full-time Employee Contribution For Family Coverage Medical Care Benefits
FAMAVEGP000	Average Employee Contribution For Family coverage Medical Care Benefits In Goods-producing Industrie
FAMAVEMW000	Average Employee Contribution For Family Coverage Medical Care Benefits In the Midwest Region
FAMAVENE000	Average Employee Contribution For Family Coverage Medical Care Benefits In the Northeast Region
FAMAVENU000	Average Nonunion Employee Contribution For Family Coverage Medical Care Benefits
FAMAVEPR000	Average Professional, Technical, And Related Employee Contribution For Family Coverage Medical Care
FAMAVEPT000	Average Part-time Employee Contribution For Family Coverage Medical Care Benefits
FAMAVESO000	Average Employee Contribution For Family Coverage Medical Care Benefits In the South Region
FAMAVESP000	Average Employee Contribution For Family Coverage Medical Care Benefits In Service-producing Industr
FAMAVESX000	Average Contribution For Family Medical Care Benefits Coverage Required of Service Workers
FAMAVEUN000	Average Union Employee Contribution For Family Coverage Medical Care Benefits
FAMAVEW1000	Average Employee Contribution For Family Coverage Medical Care Benefits In Establishments With 1-99
FAMAVEW2000	Average Employee Contribution For Family Coverage Medical Care Benefits In Establishments With 100 O
FAMAVEWC000	Average Contribution For Family Medical Care Benefits Coverage Required of White-collar Workers
FAMAVEWE000	Average Employee Contribution For Family Coverage Medical Care Benefits In the West Region
FAMCONTBC00	Percent Of Blue-collar And Service Workers With Medical Care Required To Contribute To Family Covera
FAMCONTBX00	Percent Of Blue-collar Workers Participating In Medical Plans Required To Contribute Towards The Cos
FAMCONTCS00	Percent Of Clerical And Sales Workers With Medical Care Required To Contribute Toward Cost Of Family
FAMCONTFT00	Percent Of Full-time Workers With Medical Care Required To Contribute Toward Cost Of Family Coverage
FAMCONTGP00	Percent Of Workers In Goods-producing Industries With Medical Care Required To Contribute Toward Cos
FAMCONTMW00	Percent Of Workers In the Midwest Region With Medical Care Coverage Required To Contribute Toward Co
FAMCONTNE00	Percent Of Workers In the Northeast Region With Medical Care Coverage Required To Contribute Toward
FAMCONTNR00	Percent Of All Workers Participating In Medical Care Not Required To Contribute Toward Cost Of Famil
FAMCONTNRBX	Percent Of Blue-collar Workers Participating In Medical Care Not Required To Contribute Toward Cost
FAMCONTNRFT	Percent Of Full-time Workers Participating In Medical Care Not Required To Contribute Toward Cost Of
FAMCONTNRGP	Percent Of Workers In Goods-producing Industries Participating In Medical Care Not Required To Contr
FAMCONTNRNU	Percent Of Nonunion Workers Participating In Medical Care Not Required To Contribute Toward Cost Of
FAMCONTNRPT	Percent Of Part-time Workers Participating In Medical Care Not Required To Contribute Toward Cost Of
FAMCONTNRSP	Percent Of Workers In Service-producing Industries Participating In Medical Care Not Required To Con
FAMCONTNRSX	Percent Of Service Workers Participating In Medical Care Not Required To Contribute Toward Cost Of F
FAMCONTNRUN	Percent Of Union Workers Participating In Medical Care Not Required To Contribute Toward Cost Of Fam
FAMCONTNRW1	Percent Of Workers In Establishments With 1-99 Workers Participating In Medical Care Not Required To
FAMCONTNRW2	Percent Of Workers In Establishments With 100 Workers Or More Participating In Medical Care Not Requ
FAMCONTNRWC	Percent Of White-collar Workers Participating In Medical Care Not Required To Contribute Toward Cost
FAMCONTNU00	Percent Of Nonunion Workers With Medical Care Coverage Required To Contribute Toward Cost Of Family
FAMCONTPR00	Percent Of Professional, Technical, And Related Workers With Medical Care Coverage Required To Contr
FAMCONTPT00	Percent Of Part-time Workers With Medical Care Coverage Required To Contribute Toward Cost Of Family
FAMCONTRIB0	Percent Of All Workers With Medical Care Required To Contribute Toward Cost Of Family Coverage
FAMCONTSO00	Percent Of Workers In the South Region With Medical Care Coverage Required To Contribute Toward Cost
FAMCONTSP00	Percent Of Workers In Service-producing Industries With Medical Care Coverage Required To Contribute
FAMCONTSX00	Percent Of Service Workers Participating In Medical Plans Required To Contribute Towards The Cost Of
FAMCONTUN00	Percent Of Union Workers With Medical Care Coverage Required To Contribute Toward Cost Of Family Cov
FAMCONTW100	Percent Of Workers In Establishments With 1-99 Workers With Medical Care Coverage Required To Contri
FAMCONTW200	Percent Of Workers In Establishments With 100 Or More Workers With Medical Care Coverage Required To
FAMCONTWC00	Percent Of White-collar Workers Participating In Medical Plans Required To Contribute Towards The Co
FAMCONTWE00	Percent Of Workers In the West Region With Medical Care Coverage Required To Contribute Toward Cost
FFS00000000	Percent Of Workers With Medical Care In Fee-for-service Plans
FITNESS0000	Percent Of All Workers With Access To Employer-provided Fitness Centers
FITNESSBX00	Percent Of Blue-collar Workers With Access To Employer-provided Fitness Centers
FITNESSFT00	Percent Of Full-time Workers With Access To Employer-provided Fitness Centers
FITNESSGP00	Percent Of Workers In Goods-producing Industries With Access To Employer-provided Fitness Centers
FITNESSNU00	Percent Of Nonunion Workers With Access To Employer-provided Fitness Centers
FITNESSPT00	Percent Of Part-time Workers With Access To Employer-provided Fitness Centers
FITNESSSP00	Percent Of Workers In Service-producing Industries With Access To Employer-provided Fitness Centers
FITNESSSX00	Percent Of Service Workers With Access To Employer-provided Fitness Centers
FITNESSUN00	Percent Of Union Workers With Access To Employer-provided Fitness Centers
FITNESSW100	Percent Of Workers In Establishments With 1-99 Workers With Access To Employer-provided Fitness Cent
FITNESSW200	Percent Of Workers In Establishments With 100 Workers Or More With Access To Employer-provided Fitne
FITNESSWC00	Percent Of White-collar Workers With Access To Employer-provided Fitness Centers
FLEXINC0000	Percent Of All Workers With Access To Flexible Benefit Plans
FLEXINCBX00	Percent Of Blue-collar Workers With Access To Flexible Benefit Plans
FLEXINCFT00	Percent Of Full-time Workers With Access To Flexible Benefit Plans
FLEXINCGP00	Percent Of Workers In Goods-producing Industries With Access To Flexible Benefit Plans
FLEXINCNU00	Percent Of Nonunion Workers With Access To Flexible Benefit Plans
FLEXINCPT00	Percent Of Part-time Workers With Access To Flexible Benefit Plans
FLEXINCSP00	Percent Of Workers In Service-producing Industries With Access To Flexible Benefit Plans
FLEXINCSX00	Percent Of Service Workers With Access To Flexible Benefit Plans
FLEXINCUN00	Percent Of Union Workers With Access To Flexible Benefit Plans
FLEXINCW100	Percent Of Workers In Establishments With 1-99 Workers With Access To Flexible Benefit Plans
FLEXINCW200	Percent Of Workers In Establishments With 100 Workers Or More With Access To Flexible Benefit Plans
FLEXINCWC00	Percent Of White-collar Workers With Access To Flexible Benefit Plans
FLEXWPINC00	Percent of All Workers With Access To Flexible Work Place Benefits
FLEXWPINCBX	Percent Of Blue-collar Workers With Access To Flexible Work Place Benefits
FLEXWPINCFT	Percent Of Full-time Workers With Access To Flexible Work Place Benefits
FLEXWPINCGP	Percent Of Workers In Goods-producing Industries With Access To Flexible Work Place Benefits
FLEXWPINCNU	Percent Of Nonunion Workers With Access To Flexible Work Place Benefits
FLEXWPINCPT	Percent Of Part-time Workers With Access To Flexible Work Place Benefits
FLEXWPINCSP	Percent Of Workers In Service-producing Industries With Access To Flexible Work Place Benefits
FLEXWPINCSX	Percent Of Service Workers With Access To Flexible Work Place Benefits
FLEXWPINCUN	Percent Of Union Workers With Access To Flexible Work Place Benefits
FLEXWPINCW1	Percent Of Workers In Establishments With 1-99 Workers With Access To Flexible Work Place Benefits
FLEXWPINCW2	Percent Of Workers In Establishments With 100 Or More Workers With Access To Flexible Work Place Ben
FLEXWPINCWC	Percent Of White-collar Workers With Access To Flexible Work Place Benefits
FUNERAVE000	Average Number Of Paid Funeral Leave Days Per Occurrence
FUNERINC000	Percent Of All Workers With Access To Paid Funeral Leave
FUNERINCBX0	Percent Of Blue-collar Workers With Access To Paid Funeral Leave
FUNERINCFT0	Percent Of Full-time Workers With Access To Paid Funeral Leave
FUNERINCGP0	Percent Of Workers In Goods-producing Industries With Access To Paid Funeral Leave
FUNERINCNU0	Percent Of Nonunion Workers With Access To Paid Funeral Leave
FUNERINCPT0	Percent Of Part-time Workers With Access To Paid Funeral Leave
FUNERINCSP0	Percent Of Workers In Service-producing Industries With Access To Paid Funeral Leave
FUNERINCSX0	Percent Of Service Workers With Access To Paid Funeral Leave
FUNERINCUN0	Percent Of Union Workers With Access To Paid Funeral Leave
FUNERINCW10	Percent Of Workers In Establishments With 1-99 Workers With Access To Paid Funeral Leave
FUNERINCW20	Percent Of Workers In Establishments With 100 Workers Or More With Access To Paid Funeral Leave
FUNERINCWC0	Percent Of White-collar Workers With Access To Paid Funeral Leave
HMO00000000	Percent Of Employees With Medical Care In Health Maintenance Organization Plans
HOLAVE00000	Average Number Of Paid Holidays Per Year
HOLINC00000	Percent Of All Workers With Access To Paid Holidays
HOLINCBC000	Percent Of Blue-collar And Service Workers With Access To Paid Holidays
HOLINCBX000	Percent Of Blue-collar Workers With Access To Paid Holidays
HOLINCCS000	Percent Of Clerical And Sales Workers With Access To Paid Holidays
HOLINCFT000	Percent Of Full-time Workers With Access To Paid Holidays
HOLINCGP000	Percent Of Workers In Goods-producing Industries With Access To Paid Holidays
HOLINCMW000	Percent Of Workers In the Midwest Region With Access To Paid Holidays
HOLINCNE000	Percent Of Workers In the Northeast Region With Access To Paid Holidays
HOLINCNU000	Percent Of Nonunion Workers With Access To Paid Holidays
HOLINCPR000	Percent Of Professional, Technical, And Related Workers With Access To Paid Holidays
HOLINCPT000	Percent Of Part-time Workers With Access To Paid Holidays
HOLINCSO000	Percent Of Workers In the South Region With Access To Paid Holidays
HOLINCSP000	Percent Of Workers In Service-producing Industries With Access To Paid Holidays
HOLINCSX000	Percent Of Service Workers With Access To Paid Holidays
HOLINCUN000	Percent Of Union Workers With Access To Paid Holidays
HOLINCW1000	Percent Of Workers In Establishments With 1-99 Workers With Access To Paid Holidays
HOLINCW2000	Percent Of Workers In Establishments With 100 Or More Workers With Access To Paid Holidays
HOLINCWC000	Percent Of White-collar Workers With Access To Paid Holidays
HOLINCWE000	Percent Of Workers In the West Region With Access To Paid Holidays
HOMEHEALTH0	Percent Of Employees With Medical Care Benefits Who Have Coverage For Home Health Care
HOMEPCINC00	Percent Of All Workers With Access To Employer-provided Home PC Benefit
HOMEPCINCBX	Percent Of Blue-collar Workers With Access To Employer-provided Home PC Benefit
HOMEPCINCFT	Percent Of Full-time Workers With Access To Employer-provided Home PC Benefit
HOMEPCINCGP	Percent Of Workers In Goods-producing Industries With Access To Employer-provided Home PC Benefit
HOMEPCINCNU	Percent Of Nonunion Workers With Access To Employer-provided Home PC Benefit
HOMEPCINCPT	Percent Of Part-time Workers With Access To Employer-provided Home PC Benefit
HOMEPCINCSP	Percent Of Workers In Service-producing Industries With Access To Employer-provided Home PC Benefit
HOMEPCINCSX	Percent Of Service Workers With Access To Employer-provided Home PC Benefit
HOMEPCINCUN	Percent Of Union Workers With Access To Employer-provided Home PC Benefit
HOMEPCINCW1	Percent Of Workers In Establishments With 1-99 Workers With Access To Employer-provided Home PC Bene
HOMEPCINCW2	Percent Of Workers In Establishments With 100 Or More Workers With Access To Employer-provided Home
HOMEPCINCWC	Percent Of White-collar Workers With Access To Employer-provided Home PC Benefit
HOSPICE0000	Percent Of Employees With Medical Care Benefits Who Have Coverage For Hospice
INDEPORG000	Percent Of Employees With Medical Care Offered By Independent Organizations
JURYINC0000	Percent Of All Workers With Access To Paid Jury Duty Leave
JURYINCBX00	Percent Of Blue-collar Workers With Access To Paid Jury Duty Leave
JURYINCFT00	Percent Of Full-time Workers With Access To Paid Jury Duty Leave
JURYINCGP00	Percent Of Workers In Goods-producing Industries With Access To Paid Jury Duty Leave
JURYINCNU00	Percent Of Nonunion Workers With Access To Paid Jury Duty Leave
JURYINCPT00	Percent Of Part-time Workers With Access To Paid Jury Duty Leave
JURYINCSP00	Percent Of Workers In Service-producing Industries With Access To Paid Jury Duty Leave
JURYINCSX00	Percent Of Service Workers With Access To Paid Jury Duty Leave
JURYINCUN00	Percent Of Union Workers With Access To Paid Jury Duty Leave
JURYINCW100	Percent Of Workers In Establishments With 1-99 Workers With Access To Paid Jury Duty Leave
JURYINCW200	Percent Of Workers In Establishments With 100 Or More Workers With Access To Paid Jury Duty Leave
JURYINCWC00	Percent Of White-collar Workers With Access To Paid Jury Duty Leave
LIFEFLATAVG	Average Life Insurance Based On Flat Dollar Amount
LIFEINC0000	Percent Of All Workers Participating In Life Insurance Benefits
LIFEINCBC00	Percent Of Blue-collar and Service Workers Participating In Life Insurance Benefits
LIFEINCBX00	Percent Of Blue-collar Workers Participating In Life Insurance Benefits
LIFEINCCS00	Percent Of Clerical And Sales Workers Participating In Life Insurance Benefits
LIFEINCFT00	Percent Of Full-time Workers Participating In Life Insurance Benefits
LIFEINCGP00	Percent Of Workers In Goods-producing Industries Participating In Life Insurance Benefits
LIFEINCMW00	Percent Of Workers In the Midwest Region Participating In Life Insurance Benefits
LIFEINCNE00	Percent Of Workers In the Northeast Region Participating In Life Insurance Benefits
LIFEINCNU00	Percent Of Nonunion Workers Participating In Life Insurance Benefits
