area_code	area_name	display_level	selectable	sort_sequence
742	State government, Pennsylvania	0	T	173	
743	State government, Puerto Rico	0	T	178	
745	State government, South Carolina	0	T	188	
747	State government, Tennessee	0	T	193	
748	State government, Texas	0	T	198	
749	State government, Utah	0	T	203	
750	State government, Vermont	0	T	208	
751	State government, Virginia	0	T	213	
752	State government, Virgin Islands	0	T	218	
753	State government, Washington	0	T	223	
754	State government, West Virginia	0	T	228	
755	State government, Wisconsin	0	T	233	
756	State government, Wyoming	0	T	238	
766	State government, Guam	0	T	243	
800	Local government, All U.S.	0	T	4	
801	Local government, Alabama	0	T	9	
802	Local government, Alaska	0	T	14	
804	Local government, Arizona	0	T	19	
805	Local government, Arkansas	0	T	24	
806	Local government, California	0	T	29	
809	Local government, Connecticut	0	T	34	
810	Local government, Delaware	0	T	39	
811	Local government, District of Columbia	0	T	44	
812	Local government, Florida	0	T	49	
813	Local government, Georgia	0	T	54	
815	Local government, Hawaii	0	T	59	
817	Local government, Illinois	0	T	64	
818	Local government, Indiana	0	T	69	
819	Local government, Iowa	0	T	74	
820	Local government, Kansas	0	T	79	
821	Local government, Kentucky	0	T	84	
822	Local government, Louisiana	0	T	89	
823	Local government, Maine	0	T	94	
824	Local government, Maryland	0	T	99	
825	Local government, Massachusetts	0	T	104	
826	Local government, Michigan	0	T	109	
827	Local government, Minnesota	0	T	114	
829	Local government, Missouri	0	T	119	
830	Local government, Montana	0	T	124	
831	Local government, Nebraska	0	T	129	
832	Local government, Nevada	0	T	134	
834	Local government, New Jersey	0	T	139	
835	Local government, New Mexico	0	T	144	
836	Local government, New York	0	T	149	
837	Local government, North Carolina	0	T	154	
839	Local government, Ohio	0	T	159	
840	Local government, Oklahoma	0	T	164	
841	Local government, Oregon	0	T	169	
842	Local government, Pennsylvania	0	T	174	
843	Local government, Puerto Rico	0	T	179	
845	Local government, South Carolina	0	T	189	
847	Local government, Tennessee	0	T	194	
848	Local government, Texas	0	T	199	
849	Local government, Utah	0	T	204	
850	Local government, Vermont	0	T	209	
851	Local government, Virginia	0	T	214	
853	Local government, Washington	0	T	219	
854	Local government, West Virginia	0	T	224	
855	Local government, Wisconsin	0	T	229	
856	Local government, Wyoming	0	T	234	
900	State and local government combined, All U.S.	0	T	2	
901	State and local government combined, Alabama	0	T	7	
902	State and local government combined, Alaska	0	T	12	
904	State and local government combined, Arizona	0	T	17	
905	State and local government combined, Arkansas	0	T	22	
906	State and local government combined, California	0	T	27	
909	State and local government combined, Connecticut	0	T	32	
910	State and local government combined, Delaware	0	T	37	
912	State and local government combined, Florida	0	T	47	
913	State and local government combined, Georgia	0	T	52	
915	State and local government combined, Hawaii	0	T	57	
917	State and local government combined, Illinois	0	T	62	
918	State and local government combined, Indiana	0	T	67	
919	State and local government combined, Iowa	0	T	72	
920	State and local government combined, Kansas	0	T	77	
921	State and local government combined, Kentucky	0	T	82	
922	State and local government combined, Louisiana	0	T	87	
923	State and local government combined, Maine	0	T	92	
924	State and local government combined, Maryland	0	T	97	
925	State and local government combined, Massachusetts	0	T	102	
926	State and local government combined, Michigan	0	T	107	
927	State and local government combined, Minnesota	0	T	112	
929	State and local government combined, Missouri	0	T	117	
930	State and local government combined, Montana	0	T	122	
931	State and local government combined, Nebraska	0	T	127	
932	State and local government combined, Nevada	0	T	132	
934	State and local government combined, New Jersey	0	T	137	
935	State and local government combined, New Mexico	0	T	142	
936	State and local government combined, New York	0	T	147	
937	State and local government combined, North Carolina	0	T	152	
939	State and local government combined, Ohio	0	T	157	
940	State and local government combined, Oklahoma	0	T	162	
941	State and local government combined, Oregon	0	T	167	
943	State and local government combined, Puerto Rico	0	T	177	
945	State and local government combined, South Carolina	0	T	187	
947	State and local government combined, Tennessee	0	T	192	
948	State and local government combined, Texas	0	T	197	
949	State and local government combined, Utah	0	T	202	
950	State and local government combined, Vermont	0	T	207	
951	State and local government combined, Virginia	0	T	212	
952	State and local government combined, Virgin Islands	0	T	217	
953	State and local government combined, Washington	0	T	222	
954	State and local government combined, West Virginia	0	T	227	
955	State and local government combined, Wisconsin	0	T	232	
956	State and local government combined, Wyoming	0	T	237	
966	State and local government combined, Guam	0	T	242	
