group_code	item_code	item_name
01	2301031	Long grain rough rice	
01	2301032	Medium/short grain rough rice	
01	3	Slaughter livestock	
01	31	Slaughter cattle	
01	3101	Slaughter steers and heifers	
01	310199	Slaughter steers and heifers	
01	3102	Slaughter cows and bulls	
01	310299	Slaughter cows and bulls	
01	3103	Slaughter vealers	
01	310399	Slaughter vealers	
01	32	Slaughter hogs	
01	3201	Slaughter barrows and gilts	
01	320199	Slaughter barrows and gilts	
01	3202	Slaughter sows	
01	320299	Slaughter sows	
01	33	Slaughter lambs	
01	3301	Slaughter lambs	
01	330199	Slaughter lambs	
01	4	Slaughter poultry	
01	41	Slaughter chickens	
01	4102	Slaughter chickens	
01	410299	Slaughter chickens	
01	42	Slaughter turkeys	
01	4201	Slaughter turkeys	
01	420199	Slaughter turkeys	
01	43	Slaughter ducks	
01	4301	Slaughter ducks	
01	430199	Slaughter ducks	
01	5	Raw cotton	
01	51	Raw cotton	
01	5101	Raw cotton	
01	510101	Raw cotton	
01	5101011	Upland cotton	
01	5101012	Pima cotton	
01	6	Raw milk	
01	61	Raw milk	
01	6101	Raw milk	
01	610102	Raw milk	
01	7	Chicken eggs	
01	71	Chicken eggs	
01	7107	Eggs for fresh use	
01	710701	Eggs, jumbo	
01	710702	Eggs, extra large	
01	710703	Eggs, large	
01	710704	Eggs, medium	
01	710705	Eggs, small	
01	7108	Breaker stock and checks and undergrades	
01	710801	Breaker stock	
01	710802	Checks and undergrades	
01	8	Hay, hayseeds, and oilseeds	
01	81	Hay and hayseeds	
01	8101	Hay and hayseeds	
01	810101	Alfalfa hay	
01	810102	All other hay	
01	83	Oilseeds	
01	8301	Oilseeds	
01	830111	Peanuts	
01	830121	Cottonseed	
01	830131	Soybeans	
01	830151	Flaxseed	
01	830161	Sunflower	
01	830171	Canola	
01	830181	Misc. oil crops	
02	-	Processed foods and feeds	
02	1	Cereal and bakery products	
02	11	Bakery products	
02	1102	Bread (white, wheat, rye, etc.), including frozen	
02	110201	Bread (white, wheat, rye, etc.), including frozen	
02	11020111	White pan bread	
02	11020112	White hearth bread (French, Italian, etc.)	
02	11020113	Dark wheat breads (whole wheat, cracked wheat, multigrain, etc.)	
02	11020114	Other variety breads (rye, unleavened, raisin, potato etc.)	
02	1105	Rolls (bread-type), muffins, bagels, and croissants	
02	110505	Rolls (bread-type), muffins, bagels, and croissants	
02	11050501	Rolls, hamburger and wiener	
02	11050502	All other rolls, bread-type (incl. muffins, bagels, & croissants)	
02	1107	Other sweet goods, excluding frozen	
02	110703	Other sweet goods, excluding frozen	
02	1108	Soft cakes, excluding frozen	
02	110803	Soft cakes, excluding frozen	
02	1109	Pies (fruit, cream, and custard), excluding frozen	
02	110903	Pies (fruit, cream, and custard), excluding frozen	
02	1121	Cookies, crackers, and related products	
02	112103	Cookies, wafers, and ice cream cones and cups (excluding frozen)	
02	112104	Crackers, biscuits, and related products	
02	1121042	Crackers, biscuits, and related products	
02	1130	Retail bakery products	
02	113001	Retail bakery products	
02	12	Flour and flour base mixes and doughs	
02	1203	Wheat flour	
02	120301	Wheat flour	
02	1204	Flour base mixes and doughs	
02	120401	Flour base mixes and doughs	
02	1204011	Prepared flour mixes, including refrigerated and frozen doughs and batters, made in flour mills	
02	1204012	Cake mixes, including gingerbread, made from purchased flour	
02	1204013	Flour mixes, excluding cake mixes, made from purchased flour	
02	13	Milled rice and byproducts	
02	1301	Head rice	
02	130106	Head rice	
02	1302	Milled rice (incl second heads, screenings, brewers, bran, sharps, rice flour, and byproducts)	
02	130201	Milled rice (incl second heads, screenings, brewers, bran, sharps, rice flour, and byproducts)	
02	14	Cereal and pasta products	
02	1402	Dry macaroni, spaghetti, and egg noodle products, made from purchased flour	
02	140203	Dry macaroni, spaghetti, and egg noodle products, made from purchased flour	
02	14020303	Dry macaroni, spaghetti, and egg noodle products, made from purchased flour	
02	1409	Cereal and mill products, other than flour	
02	140907	Manufactured starch	
02	140908	Wheat mill products, corn mill products, and other grain mill products except flour	
02	1409081	Wheat mill products, except flour	
02	1409082	Corn mill products	
02	1409083	Other grain mill products	
02	140909	Breakfast cereal	
02	2	Meats, poultry, and fish	
02	21	Meats	
02	2101	Beef and veal products, fresh or frozen	
02	210126	Beef, fresh/frozen variety meats/other meats, slaughtering	
02	210129	Veal, fresh or frozen, not canned or sausage, misp	
02	210131	Beef fresh/frozen whole, half carcass not canned or made into sausage, misp	
02	210133	Beef, fresh/frozen, primal and subprimal cut, slaughtering	
02	2103	Lamb or mutton, fresh or frozen, made in slaughtering plants	
02	210321	Lamb or mutton, fresh or frozen, made in slaughtering plants	
02	2104	Pork products, fresh, frozen, or processed, except sausage	
02	210444	Pork, fresh/frozen, unprocessed., all cuts, except sausage	
02	210447	Pork, processed or cured, not canned or made into sausage	
02	2104471	Pork, processed or cured, not canned or made into sausage, misp	
02	2104472	Pork, processed or cured, not canned or made into sausage, mfpc	
02	21044721	Pork, sweet-pickled and dry-cured, made from purchased carcasses	
02	21044722	Smoked hams and picnics, except canned, made from purchased carcasses	
02	21044723	Pork, smoked slab bacon, made from purchased carcasses	
02	21044724	Smoked sliced bacon, made from purchased carcasses	
02	21044725	Other smoked pork, not canned or made into sausage, made from purchased carcasses	
02	21044726	Boiled ham, barbecue pork, and other cooked pork, except canned meats and sausage, mfpc	
02	2105	Other meats, fresh, frozen, or canned	
02	210503	Fresh/processed sausage, deli & cooked meats, etc.	
02	2105031	Fresh and processed sausage, deli, and cooked meats, misp	
02	2105032	Fresh and processed sausage, deli, and cooked meats, mfpc	
02	21050321	Fresh sausage (pork sausage, breakfast links, etc.), except canned, mfpc	
02	21050322	Dry or semidry sausage (salami, cervelat, pepperoni, summer sausage, pork roll, etc), mfpc	
02	21050323	Frankfurters, including wieners, except canned, made from purchased carcasses	
02	21050324	Other sausage (smoked or cooked) & jellied goods & similar preparations, except canned, mfpc	
02	210504	Boxed meat (beef, pork, lamb, etc.), made from purchased carcasses	
02	210579	Canned meats, excluding dog, cat, and baby food	
02	2105792	Canned meats, excluding dog, cat, and baby food, mfpc	
02	210586	Frozen ground meat patties and other processed, frozen, or cooked meats, mfpc	
02	22	Processed poultry	
02	2203	Young chickens, including bulk, chilled, frozen, whole, and in parts	
02	220333	Young chickens, including bulk, chilled, frozen, whole, and in parts	
02	2206	Turkeys, including frozen, whole, and parts	
02	220611	Turkeys, including frozen, whole, and parts	
02	2208	Canned, cooked, smoked or prepared poultry	
02	220811	Canned, cooked, smoked or prepared poultry	
02	2209	Chicken hens and other poultry/small game	
02	220911	Other poultry/small game (duck, goose, rabbit, etc.)	
02	23	Unprocessed and prepared seafood	
02	2301	Unprocessed finfish	
02	230101	Haddock	
02	230102	Halibut	
02	230103	Salmon	
02	230131	Flounder	
02	230132	Cod	
02	230133	Pollock	
02	230135	Rockfish	
02	230136	Tuna	
02	230199	Other finfish	
02	2304	Canned seafood (including soups, stews, and chowders)	
02	230429	Canned seafood (including soups, stews, and chowders)	
02	2305	Unprocessed shellfish	
02	230501	Shrimp	
02	230502	Crabs	
02	230503	Lobsters	
02	230504	Clams	
02	230505	Oysters	
02	230506	Sea scallops	
02	230507	Mussels	
02	2306	Prepared fresh and frozen seafood	
02	230601	Prepared fresh fish/seafood, inc. surimi/surimi-based products	
02	230602	Prepared frozen fish	
02	230603	Prepared frozen shellfish	
02	230604	Other prepared fresh and frozen seafood	
02	3	Dairy products	
02	31	Fluid milk products	
02	3103	Packaged fluid milk and related products	
02	310301	Fluid whole milk	
02	310302	Reduced fat and lowfat milk (1/2-2)	
02	310303	Fat free or skim milk	
02	310304	Other fluid milk related products, packaged, incl. cartons, bottles, cans, and dispenser cans	
02	3104	Cottage cheese	
02	310401	Cottage cheese	
02	3105	Other milk products	
02	310501	Other milk products	
02	3105011	Yogurt, excluding frozen	
02	3105012	Other packaged milk products	
02	3106	Bulk fluid milk and cream	
02	310601	Bulk fluid milk and cream	
02	32	Butter	
02	3201	Butter	
02	320114	Butter	
02	33	Natural, processed, and imitation cheese	
02	3302	Natural cheese, except cottage cheese	
02	330212	Natural cheese, except cottage cheese	
02	3302121	Natural cheese, except lowfat, shipped in consumer packages or containers (3 lbs or less)	
02	3302122	Natural cheese, except  lowfat, shipped in packages or containers (more than 3 lbs) or bulk	
02	3302123	Lowfat natural cheese, except cottage cheese, shipped in consumer packages (3 lbs. or less)	
02	3302124	Lowfat natural cheese, except cottage cheese, shipped in packages (more than 3 lbs.) or in bulk	
02	3303	Process cheese and related products	
02	330312	Process cheese and related products	
02	3303121	Process cheese, shipped in consumer packages or containers (3 lbs. or less)	
02	3303122	All other process cheese and related products	
02	33031221	Process cheese shipped in packages or containers (more than 3 lbs.) or in bulk	
02	33031225	Cheese food, spread, and other related products	
02	3304	Cheese substitutes and imitations	
02	330401	Cheese substitutes and imitations	
02	3307	Raw liquid whey	
02	330701	Raw liquid whey	
02	34	Ice cream and frozen desserts	
02	3402	Ice cream and frozen desserts	
02	340201	Ice Cream and frozen desserts	
02	3402011	Ice cream, excl. lowfat and nonfat (incl. custards), shipped in bulk (containers 3 gal or more)	
02	3402012	Ice cream, excl. lowfat and nonfat (incl. custards), shipped in sizes (less than 3 gal)	
02	3402013	Ice cream, excl. lowfat and nonfat, (incl. custards), novelty forms	
02	3402014	Lowfat and nonfat ice cream (including custards)	
02	3402015	Other frozen desserts (yogurt, sherbet, water ices, mellorine, frozen pudding etc.)	
02	35	Dry, condensed, and evaporated milk products	
02	3502	Dry milk products, including feed grade	
02	350201	Dry milk products, including feed grade	
02	3503	Liquid milk products	
02	350301	Consumer-type canned milk products	
02	350303	Bulk liquid milk products, including feed grade	
02	3505	Ice cream mixes and related products	
02	350502	Ice cream mixes and related products	
02	4	Processed fruits and vegetables	
02	41	Canned fruits and juices	
02	4101	Canned fruits, excluding baby foods	
02	410105	Canned fruits, excluding baby foods	
02	4102	Canned and fresh fruit juices, nectars, and concentrates	
02	410239	Canned and fresh fruit juices, nectars, and concentrates	
02	42	Frozen fruits, juices and ades	
02	4202	Frozen fruits	
02	420209	Frozen fruits	
02	4203	Frozen juices, ades, drinks, and cocktails	
02	420301	Frozen concentrated orange juice, consumer and institutional	
02	420314	Frozen concentrated juices, excluding orange juice	
02	44	Canned vegetables and juices	
02	4401	Canned vegetables and juices	
02	440102	Canned vegetables	
02	440127	Canned catsup and other tomato based sauces	
02	440139	Canned vegetable juices	
02	45	Frozen vegetables	
02	4502	Frozen potato products (French-fried, patties, puffs, etc.)	
02	450202	Frozen potato products (French-fried, patties, puffs, etc.)	
02	4505	Frozen vegetables, other than potato products	
02	450509	Frozen vegetables, other than potato products	
02	48	Dried and dehydrated food	
02	4801	Dried and dehydrated food	
02	480101	Dried and dehydrated food	
02	48010101	Soup mixes (oriental/dried/dehydrated/freeze-dried) and bouillon	
02	48010102	Dried and dehydrated fruits and vegetables incl. freeze-dried	
02	48010103	Macaroni/noodle prod., pkg w/ oth. ingred., exc. canned/frozen	
02	5	Sugar and confectionery	
02	52	Raw cane sugar and sugar cane mill products and by-products	
02	5201	Raw cane sugar and sugar cane mill products and by-products	
02	520106	Raw cane sugar and sugar cane mill products and by-products	
02	53	Refined sugar products and by-products	
02	5307	Refined sugar products and by-products	
02	530701	Refined granulated cane sugar and by-products	
02	530702	Beet sugar	
02	54	Confectionery materials	
02	5401	Confectionery materials	
02	540104	Chocolate coatings, made from cacao beans	
02	540105	Other chocolate and cocoa products, made from cacao beans	
02	5401051	Sweetened chocolate, excluding coatings, cacao beans	
02	5401052	Sweet./unsweet. chocolate/cocoa powder, cacao beans	
02	5401053	Cocoa butter, liquor, and cocoa base chocolate syrup made from cacao beans	
02	540107	Corn sweeteners	
02	55	Confectionery end products	
02	5502	Chewing gum, bubble gum, and chewing gum base	
02	550201	Chewing gum, bubble gum, and chewing gum base	
02	5503	Candy and nuts	
02	550301	Chocolate and chocolate-type confectionery products	
02	5503011	Chocolate/chocolate-type confectionery prods, cacao beans	
02	5503012	Chocolate/confectionery prods., purch. chocolate	
02	5503013	Chocolate & confectioneries, purchased chocolate retailed	
02	550302	Nonchocolate-type confectionery products	
02	5503021	Nonchocolate-type confectioneries, made/pkg for shipment	
02	550304	Nuts and seeds (salted, roasted, cooked or blanched)	
02	5503041	Nuts (salted, roasted, cooked, or blanched), sold in bulk	
02	5503042	Canned nuts (salted, roasted, cooked, or blanched)	
02	5503043	All other packaged nuts and all seeds (salted, roasted, cooked, or blanched)	
02	550305	Other confectionery-type products	
02	5504	Sweetening syrups and molasses	
02	550401	Sweetening syrups and molasses	
02	6	Beverages and beverage materials	
02	61	Alcoholic beverages	
02	6101	Malt beverages	
02	610101	Bottled beer and ale	
02	610103	Canned beer and ale	
02	610105	Beer and ale in barrels and kegs	
02	610108	Other malt beverages and brewing products	
02	6102	Distilled and bottled liquor, excluding brandy	
02	610202	Distilled liquor, excluding brandy	
02	610204	Bottled liquor, excluding brandy	
02	6102041	Bottled whiskey	
02	6102042	Bottled gin, vodka, cordials, cocktails, and similar compounds	
02	6102043	All other bottled liquor, except brandy	
02	6104	Wines, brandy, and brandy spirits	
02	610441	Wines, brandy, and brandy spirits	
02	6104411	Wines, white, red & rose grape, and other fruit, 14 percent or less alcohol	
02	61044111	Wines, white grape, 14 percent or less alcohol content	
02	61044112	Wines, red grape, 14 percent or less alcohol content	
02	61044113	Wines, rose grape & other fruits & berries, 14 percent or less alcohol	
02	6104412	Wines, dessert, effervescent, and wine coolers	
02	61044121	Wines, dessert, excluding specialties	
02	61044122	Wines, effervescent, including sparkling (carbonated), wine coolers	
02	6104413	Other wines, brandy, and brandy spirits	
02	62	Soft drinks	
02	6206	Soft drinks, non-carbonated and bottled water	
02	620608	Bottled water, non-carb, processed or pasteurized	
02	620609	Soft drinks, non-carbonated	
02	6206093	Soft drinks, non-carbonated, all other types	
02	6206094	Soft drinks, non-carbonated, fruit drinks, cocktails, ades	
02	6210	Soft drinks, bottle/can, carbonated, all types	
02	621001	Soft drinks, bottle/can, carbonated, all types	
02	63	Packaged beverage materials	
02	6301	Coffee (whole bean, ground, & instant)	
02	630103	Coffee, concentrated, including coffee substitutes	
02	630104	Roasted coffee	
02	6303	Tea in consumer packages, exc. canned ice tea	
02	630313	Tea in consumer packages, exc. canned ice tea	
02	64	Other beverage materials	
02	6401	Other beverage materials	
02	640101	Malt and malt by-products	
02	640109	Liquid beverage bases, excluding use by soft drink bottlers	
02	640111	Liquid beverage bases, for sale by soft drink bottlers	
02	7	Fats and oils	
02	71	Animal fats and oils, made in slaughtering plants	
02	7101	Animal fats and oils, made in slaughtering plants	
02	710117	Animal fats and oils, made in slaughtering plants	
02	78	Shortening, cooking oil, and margarine	
02	7801	Shortening, cooking oil, and margarine	
02	780109	Margarine, butter blends, and butter substitutes	
02	780115	Shortening and cooking oils	
02	7A	Other oilseed processing	
02	7A01	Other oilseed processing	
02	7A0103	Cottonseed oil, once refined	
02	7A0104	Cotton linters	
02	7A0105	Cottonseed cake, meal, hulls, and other byproducts	
02	7A01051	Cottonseed cake and meal	
02	7A01052	Cottonseed hulls and other cottonseed byproducts	
02	7A0106	Other vegetable oils and vegetable mill products	
02	7B	Corn oil, crude and refined	
02	7B01	Corn oil, crude and refined	
02	7B0101	Corn oil, crude and refined	
02	8	Miscellaneous processed foods	
02	81	Canned jams, jellies, and preserves	
02	8101	Canned jams, jellies, and preserves	
02	810102	Canned jams, jellies, and preserves	
02	82	Pickles and other pickled products, including horseradish	
02	8201	Pickles and other pickled products	
02	820106	Pickles and other pickled products, including horseradish	
02	83	Processed eggs, liquid, dried, or frozen	
02	8301	Processed eggs, liquid, dried, or frozen	
02	830111	Processed eggs, liquid, dried, or frozen	
02	84	Specialty canning	
02	8401	Specialty canning	
02	840102	Canned dry beans	
02	840104	Canned soups and stews, excluding frozen and seafood	
02	840105	Canned baby foods and other canned specialties/nationality foods	
02	85	Frozen specialty food	
02	8501	Frozen specialty food	
02	850109	Frozen bakery products	
02	850111	Frozen dinners and nationality foods	
02	850113	Other frozen specialties, excluding seafood	
02	86	Prepared sauces, except tomato	
02	8601	Prepared sauces, except tomato	
02	860103	Prepared sauces, except tomato	
02	89	Other miscellaneous processed foods	
02	8901	Other miscellaneous processed foods	
02	890102	Mayonnaise, salad dressings, and sandwich spreads	
02	890148	Dry mix food preparations	
02	890149	Perishable non-frozen prepared food, including tortillas	
02	8901492	Perishable prepared food	
02	890151	Flavoring extracts, emulsions, liquid flavors, and colorings	
02	890154	Other flavoring agents, except chocolate syrup	
02	8901541	Flavoring syrups and fruit products for soft drinks & fountain, ice cream, & home beverage use	
02	89015411	Soft drink flavoring syrup, sold in bulk	
02	89015412	Other flavoring agents (except chocolate syrups)	
02	890156	Table salt (evaporated), pepper (white and black), and other spices	
02	8901566	Pepper and other spices in commercial sizes (1 lb or more)	
02	890158	Peanut butter	
02	890161	Ice	
02	890162	Dairy product substitutes	
02	8901621	Dairy product substitutes	
02	8901622	Perishable dairy product substitutes	
02	890171	Desserts (ready-to-mix)	
02	890172	Chips (potato, corn, etc.)	
02	8901723	Other chips, sticks (hard pretzels, bacon rinds, popcorn (except candied), etc.)	
02	890174	Vinegar and cider	
02	890175	Other food preparations	
02	9	Prepared animal feeds	
02	92	Soybean cake, meal, and other byproducts	
02	9201	Soybean cake, meal, and other byproducts	
02	920112	Soybean cake, meal, and other byproducts	
02	9201121	Soybean cake and meal	
02	9201122	Other soybean products, including isolates and concentrates	
02	93	Formula feeds	
02	9301	Formula feeds	
02	930102	Chicken and turkey feed, supplements, concentrates, and premixes	
02	930110	Dairy cattle feed, supplements, concentrates, and premixes	
02	930115	Swine feed, supplements, concentrates, and premixes	
02	930117	Beef cattle feed, supplements, concentrates, and premixes	
02	930118	Other poultry and livestock feeds	
02	94	Miscellaneous feedstuffs	
02	9402	Pet food	
02	940202	Dog and cat food	
02	9402021	Dog food	
02	94020211	Canned dog food	
02	94020214	Dry and semi-moist dog food	
02	9402022	Cat food	
02	94020224	Canned cat food	
02	94020225	Dry and semi-moist cat food	
02	940203	Other pet and specialty feeds	
02	9403	Miscellaneous feedstuffs other than pet food	
02	940301	Meat meal and meat and bone meal	
02	940317	Corn wet process byproducts, incl. gluten meal	
02	940325	Other animal feeds, incl. fertilizer byproducts and feather	
02	9403252	Animal and marine feed and fertilizer byproducts, except meat and bone meal	
02	9403253	Other prepared animal feeds, including feeding materials and adjuncts	
02	940333	Miscellaneous by-products of meat packing	
03	-	Textile products and apparel	
03	1	Synthetic fibers	
03	15	Unprocessed filament yarns	
03	1502	Noncellulosic fibers	
03	150231	Glass fiber, textile-type	
03	150241	Noncellulosic organic fibers	
03	1502411	Polyester fibers	
03	1502412	Other noncellulosic organic fibers, incl. polyamide, polyolefin, and producer-textured	
03	2	Processed yarns and threads	
03	26	Yarns	
03	2601	Spun cotton yarns	
03	260113	Carded cotton yarns	
03	260121	Combed cotton yarns	
03	2602	Spun wool yarns, including new, reused, and reprocessed wool	
03	260206	Spun wool yarns, including new, reused, and reprocessed wool	
03	2603	Spun synthetic yarns	
03	260304	Spun synthetic yarns	
03	2604	Textured and twisted yarn	
03	260402	Thrown filament yarns, except textured	
03	260403	Textured, crimped, or bulked filament yarns	
03	260404	Novelty and plied yarns, excl. wool, not spun or thrown at the same est.	
03	2607	Other spun noncellulosic and natural fiber (except cotton and wool) yarns	
03	260701	Other spun noncellulosic and natural fiber (except cotton and wool) yarns	
03	27	Thread	
03	2705	Thread	
03	270501	Thread	
03	3	Greige fabrics	
03	37	Greige broadwoven fabrics	
03	3701	Greige cotton broadwoven fabrics	
03	370104	Greige cotton broadwoven fabrics	
03	3703	Greige manmade fiber broadwoven fabrics	
03	370304	Greige manmade fiber broadwoven fabrics	
03	3703041	Greige manmade fiber broadwoven fabrics, comb. of spun and filament yarns	
03	3703042	Greige manmade fiber broadwoven fabrics 85 pct. or more filament yarns, rayon/acetate/lyocell	
03	3703043	Greige manmade fiber broadwoven fabrics 85 pct or more filament yarns exc rayon/acetate/lyocell	
03	3703044	Greige manmade fiber broadwoven plain weave fabrics 85 pct. or more spun yarns	
03	3703045	Greige manmade fiber broadwoven twill weave fabrics 85 pct. or more spun yarns	
03	38	Greige knit fabrics	
03	3803	Greige weft (circular) knit fabrics (excluding hosiery)	
03	380301	Greige weft (circular) knit fabrics (excluding hosiery)	
03	3804	Greige warp knit fabrics (excl hosiery)	
03	380401	Greige warp knit fabrics (excl hosiery)	
03	39	Tire cord and tire fabric	
03	3901	Tire cord and tire fabric	
03	390101	Tire cord and tire fabric	
03	4	Finished fabrics	
03	42	Finished broadwoven fabrics	
03	4201	Finished cotton broadwoven fabrics	
03	420104	Finished cotton broadwoven fabrics	
03	4202	Finished wool broadwoven fabrics and felts	
03	420209	Finished wool broadwoven fabrics and felts	
03	4203	Finished manmade fiber, silk and other natural fiber (excl. cotton and wool) broadwoven fabrics	
03	420306	Finished manmade fiber, silk and other natural fiber (excl. cotton and wool) broadwoven fabrics	
03	44	Woven and braided narrow fabrics	
03	4402	Woven and braided narrow fabrics	
03	440204	Woven narrow fabrics	
03	440205	Braided narrow fabrics	
03	45	Nonwoven fabrics and felts	
03	4503	Nonwoven fabrics and felts	
03	450321	Nonwoven fabrics	
03	450333	Pressed, punched, or needled felts, except hats	
03	46	Coated fabrics, not rubberized	
03	4601	Coated fabrics, not rubberized	
03	460102	Vinyl coated fabrics, including expanded vinyl coated	
03	460103	Other coated or laminated fabrics and coated yarns, incl. impregnated	
03	47	Screen printed textile materials, embroideries, and lace goods	
03	4701	Screen printed textile materials and embroideries	
03	470103	Embroideries and embroidery contractors (excluding Schiffli)	
03	470105	Schiffli machine embroideries	
03	470108	Screen printing on garments, apparel accessories, and other fabric articles, except labels	
03	4702	Lace & net goods	
03	470205	Lace & net goods	
03	48	Knit fabrics, finished in knitting mills	
03	4801	Finished weft (circular) knit fabrics (excluding hosiery)	
03	480101	Finished weft (circular) knit fabrics (excluding hosiery)	
03	4802	Finished warp knit fabrics	
03	480201	Finished warp knit fabrics	
03	8	Apparel & other fabricated textile prods	
03	81	Apparel	
03	8104	Miscellaneous apparel and accessories	
03	810407	Fur products	
03	8104072	Fur garments, accessories, and trimmings (coats, capes, etc.)	
03	810414	Men's and boys' fabric, straw, and felt hats	
03	810415	Women's, girls', and infants' fabric, straw, and felt hats	
03	810416	Hat bodies and fabric caps	
03	810424	Gloves and mittens	
03	810428	Leather and sheep-lined clothing	
03	810441	Apparel and accessories, n.e.c.	
03	8104411	All other cut and sew apparel	
03	81044111	Team sport uniforms, men's and boys'	
03	81044113	Team sport uniforms, women's and girls'	
03	81044115	Vestments and costumes	
03	81044117	Apparel, plastic or rubber (50 percent or greater), incl. raincoats and rubber pants	
03	8104412	Fabricated apparel accessories	
03	81044125	All other apparel accessories	
03	8106	Women's, girls', and infants' cut and sew apparel	
03	810601	Women's and girls' knit shirts and blouses	
03	810602	Women's and girls' woven shirts and blouses	
03	810611	Women's and girls' dresses	
03	810621	Women's and girls' tailored coats and capes, including water-repellent	
03	810622	Women's and girls' tailored suits and pantsuits, including dress uniforms	
03	810623	Women's and girls' skirts	
03	810624	Women's and girls' tailored jackets and vests, except fur and leather	
03	810631	Women's and girls' slacks, jeans, & jean-cut casual slacks (exc sweatpants)	
03	810632	Women's and girls' swimwear	
03	810636	Women's and girls' sweaters, including sweater vests	
03	810637	Women's and girls' shorts, including tennis skirts	
03	810638	Women's and girls' sweatpants, bodysuits, warm-up suits, rompers, & beachwear (exc. swimwear)	
03	810639	Women's and girls' nontailored coats, jackets, vests, and service apparel	
03	810641	Women's and girls' underwear, except foundation garments	
03	810642	Women's and girls' nightwear, except robes	
03	810645	Women's and girls' robes and dressing gowns	
03	810646	Women's and girls' brassieres, corsets (exc. surgical), girdles, & combinations	
03	810654	Infants' apparel	
03	8106542	Infants' apparel, except underwear and nightwear	
03	8107	Men's and boys' cut and sew apparel	
03	810701	Men's and boys' separate dress and sport trousers, pants, & slacks	
03	810702	Men's and boys' jeans and jean-cut casual slacks	
03	810711	Men's work shirts	
03	810712	Men's work clothing and washable service apparel (excluding work shirts)	
03	810721	Men's and boys' knit dress and sport shirts	
03	810722	Men's and boys' woven dress and sport shirts	
03	810735	Men's and boys' suits, coats, and overcoats	
03	8107352	Men's and boys' tailored suits, including dress uniforms	
03	8107353	Men's and boys' tailored overcoats, dress and sport coats, and vests	
03	810741	Men's and boys' nontailored coats, jackets, and vests (exc. ski apparel & work jackets)	
03	8107411	Men's and boys' heavyweight nontailored coats, jackets, and vests	
03	8107412	Men's and boys' lightweight nontailored coats, jackets, and vests	
03	810742	Men's and boys' shorts (including dress and athletic) and swimwear	
03	810743	Men's and boys' sweaters, sweatpants, beachwear (exc. swim), & ski apparel	
03	810751	Men's and boys' neckwear	
